z1,z2,z3,node,time,depth
-37.0,-23.0,-38.0,1,0.0021889209747314453,1
-32.0,-37.0,-30.0,32,0.0387721061706543,6
-38.0,-27.0,-33.0,38,0.04295706748962402,6
-34.0,-31.0,-34.0,64,0.05980396270751953,7
-36.0,-27.0,-35.0,78,0.0673069953918457,7
-40.0,-23.0,-35.0,94,0.07456398010253906,7
-41.0,-22.0,-35.0,95,0.0749669075012207,7
-41.0,-23.0,-34.0,134,0.09422707557678223,8
-40.0,-26.0,-30.0,136,0.09490609169006348,8
-38.0,-26.0,-35.0,244,0.13848209381103516,9
-40.0,-29.0,-28.0,248,0.14009594917297363,9
-38.0,-30.0,-31.0,252,0.1417369842529297,9
-37.0,-33.0,-27.0,254,0.14255905151367188,9
-36.0,-33.0,-29.0,255,0.14297103881835938,9
-37.0,-29.0,-33.0,266,0.14702510833740234,9
-33.0,-34.0,-32.0,270,0.14855194091796875,9
-33.0,-30.0,-36.0,272,0.14931607246398926,9
-34.0,-29.0,-36.0,273,0.14966392517089844,9
-31.0,-40.0,-28.0,288,0.15819191932678223,9
-31.0,-36.0,-32.0,294,0.16048312187194824,9
-32.0,-35.0,-32.0,295,0.16083002090454102,9
-41.0,-25.0,-33.0,306,0.16481590270996094,9
-37.0,-30.0,-32.0,310,0.16639304161071777,9
-40.0,-28.0,-29.0,316,0.16865301132202148,9
-39.0,-28.0,-31.0,317,0.16908502578735352,9
-35.0,-36.0,-28.0,320,0.1704399585723877,9
-33.0,-33.0,-33.0,328,0.17356395721435547,9
-36.0,-29.0,-34.0,340,0.17868709564208984,9
-37.0,-26.0,-36.0,350,0.18238091468811035,9
-39.0,-29.0,-30.0,390,0.1972661018371582,10
-36.0,-32.0,-31.0,392,0.1979830265045166,10
-36.0,-36.0,-27.0,398,0.19998502731323242,10
-35.0,-30.0,-34.0,402,0.20115303993225098,10
-33.0,-36.0,-30.0,404,0.20170807838439941,10
-34.0,-33.0,-32.0,410,0.2036900520324707,10
-30.0,-34.0,-35.0,414,0.20499491691589355,10
-35.0,-35.0,-29.0,418,0.2062690258026123,10
-32.0,-39.0,-28.0,422,0.207427978515625,10
-28.0,-40.0,-31.0,434,0.21143698692321777,10
-38.0,-29.0,-32.0,438,0.21274590492248535,10
-39.0,-31.0,-29.0,446,0.2155170440673828,10
-36.0,-35.0,-28.0,450,0.21671605110168457,10
-37.0,-35.0,-26.0,451,0.21710491180419922,10
-35.0,-34.0,-30.0,464,0.22183895111083984,10
-31.0,-39.0,-29.0,468,0.22309494018554688,10
-38.0,-25.0,-36.0,476,0.22560906410217285,10
-34.0,-30.0,-35.0,478,0.22623395919799805,10
-36.0,-31.0,-32.0,482,0.227431058883667,10
-31.0,-35.0,-33.0,484,0.2279949188232422,10
-35.0,-32.0,-32.0,486,0.22855496406555176,10
-37.0,-24.0,-37.0,502,0.2337360382080078,11
-41.0,-26.0,-28.0,504,0.23433589935302734,11
-38.0,-33.0,-25.0,506,0.23488402366638184,11
-33.0,-37.0,-26.0,512,0.23652005195617676,11
-41.0,-28.0,-27.0,516,0.23761200904846191,11
-38.0,-32.0,-26.0,518,0.23816990852355957,11
-37.0,-28.0,-34.0,522,0.2392749786376953,11
-34.0,-35.0,-30.0,524,0.2398369312286377,11
-33.0,-29.0,-37.0,526,0.24039793014526367,11
-32.0,-36.0,-31.0,530,0.24150800704956055,11
