z1,z2,z3,node,time,depth
-5101.0,-4481.0,-5246.0,1,0.004651069641113281,1
-5819.0,-3668.0,-5739.0,3,0.009380102157592773,2
-5173.0,-4318.0,-4930.0,6,0.015594959259033203,3
-5792.0,-3457.0,-5991.0,21,0.04567599296569824,5
-4305.0,-4756.0,-4425.0,28,0.058492183685302734,5
-3871.0,-4923.0,-3880.0,50,0.09562110900878906,6
-6115.0,-2152.0,-6177.0,83,0.14792418479919434,7
-5020.0,-4086.0,-5376.0,85,0.15086698532104492,7
-5146.0,-4107.0,-5182.0,155,0.25498008728027344,8
-1451.0,-5712.0,-1439.0,190,0.30579113960266113,8
-3670.0,-5113.0,-3631.0,263,0.40081095695495605,9
-6102.0,-2741.0,-6162.0,307,0.4441230297088623,9
-3081.0,-5442.0,-3366.0,484,0.6629970073699951,10
-5079.0,-3849.0,-5250.0,613,0.7929401397705078,10
-3108.0,-5653.0,-3114.0,634,0.8142800331115723,10
-5186.0,-3729.0,-4945.0,709,0.8895890712738037,10
-3832.0,-5084.0,-3914.0,796,0.9839999675750732,11
-4433.0,-4499.0,-4441.0,811,1.000396966934204,11
-3692.0,-4842.0,-3950.0,844,1.027575969696045,11
-6127.0,-2109.0,-6207.0,882,1.057492971420288,11
-3544.0,-5092.0,-3825.0,984,1.167121171951294,11
-5640.0,-3587.0,-5809.0,1280,1.4335529804229736,12
-3853.0,-4813.0,-3981.0,1576,1.6860921382904053,13
-3880.0,-5024.0,-3729.0,1774,1.8157131671905518,13
-3575.0,-4922.0,-3993.0,2164,2.0419371128082275,15
-4961.0,-4239.0,-5282.0,2226,2.0703141689300537,16
-5628.0,-3630.0,-5779.0,2228,2.071100950241089,16
-3727.0,-4792.0,-4175.0,2246,2.0780789852142334,16
-3623.0,-4942.0,-3953.0,2250,2.079693078994751,16
-2872.0,-5300.0,-3405.0,2258,2.082901954650879,16
-1431.0,-5892.0,-1528.0,2264,2.085299015045166,16
-3754.0,-5003.0,-3923.0,2280,2.0915780067443848,16
-2899.0,-5511.0,-3153.0,2284,2.0932211875915527,16
