z1,z2,z3,node,time,depth
-2264.0,-5173.0,-2898.0,1,0.004441976547241211,1
-3879.0,-2733.0,-4812.0,1,0.004465818405151367,1
-4578.0,-4242.0,-2927.0,1,0.004483938217163086,1
-2915.0,-5402.0,-2395.0,1,0.004513978958129883,1
-4155.0,-4260.0,-3331.0,3,0.013432979583740234,2
-3200.0,-4437.0,-3829.0,6,0.02541494369506836,3
-3851.0,-4666.0,-3326.0,6,0.025426864624023438,3
-3366.0,-4154.0,-3969.0,7,0.02973198890686035,3
-3647.0,-3560.0,-3915.0,8,0.03278303146362305,4
-4031.0,-4362.0,-3345.0,13,0.051767826080322266,4
-3324.0,-4335.0,-3815.0,14,0.05527687072753906,4
-3710.0,-4669.0,-3061.0,15,0.05928683280944824,4
-4133.0,-4651.0,-2657.0,17,0.0670018196105957,5
-3782.0,-4782.0,-1804.0,29,0.10507392883300781,5
-3095.0,-5098.0,-2414.0,30,0.10802292823791504,5
-3828.0,-4710.0,-2014.0,58,0.18170404434204102,6
-2966.0,-4884.0,-2586.0,137,0.35467982292175293,8
-4436.0,-3666.0,-3277.0,168,0.4108288288116455,8
-3605.0,-3741.0,-3761.0,172,0.41881799697875977,8
-3058.0,-3861.0,-4179.0,194,0.46289491653442383,8
-2773.0,-4826.0,-2745.0,224,0.5256669521331787,8
-4105.0,-4685.0,-3015.0,260,0.5935759544372559,9
-3088.0,-4813.0,-2518.0,268,0.604996919631958,9
-3789.0,-4136.0,-3565.0,511,0.9844129085540771,10
-4285.0,-4381.0,-3034.0,858,1.4391379356384277,11
-3855.0,-4114.0,-3542.0,860,1.4412739276885986,11
-3902.0,-4148.0,-3517.0,861,1.4425230026245117,11
-3902.0,-3421.0,-4369.0,904,1.4875028133392334,11
-2824.0,-3055.0,-4386.0,905,1.489346981048584,11
-4375.0,-2978.0,-4281.0,930,1.5164759159088135,11
-3601.0,-4095.0,-3853.0,1072,1.6647698879241943,11
-3709.0,-4090.0,-3676.0,1073,1.6657469272613525,11
-3682.0,-4703.0,-3419.0,1182,1.7933979034423828,11
-3862.0,-4399.0,-3438.0,1252,1.8734748363494873,11
-3963.0,-4109.0,-3365.0,1320,1.9332458972930908,12
-3544.0,-3053.0,-4765.0,1424,2.022434949874878,12
-3011.0,-1591.0,-4984.0,1426,2.0232839584350586,12
-4497.0,-3634.0,-3361.0,1502,2.088418960571289,12
-2473.0,-3694.0,-4317.0,1572,2.148408889770508,12
-4074.0,-3652.0,-3765.0,1590,2.1646149158477783,12
-4067.0,-3367.0,-3869.0,1910,2.4272208213806152,13
-4355.0,-3058.0,-3711.0,1920,2.433166980743408,13
-4328.0,-3671.0,-3454.0,1938,2.4435229301452637,13
-4148.0,-3975.0,-3435.0,1952,2.453361988067627,13
-3832.0,-3426.0,-3985.0,1960,2.459218978881836,13
-4317.0,-3938.0,-3342.0,1986,2.4768168926239014,13
-4001.0,-3389.0,-3892.0,1990,2.479987859725952,13
-3894.0,-3956.0,-3746.0,2058,2.5263209342956543,13
-2404.0,-3078.0,-4550.0,2074,2.537838935852051,13
-3454.0,-4456.0,-3518.0,2280,2.6738028526306152,14
-3809.0,-3505.0,-3837.0,2326,2.6988298892974854,14
-3782.0,-4118.0,-3580.0,2346,2.7136850357055664,14
-3461.0,-4955.0,-2269.0,2476,2.784061908721924,14
-3507.0,-4883.0,-2479.0,2480,2.786012887954712,14
-4024.0,-4077.0,-3449.0,2586,2.840543031692505,15
-3882.0,-3501.0,-3799.0,2588,2.8412280082702637,15
-4195.0,-3282.0,-4262.0,2606,2.848430871963501,15
-4223.0,-3248.0,-3904.0,2607,2.8489279747009277,15
-4175.0,-3362.0,-3692.0,2612,2.851294994354248,15
-3078.0,-4722.0,-2752.0,2662,2.8732829093933105,15
-2730.0,-2185.0,-5038.0,2676,2.8795969486236572,15
-4176.0,-3941.0,-3077.0,2812,2.9354138374328613,16
-3497.0,-3746.0,-3938.0,2814,2.9361119270324707,16
-3951.0,-4081.0,-3487.0,2818,2.9374380111694336,16
-4231.0,-3260.0,-3765.0,2820,2.938140869140625,16
-4345.0,-3904.0,-2984.0,2822,2.938843011856079,16
-3666.0,-3709.0,-3845.0,2824,2.939530849456787,16
-3482.0,-4171.0,-3681.0,2830,2.941633939743042,16
-3528.0,-4099.0,-3891.0,2832,2.942387819290161,16
-3243.0,-3727.0,-4249.0,2834,2.9431068897247314,16
-2834.0,-4794.0,-2829.0,2836,2.943840980529785,16
-2604.0,-3610.0,-4288.0,2846,2.947176933288574,16
-3901.0,-4706.0,-1976.0,2848,2.947870969772339,16
-3355.0,-5153.0,-2102.0,2852,2.9492199420928955,16
-3309.0,-5225.0,-1892.0,2854,2.949944019317627,16
-2676.0,-4958.0,-2963.0,2858,2.9512999057769775,16
-2630.0,-5030.0,-2753.0,2862,2.9527058601379395,16
-2965.0,-4710.0,-2800.0,2864,2.953402042388916,16
-3535.0,-4849.0,-2121.0,2870,2.95540189743042,16
-3489.0,-4921.0,-1911.0,2872,2.956130027770996,16
-3031.0,-4474.0,-3922.0,2880,2.958829879760742,16
-2704.0,-4924.0,-2605.0,2882,2.9595699310302734,16
