z1,z2,z3,node,time,depth
-69.0,-34.0,-65.0,1,0.00208282470703125,1
-68.0,-33.0,-67.0,1,0.002084970474243164,1
-30.0,-56.0,-29.0,1,0.0021038055419921875,1
-29.0,-56.0,-31.0,1,0.0021059513092041016,1
-72.0,-21.0,-68.0,317,0.19891977310180664,14
-61.0,-37.0,-62.0,475,0.29591989517211914,9
-31.0,-54.0,-29.0,572,0.3542189598083496,11
-54.0,-47.0,-54.0,648,0.398453950881958,5
-61.0,-41.0,-60.0,734,0.44620490074157715,10
-62.0,-39.0,-61.0,762,0.46344685554504395,12
-55.0,-43.0,-52.0,764,0.4642508029937744,10
-46.0,-50.0,-47.0,809,0.48733997344970703,11
-47.0,-50.0,-45.0,810,0.4877598285675049,10
-45.0,-52.0,-47.0,811,0.4881629943847656,9
-46.0,-51.0,-46.0,820,0.4926719665527344,8
