z1,z2,z3,node,time,depth
-50.0,-59.0,-40.0,1,0.0030660629272460938,1
-56.0,-60.0,-36.0,1,0.0030748844146728516,1
-66.0,-54.0,-51.0,1,0.003084897994995117,1
-56.0,-55.0,-47.0,41,0.03999900817871094,10
-55.0,-43.0,-55.0,71,0.06144309043884277,3
-54.0,-49.0,-52.0,72,0.06248807907104492,4
-59.0,-45.0,-54.0,79,0.06675291061401367,4
-62.0,-47.0,-52.0,106,0.08716893196105957,11
-67.0,-52.0,-45.0,209,0.16635489463806152,9
-68.0,-51.0,-40.0,214,0.17208290100097656,11
-68.0,-48.0,-48.0,217,0.1739211082458496,12
-62.0,-56.0,-43.0,221,0.17625093460083008,10
