z1,z2,z3,node,time,depth
-37.0,-66.0,-52.0,1,0.003507852554321289,1
-34.0,-64.0,-55.0,7,0.020593881607055664,3
-58.0,-49.0,-52.0,9,0.024918794631958008,4
-40.0,-59.0,-57.0,11,0.029469966888427734,4
-43.0,-61.0,-54.0,19,0.045989990234375,5
-44.0,-47.0,-65.0,21,0.050331830978393555,5
-52.0,-54.0,-50.0,25,0.05738401412963867,5
-42.0,-60.0,-55.0,36,0.07429695129394531,6
-44.0,-49.0,-64.0,43,0.0854959487915039,6
-37.0,-63.0,-54.0,52,0.09859800338745117,6
-43.0,-63.0,-50.0,106,0.16484498977661133,7
-43.0,-59.0,-55.0,153,0.21497797966003418,8
-53.0,-46.0,-60.0,158,0.22082281112670898,8
-43.0,-53.0,-61.0,171,0.23395395278930664,8
-55.0,-49.0,-54.0,178,0.24219679832458496,8
-49.0,-50.0,-59.0,188,0.25203990936279297,8
-37.0,-64.0,-53.0,201,0.2641489505767822,8
-57.0,-50.0,-50.0,258,0.32254600524902344,9
-61.0,-44.0,-53.0,262,0.3246738910675049,9
-46.0,-55.0,-58.0,299,0.3562469482421875,9
-52.0,-52.0,-56.0,315,0.37005090713500977,9
-51.0,-54.0,-54.0,317,0.37195897102355957,9
-43.0,-55.0,-60.0,345,0.39461779594421387,9
-49.0,-52.0,-58.0,370,0.4158649444580078,9
-46.0,-57.0,-54.0,411,0.44822192192077637,9
-45.0,-59.0,-52.0,413,0.45017385482788086,9
-47.0,-58.0,-52.0,442,0.4791228771209717,9
-43.0,-57.0,-56.0,482,0.5125739574432373,9
-55.0,-46.0,-57.0,518,0.5443019866943359,10
-48.0,-57.0,-52.0,563,0.5734829902648926,10
-47.0,-49.0,-62.0,587,0.5872969627380371,10
-51.0,-56.0,-50.0,847,0.7750329971313477,10
-35.0,-58.0,-59.0,881,0.8006739616394043,10
-56.0,-48.0,-54.0,1020,0.8908569812774658,11
-51.0,-50.0,-58.0,1076,0.9280719757080078,11
-41.0,-58.0,-58.0,1082,0.9311189651489258,11
-53.0,-50.0,-55.0,1127,0.9555459022521973,11
-53.0,-52.0,-54.0,1139,0.9623439311981201,11
-46.0,-51.0,-60.0,1174,0.9822227954864502,11
-38.0,-56.0,-61.0,1206,1.0005438327789307,11
-39.0,-57.0,-59.0,1208,1.0012779235839844,11
-53.0,-54.0,-49.0,1444,1.1454780101776123,11
-52.0,-55.0,-47.0,1460,1.1564788818359375,11
-46.0,-53.0,-59.0,1800,1.3559138774871826,12
-42.0,-59.0,-56.0,1804,1.3578388690948486,12
-48.0,-56.0,-54.0,1850,1.3795537948608398,12
-43.0,-51.0,-62.0,1934,1.4220829010009766,12
-48.0,-50.0,-60.0,1948,1.428008794784546,12
-58.0,-45.0,-54.0,1980,1.442922830581665,12
-44.0,-56.0,-58.0,1988,1.4478049278259277,12
-48.0,-54.0,-56.0,1997,1.4526050090789795,12
-49.0,-53.0,-57.0,1998,1.4532628059387207,12
-54.0,-50.0,-52.0,2012,1.4600880146026611,12
-44.0,-53.0,-60.0,2044,1.4755358695983887,12
-50.0,-46.0,-62.0,2057,1.4824090003967285,12
-52.0,-48.0,-58.0,2072,1.4897208213806152,12
-54.0,-41.0,-60.0,2079,1.4935848712921143,12
-47.0,-57.0,-53.0,2204,1.563704013824463,12
-47.0,-60.0,-47.0,2225,1.574361801147461,12
-48.0,-58.0,-50.0,2232,1.5784199237823486,12
-38.0,-61.0,-56.0,2448,1.6801948547363281,12
-44.0,-58.0,-54.0,2519,1.7150819301605225,12
-51.0,-45.0,-61.0,2546,1.7290189266204834,13
-37.0,-61.0,-57.0,2610,1.7545928955078125,13
-42.0,-57.0,-57.0,2622,1.7591948509216309,13
-47.0,-53.0,-58.0,2636,1.7659039497375488,13
-52.0,-50.0,-57.0,2642,1.7684788703918457,13
-47.0,-55.0,-57.0,2652,1.7728328704833984,13
-53.0,-53.0,-53.0,2658,1.7753949165344238,13
-57.0,-47.0,-56.0,2660,1.7761039733886719,13
-48.0,-51.0,-59.0,2728,1.8056747913360596,13
-54.0,-48.0,-57.0,2768,1.8316829204559326,13
-44.0,-54.0,-59.0,2774,1.8344860076904297,13
-50.0,-53.0,-55.0,2782,1.838127851486206,13
-49.0,-48.0,-60.0,2806,1.8495678901672363,13
-54.0,-45.0,-59.0,2832,1.8622479438781738,13
-50.0,-44.0,-63.0,2839,1.8654940128326416,13
-55.0,-51.0,-51.0,3219,2.037153959274292,14
-56.0,-49.0,-53.0,3225,2.0408098697662354,14
-47.0,-56.0,-56.0,3274,2.0612919330596924,14
-43.0,-56.0,-59.0,3306,2.073960781097412,14
-45.0,-47.0,-64.0,3372,2.1041998863220215,14
-58.0,-42.0,-56.0,3390,2.1108028888702393,14
-57.0,-43.0,-58.0,3392,2.111487865447998,14
-40.0,-62.0,-52.0,3430,2.1254889965057373,14
-38.0,-64.0,-52.0,3470,2.1413228511810303,14
-41.0,-62.0,-51.0,3474,2.1426849365234375,14
-55.0,-53.0,-47.0,3481,2.145448923110962,14
-39.0,-52.0,-62.0,3542,2.169567823410034,14
-50.0,-55.0,-52.0,3616,2.1969168186187744,15
-54.0,-49.0,-55.0,3620,2.1985509395599365,15
-48.0,-47.0,-62.0,3630,2.2023119926452637,15
-48.0,-49.0,-61.0,3632,2.2030539512634277,15
-53.0,-47.0,-59.0,3640,2.205777883529663,15
-44.0,-50.0,-63.0,3642,2.206573009490967,15
-45.0,-50.0,-62.0,3654,2.2106969356536865,15
-50.0,-47.0,-61.0,3656,2.2114458084106445,15
-45.0,-48.0,-63.0,3658,2.2122108936309814,15
-54.0,-47.0,-58.0,3668,2.2159459590911865,15
-58.0,-44.0,-55.0,3670,2.216662883758545,15
-53.0,-42.0,-62.0,3676,2.219139814376831,15
-50.0,-51.0,-57.0,3752,2.2462828159332275,16
-47.0,-45.0,-64.0,3754,2.2470479011535645,16
-48.0,-45.0,-63.0,3760,2.2491397857666016,16
-48.0,-43.0,-64.0,3764,2.2505478858947754,16
-44.0,-60.0,-50.0,3768,2.251879930496216,16
-46.0,-59.0,-51.0,3774,2.253788948059082,16
-45.0,-60.0,-49.0,3776,2.254532814025879,16
-50.0,-57.0,-48.0,3778,2.255258798599243,16
