z1,z2,z3,node,time,depth
-11807.0,-14192.0,-13239.0,1,0.0008530616760253906,1
-13278.0,-12805.0,-13723.0,4,0.0029981136322021484,3
-12221.0,-13797.0,-13683.0,9,0.0064089298248291016,4
-13123.0,-12980.0,-13997.0,9,0.006412029266357422,4
-13273.0,-12823.0,-14284.0,21,0.014882087707519531,5
-13428.0,-12648.0,-14010.0,79,0.04651904106140137,7
-12786.0,-13595.0,-13483.0,99,0.05548405647277832,7
-13017.0,-13313.0,-13778.0,112,0.06090497970581055,8
-12862.0,-13488.0,-14052.0,116,0.06275796890258789,8
-13461.0,-12551.0,-13646.0,124,0.0656130313873291,8
-13200.0,-13200.0,-13927.0,137,0.07113003730773926,8
-12448.0,-13883.0,-13608.0,152,0.07761311531066895,8
-13355.0,-13025.0,-13653.0,181,0.08871603012084961,9
-11990.0,-13938.0,-13162.0,202,0.09752297401428223,9
-13306.0,-12726.0,-13920.0,212,0.10088014602661133,10
