z1,z2,z3,node,time,depth
-13449.0,-12692.0,-12446.0,64,0.032598018646240234,15
-12850.0,-12864.0,-12335.0,128,0.06262493133544922,15
-13039.0,-13175.0,-12149.0,170,0.0825338363647461,15
-12650.0,-13792.0,-11480.0,309,0.15318799018859863,12
-12913.0,-13781.0,-11637.0,316,0.15642285346984863,15
-12698.0,-13500.0,-11758.0,395,0.19610285758972168,12
-12961.0,-13489.0,-11915.0,402,0.19939684867858887,15
-12140.0,-13538.0,-11872.0,426,0.21202397346496582,15
-13203.0,-12877.0,-12199.0,507,0.25217390060424805,10
-13560.0,-13317.0,-12026.0,507,0.25217485427856445,10
-13246.0,-12998.0,-12113.0,525,0.2621729373931885,12
-12564.0,-13047.0,-12263.0,641,0.32851481437683105,16
-12827.0,-13036.0,-12420.0,648,0.33231401443481445,15
-12006.0,-13085.0,-12377.0,664,0.34104204177856445,15
-12612.0,-12755.0,-12541.0,755,0.39031386375427246,16
-12875.0,-12744.0,-12698.0,762,0.3943288326263428,15
-12518.0,-12304.0,-12871.0,769,0.3976559638977051,14
-11791.0,-12804.0,-12498.0,781,0.4058089256286621,13
-12054.0,-12793.0,-12655.0,786,0.4081418514251709,15
-11697.0,-12353.0,-12828.0,791,0.41048288345336914,14
-13474.0,-12572.0,-12809.0,896,0.4705078601837158,15
-13117.0,-12132.0,-12982.0,903,0.47363996505737305,14
-13160.0,-12253.0,-12896.0,923,0.4853639602661133,12
-12296.0,-12181.0,-12939.0,927,0.4887208938598633,11
-12653.0,-12621.0,-12766.0,927,0.4887218475341797,11
-12486.0,-13361.0,-12029.0,1163,0.6230099201202393,16
-12749.0,-13350.0,-12186.0,1170,0.6273448467254639,15
-12117.0,-13710.0,-11957.0,1179,0.6326830387115479,11
-12165.0,-13418.0,-12235.0,1189,0.6396439075469971,11
-12450.0,-12927.0,-12433.0,1291,0.6993448734283447,12
-13034.0,-12859.0,-12384.0,1317,0.7136459350585938,10
-13276.0,-13708.0,-11557.0,1386,0.757544994354248,15
-13324.0,-13416.0,-11835.0,1438,0.7872719764709473,15
-13112.0,-13277.0,-12106.0,1574,0.8720169067382812,15
-13561.0,-13217.0,-11755.0,1710,0.9542398452758789,13
-13609.0,-12925.0,-12033.0,1717,0.9586689472198486,12
-13397.0,-12786.0,-12304.0,1813,1.0148248672485352,10
-12982.0,-14153.0,-10764.0,1858,1.0413849353790283,15
-12161.0,-14202.0,-10721.0,1867,1.0457019805908203,11
-12935.0,-14033.0,-11166.0,1923,1.0747709274291992,12
-13198.0,-14022.0,-11323.0,1930,1.0784080028533936,15
-12377.0,-14071.0,-11280.0,1972,1.1017718315124512,15
-13483.0,-13531.0,-11521.0,2055,1.1442530155181885,10
-12402.0,-13951.0,-11643.0,2167,1.2123308181762695,11
-12672.0,-13564.0,-11681.0,2226,1.2454040050506592,9
-13821.0,-12102.0,-12390.0,2255,1.2787129878997803,9
-14178.0,-12542.0,-12217.0,2255,1.2787139415740967,9
-13453.0,-13320.0,-11594.0,2286,1.298166036605835,15
-13884.0,-12987.0,-11424.0,2317,1.3163068294525146,10
-13738.0,-12829.0,-11792.0,2335,1.3260338306427002,12
-13579.0,-12714.0,-12106.0,2350,1.3408968448638916,15
-13864.0,-12223.0,-12304.0,2421,1.3836019039154053,12
-13652.0,-12084.0,-12575.0,2640,1.5328798294067383,11
-13816.0,-13247.0,-11514.0,2666,1.5554838180541992,15
-13600.0,-13378.0,-10955.0,2685,1.5643048286437988,14
-13522.0,-13692.0,-10721.0,2726,1.5894768238067627,15
-13376.0,-13534.0,-11089.0,2768,1.6113789081573486,11
-13885.0,-12887.0,-11153.0,2784,1.620270013809204,13
-14101.0,-12756.0,-11712.0,2806,1.6350288391113281,11
