z1,z2,z3,node,time,depth
-11655.0,-13527.0,-12643.0,22,0.009405851364135742,16
-12188.0,-13058.0,-12661.0,33,0.01414799690246582,15
-12123.0,-13269.0,-12667.0,44,0.019234895706176758,14
-12186.0,-13466.0,-12487.0,55,0.024757862091064453,13
-11914.0,-13637.0,-12492.0,88,0.0409388542175293,12
-11840.0,-13489.0,-13125.0,90,0.041832923889160156,7
-12094.0,-13328.0,-12794.0,92,0.04267597198486328,8
-12167.0,-13416.0,-12550.0,99,0.04583597183227539,11
-12379.0,-13401.0,-12001.0,120,0.05582690238952637,10
-12128.0,-13261.0,-12567.0,122,0.05685997009277344,5
-12382.0,-13100.0,-12236.0,134,0.06227588653564453,6
-12455.0,-13188.0,-11992.0,177,0.08262085914611816,9
-11859.0,-12910.0,-12906.0,180,0.08414602279663086,5
-11135.0,-13036.0,-13548.0,183,0.08548784255981445,8
-11666.0,-12975.0,-13392.0,183,0.08548879623413086,8
-11394.0,-13146.0,-13397.0,196,0.09155797958374023,12
-11647.0,-12925.0,-13455.0,205,0.09577584266662598,11
-11920.0,-12814.0,-13061.0,221,0.10370993614196777,9
-11901.0,-12764.0,-13124.0,237,0.11133480072021484,11
-12061.0,-12766.0,-12996.0,249,0.11761999130249023,7
-11951.0,-12730.0,-13215.0,261,0.12348794937133789,8
-11698.0,-12951.0,-13157.0,266,0.1261308193206787,12
-12416.0,-12614.0,-12836.0,279,0.13217401504516602,10
-11883.0,-13083.0,-12818.0,290,0.13637280464172363,16
-12351.0,-12825.0,-12842.0,300,0.14021086692810059,14
-12414.0,-13022.0,-12662.0,309,0.14481902122497559,13
-12142.0,-13193.0,-12667.0,318,0.1495208740234375,12
-12395.0,-12972.0,-12725.0,327,0.15386700630187988,11
-12607.0,-12957.0,-12176.0,336,0.15842580795288086,10
-11876.0,-12541.0,-13241.0,347,0.1643218994140625,5
-12670.0,-12453.0,-12505.0,373,0.17827582359313965,11
-12605.0,-12664.0,-12511.0,390,0.18488097190856934,14
-12668.0,-12861.0,-12331.0,397,0.188323974609375,13
-12396.0,-13032.0,-12336.0,404,0.1920909881591797,12
-12861.0,-12796.0,-11845.0,418,0.19881987571716309,10
-12937.0,-12583.0,-11836.0,425,0.20270895957946777,9
-12655.0,-12630.0,-12602.0,440,0.211014986038208,11
-12718.0,-12827.0,-12422.0,449,0.21586394309997559,13
-12446.0,-12998.0,-12427.0,459,0.2208418846130371,11
-12699.0,-12777.0,-12485.0,464,0.22330093383789062,10
-12911.0,-12762.0,-11936.0,469,0.22614097595214844,9
-12987.0,-12549.0,-11927.0,474,0.2293539047241211,8
-12597.0,-13091.0,-12008.0,489,0.23636794090270996,13
-12325.0,-13262.0,-12013.0,495,0.23912787437438965,11
-12578.0,-13041.0,-12071.0,498,0.2405388355255127,10
-12790.0,-13026.0,-11522.0,501,0.2422318458557129,9
-12866.0,-12813.0,-11513.0,504,0.2441558837890625,8
-12765.0,-12666.0,-12383.0,512,0.2481379508972168,13
-12828.0,-12863.0,-12203.0,517,0.2500309944152832,13
-12556.0,-13034.0,-12208.0,519,0.25084590911865234,11
-12809.0,-12813.0,-12266.0,520,0.25127291679382324,10
-13021.0,-12798.0,-11717.0,521,0.2516639232635498,9
-13097.0,-12585.0,-11708.0,522,0.25208091735839844,8
-12469.0,-13120.0,-12092.0,523,0.2524428367614746,7
