z1,z2,z3,node,time,depth
-7297.0,-4866.0,-7399.0,1,0.005038022994995117,1
-4607.0,-6297.0,-5077.0,3,0.015295982360839844,3
-4840.0,-6259.0,-4999.0,3,0.01530003547668457,3
-5498.0,-5549.0,-5988.0,887,0.9580891132354736,10
-5371.0,-5477.0,-6071.0,940,1.0009989738464355,21
-5445.0,-5629.0,-5947.0,1030,1.090878963470459,21
-5678.0,-5591.0,-5869.0,1138,1.217029094696045,21
-5598.0,-5635.0,-5803.0,1223,1.3217051029205322,10
-5732.0,-5558.0,-5829.0,1294,1.4153389930725098,21
-5791.0,-5468.0,-5760.0,1878,2.0846059322357178,13
-5033.0,-6092.0,-4956.0,2797,3.1721129417419434,12
-4845.0,-6106.0,-4747.0,2855,3.2422609329223633,14
-5444.0,-5483.0,-6009.0,3170,3.6678109169006348,13
-5751.0,-5597.0,-5807.0,3202,3.699850082397461,21
-5518.0,-5635.0,-5885.0,3252,3.7517991065979004,21
-6505.0,-4891.0,-6204.0,3365,3.876004934310913,20
-5711.0,-5468.0,-5842.0,3388,3.897249937057495,21
-5617.0,-5674.0,-5781.0,3618,4.176168918609619,21
-5384.0,-5712.0,-5859.0,3654,4.216958999633789,21
-5330.0,-5759.0,-5740.0,3689,4.258677959442139,13
-5563.0,-5721.0,-5662.0,3691,4.260901927947998,15
-5464.0,-5668.0,-5925.0,3698,4.266189098358154,17
-5756.0,-5554.0,-5619.0,3761,4.335539102554321,14
-5810.0,-5507.0,-5738.0,3772,4.342592000961304,19
-5657.0,-5501.0,-5882.0,3777,4.346427917480469,18
-6527.0,-4907.0,-6160.0,3802,4.367466926574707,19
-7227.0,-4789.0,-7421.0,3884,4.475285053253174,5
-7411.0,-4627.0,-7011.0,3887,4.487215995788574,8
-8035.0,-4036.0,-7937.0,3907,4.508569955825806,21
-7901.0,-4127.0,-7752.0,3983,4.588186979293823,11
-8770.0,-2544.0,-8040.0,4151,4.789204120635986,9
-8134.0,-4089.0,-7674.0,4151,4.789220094680786,9
-7920.0,-4166.0,-7730.0,4347,5.04218602180481,21
-7785.0,-4027.0,-8044.0,4725,5.5614471435546875,7
-8057.0,-4052.0,-7893.0,4725,5.561455011367798,7
-7981.0,-4083.0,-7818.0,5691,7.026305913925171,21
-7420.0,-4622.0,-7378.0,6554,8.14457106590271,9
-7919.0,-3950.0,-8070.0,6581,8.182542085647583,15
-8191.0,-3975.0,-7919.0,6618,8.21495008468628,14
-6162.0,-5462.0,-6510.0,7757,9.918842077255249,4
-2876.0,-6690.0,-3215.0,7757,9.91887092590332,4
-7012.0,-4883.0,-7230.0,8089,10.383450031280518,7
-6939.0,-4877.0,-7292.0,8479,10.995690107345581,21
-6289.0,-5421.0,-6567.0,10354,13.771685123443604,6
-7127.0,-4753.0,-7437.0,10375,13.804481983184814,21
-8021.0,-3862.0,-7957.0,10605,14.074851036071777,19
-7749.0,-3837.0,-8108.0,10698,14.202101945877075,16
-7057.0,-4676.0,-7459.0,10702,14.206270933151245,16
-6219.0,-5344.0,-6589.0,11035,14.67095398902893,12
-6412.0,-5177.0,-6546.0,11226,14.934289932250977,11
-6216.0,-5415.0,-6629.0,11415,15.201969146728516,21
-5870.0,-4890.0,-6687.0,11622,15.527780055999756,21
-5508.0,-5478.0,-5907.0,11823,15.756808042526245,16
-4599.0,-6185.0,-5338.0,12159,16.155930995941162,8
-4832.0,-6147.0,-5260.0,12159,16.15593910217285,8
-4411.0,-6199.0,-5129.0,12265,16.27982807159424,9
-4644.0,-6161.0,-5051.0,12265,16.27982997894287,9
-5693.0,-4887.0,-6732.0,12296,16.324867963790894,17
-5098.0,-5513.0,-6030.0,12316,16.342962980270386,15
-5294.0,-5555.0,-5963.0,12329,16.355380058288574,16
-7283.0,-4692.0,-7419.0,12334,16.361830949783325,5
-7011.0,-4667.0,-7570.0,12334,16.3618381023407,5
-5031.0,-5783.0,-5083.0,12399,16.45221996307373,13
-4978.0,-5863.0,-5042.0,12430,16.488985061645508,21
-6350.0,-5338.0,-6655.0,12459,16.520479917526245,17
-6473.0,-5094.0,-6634.0,12507,16.61693501472473,15
-6280.0,-5261.0,-6677.0,12518,16.632779121398926,16
-4947.0,-6031.0,-5308.0,12552,16.674242973327637,8
-7213.0,-4615.0,-7441.0,12555,16.682328939437866,11
-6941.0,-4590.0,-7592.0,12555,16.682331085205078,11
-7406.0,-4448.0,-7398.0,12615,16.74223804473877,12
-7134.0,-4423.0,-7549.0,12615,16.742239952087402,12
-7905.0,-3776.0,-8090.0,12650,16.7747220993042,18
-3178.0,-6400.0,-3693.0,12834,17.038180112838745,11
-3125.0,-6480.0,-3652.0,12921,17.15057396888733,17
-2945.0,-6438.0,-3771.0,12923,17.152526140213013,15
-3252.0,-6552.0,-3569.0,12931,17.15898609161377,17
-4997.0,-5902.0,-5020.0,13020,17.266523122787476,15
-3257.0,-6399.0,-3317.0,13034,17.277390003204346,14
-5328.0,-5482.0,-6066.0,13041,17.297434091567993,13
-4966.0,-6070.0,-5286.0,13062,17.323655128479004,17
-4733.0,-6108.0,-5364.0,13092,17.360482931137085,17
-3099.0,-6495.0,-3666.0,13100,17.369812965393066,14
-4971.0,-5917.0,-5034.0,13127,17.403618097305298,16
-3105.0,-6394.0,-3755.0,13315,17.668899059295654,17
-3052.0,-6474.0,-3714.0,13341,17.695914030075073,17
-2872.0,-6432.0,-3833.0,13349,17.702728033065796,17
-3179.0,-6546.0,-3631.0,13353,17.705678939819336,17
-3071.0,-6513.0,-3692.0,13417,17.767847061157227,17
-2891.0,-6471.0,-3811.0,13425,17.774945974349976,17
-3198.0,-6585.0,-3609.0,13431,17.77973198890686,17
-1331.0,-7010.0,-1989.0,13448,17.796563148498535,21
-2838.0,-6551.0,-3770.0,13477,17.818392038345337,17
-2965.0,-6623.0,-3687.0,13478,17.81895112991333,16
-3145.0,-6665.0,-3568.0,13479,17.819519996643066,15
-5019.0,-5918.0,-4976.0,13634,17.980787992477417,9
-3153.0,-6561.0,-3645.0,13905,18.301953077316284,11
-4586.0,-5950.0,-5550.0,13909,18.312129974365234,15
-4893.0,-6064.0,-5348.0,13930,18.340333938598633,17
-3026.0,-6489.0,-3728.0,13941,18.352915048599243,21
-4660.0,-6102.0,-5426.0,13945,18.35600996017456,16
-5255.0,-5476.0,-6128.0,13952,18.364575147628784,17
-3045.0,-6528.0,-3706.0,13992,18.409215927124023,18
-3172.0,-6600.0,-3623.0,13993,18.409789085388184,17
-2812.0,-6566.0,-3784.0,14007,18.418941020965576,17
-2939.0,-6638.0,-3701.0,14008,18.419464111328125,16
-3119.0,-6680.0,-3582.0,14009,18.42003107070923,15
-4679.0,-6141.0,-5404.0,14028,18.43695902824402,13
-6892.0,-4804.0,-7501.0,14195,18.641751050949097,2
-7870.0,-4164.0,-7979.0,14221,18.68985104560852,21
-7816.0,-4211.0,-7860.0,14658,19.531580924987793,6
-5636.0,-5475.0,-5890.0,14777,19.782252073287964,11
-7085.0,-4637.0,-7458.0,15689,21.355533123016357,8
-7584.0,-3965.0,-8150.0,15714,21.389084100723267,14
-7856.0,-3990.0,-7999.0,15737,21.408090114593506,17
-8304.0,-3372.0,-8505.0,16843,23.117103099822998,9
-8892.0,-1959.0,-8864.0,16896,23.174041032791138,21
-8664.0,-1872.0,-9010.0,16904,23.179901123046875,21
-8914.0,-1975.0,-8820.0,17011,23.325040102005005,10
-8686.0,-1888.0,-8966.0,17011,23.325042963027954,10
-9048.0,-1898.0,-8846.0,17216,23.620471954345703,21
-8820.0,-1811.0,-8992.0,17219,23.622064113616943,20
-8438.0,-3295.0,-8531.0,17288,23.70063304901123,16
-8576.0,-3397.0,-8354.0,17367,23.805683135986328,10
-8710.0,-3320.0,-8380.0,17385,23.82276201248169,15
-8936.0,-1897.0,-8859.0,17416,23.84575605392456,13
-8802.0,-2572.0,-7933.0,17431,23.856670141220093,18
-9164.0,-1984.0,-8713.0,17436,23.85880208015442,13
-9190.0,-1836.0,-8764.0,17437,23.85959005355835,12
-8554.0,-3381.0,-8398.0,17446,23.869075059890747,16
-7015.0,-4560.0,-7480.0,17615,24.210494995117188,5
-7514.0,-3888.0,-8172.0,17705,24.35253596305847,17
-7800.0,-4087.0,-8001.0,17772,24.483843088150024,14
-7707.0,-3721.0,-8129.0,17843,24.594175100326538,13
-7979.0,-3746.0,-7978.0,17863,24.630183935165405,19
-7993.0,-3920.0,-7958.0,17868,24.634401082992554,14
-8478.0,-3074.0,-8670.0,17889,24.66233205795288,19
-8492.0,-3248.0,-8650.0,17903,24.67133402824402,15
-9102.0,-1851.0,-8965.0,17941,24.697211980819702,12
-8874.0,-1764.0,-9111.0,17959,24.710479974746704,12
-9128.0,-1703.0,-9016.0,17960,24.71102499961853,11
-8764.0,-3273.0,-8499.0,17969,24.720457077026367,15
