z1,z2,z3,node,time,depth
-6398.0,-7379.0,-6328.0,1,0.003905057907104492,1
-7241.0,-6557.0,-6883.0,1,0.003908872604370117,1
-7062.0,-6342.0,-7049.0,1,0.0039119720458984375,1
-8382.0,-3327.0,-7919.0,1,0.0039348602294921875,1
-6219.0,-7164.0,-6494.0,1,0.003944873809814453,1
-8232.0,-3294.0,-8046.0,1,0.003957986831665039,1
-7885.0,-5064.0,-7249.0,3,0.013055086135864258,2
-3749.0,-7789.0,-4081.0,21,0.08386492729187012,5
-8421.0,-2131.0,-7718.0,30,0.1159219741821289,5
-7273.0,-5339.0,-6862.0,39,0.1421799659729004,6
-5134.0,-7457.0,-5581.0,69,0.2371969223022461,7
-7452.0,-5554.0,-6696.0,145,0.4502120018005371,8
-8050.0,-3909.0,-7237.0,153,0.47221803665161133,8
-8121.0,-3332.0,-7956.0,181,0.5490970611572266,8
-7992.0,-3814.0,-7266.0,188,0.5643510818481445,8
-7348.0,-5307.0,-6900.0,269,0.7504968643188477,9
-7169.0,-5092.0,-7066.0,281,0.7799868583679199,9
-7796.0,-3629.0,-7568.0,282,0.7824409008026123,9
-7842.0,-5067.0,-7349.0,415,1.076422929763794,10
-7692.0,-5034.0,-7476.0,415,1.0764329433441162,10
-7449.0,-5399.0,-6771.0,452,1.1414580345153809,10
-7270.0,-5184.0,-6937.0,464,1.1649770736694336,10
-7949.0,-3817.0,-7366.0,467,1.171360969543457,10
-7799.0,-3784.0,-7493.0,467,1.1713709831237793,10
-7900.0,-3876.0,-7364.0,685,1.5626089572906494,11
-4733.0,-7567.0,-5233.0,826,1.8075509071350098,12
-4912.0,-7782.0,-5067.0,834,1.8182990550994873,12
-6897.0,-5589.0,-7104.0,842,1.831908941268921,12
-7122.0,-5370.0,-7036.0,844,1.833479881286621,12
-7108.0,-5338.0,-7105.0,845,1.8384439945220947,12
-7111.0,-5493.0,-7030.0,845,1.8384459018707275,12
-6809.0,-5618.0,-7142.0,846,1.839350938796997,12
-7588.0,-4787.0,-7680.0,847,1.8407909870147705,12
-7264.0,-5512.0,-6701.0,1008,2.098304033279419,12
-7740.0,-4767.0,-7659.0,1128,2.2757818698883057,13
-6812.0,-5773.0,-7067.0,1131,2.283608913421631,13
-7223.0,-5462.0,-6907.0,1134,2.285515069961548,13
-7212.0,-5585.0,-6901.0,1135,2.286329984664917,13
-6958.0,-5343.0,-7065.0,1204,2.378592014312744,13
-8314.0,-3381.0,-7701.0,1386,2.6403439044952393,13
-7743.0,-4922.0,-7584.0,1454,2.7273218631744385,14
-7844.0,-5014.0,-7455.0,1462,2.7358269691467285,14
-7951.0,-3764.0,-7472.0,1558,2.857801914215088,14
-5161.0,-7511.0,-5518.0,1586,2.8949809074401855,14
-5255.0,-7415.0,-5498.0,1654,2.984976053237915,14
-7993.0,-4097.0,-7049.0,1842,3.2071290016174316,15
-5185.0,-7468.0,-5441.0,1892,3.262516975402832,15
-7267.0,-5667.0,-6626.0,1952,3.332381010055542,15
-6823.0,-5650.0,-7073.0,2064,3.4516868591308594,16
-8164.0,-3348.0,-7828.0,2717,4.034681081771851,18
-3745.0,-7831.0,-4079.0,2874,4.13395094871521,20
-7894.0,-3952.0,-7284.0,2908,4.1537840366363525,20
-7892.0,-4005.0,-7178.0,2912,4.156213998794556,20
