z1,z2,z3,node,time,depth
-6639.0,-4992.0,-7560.0,1,0.0036618709564208984,1
-4965.0,-6460.0,-4908.0,1,0.0036869049072265625,1
-6131.0,-5703.0,-5802.0,4,0.013928890228271484,3
-7484.0,-4658.0,-6101.0,6,0.02031683921813965,3
-7197.0,-5089.0,-6382.0,6,0.020344972610473633,3
-6745.0,-5266.0,-6877.0,7,0.024179935455322266,3
-6874.0,-3634.0,-7781.0,11,0.03641700744628906,4
-7223.0,-4553.0,-7271.0,14,0.046057939529418945,4
-6243.0,-5621.0,-6371.0,23,0.06991291046142578,5
-5549.0,-6021.0,-4619.0,25,0.0760810375213623,5
-7329.0,-4827.0,-6588.0,30,0.08965396881103516,5
-6695.0,-5444.0,-5876.0,33,0.10056900978088379,6
-7171.0,-3626.0,-7773.0,39,0.11345887184143066,6
-6137.0,-5347.0,-7054.0,43,0.12249898910522461,6
-6633.0,-5348.0,-6308.0,48,0.13442397117614746,6
-7073.0,-5203.0,-6439.0,63,0.17507004737854004,6
-7625.0,-4079.0,-6288.0,68,0.18570685386657715,7
-7067.0,-3982.0,-7466.0,83,0.21189498901367188,7
-6315.0,-5053.0,-7271.0,87,0.21933984756469727,7
-6899.0,-4614.0,-6982.0,143,0.33648085594177246,8
-7458.0,-3195.0,-7492.0,158,0.3550570011138916,8
-5951.0,-4186.0,-7718.0,167,0.36957502365112305,8
-5402.0,-5737.0,-6450.0,171,0.375669002532959,8
-6398.0,-5452.0,-5884.0,178,0.38501691818237305,8
-6926.0,-4561.0,-7279.0,227,0.46593689918518066,8
-5957.0,-4209.0,-7673.0,230,0.47101688385009766,8
-7382.0,-4207.0,-6914.0,295,0.5726368427276611,9
-5095.0,-5992.0,-5919.0,433,0.735152006149292,9
-6135.0,-3915.0,-7890.0,453,0.7609920501708984,9
-5408.0,-5760.0,-6405.0,776,1.1145169734954834,10
-4859.0,-6186.0,-5591.0,779,1.1182000637054443,10
-7757.0,-3731.0,-6759.0,1027,1.3586819171905518,11
-6798.0,-4646.0,-7203.0,1117,1.438405990600586,11
-6315.0,-5432.0,-5974.0,1201,1.520331859588623,11
-7017.0,-4115.0,-7366.0,1564,1.867711067199707,12
-7232.0,-3710.0,-7355.0,1603,1.896456003189087,12
-6515.0,-3927.0,-7792.0,1692,2.0087389945983887,12
-5586.0,-5466.0,-6622.0,2008,2.266063928604126,12
-5201.0,-6266.0,-5236.0,2023,2.280413866043091,12
-7293.0,-4357.0,-7018.0,2344,2.536531925201416,13
-6433.0,-4554.0,-7655.0,2390,2.5723228454589844,13
-6809.0,-3979.0,-7695.0,2400,2.5767879486083984,13
-6648.0,-4149.0,-7644.0,2429,2.5956969261169434,13
-6951.0,-4245.0,-7396.0,2433,2.5992908477783203,13
-5878.0,-5826.0,-5204.0,2627,2.744152069091797,13
-6113.0,-5762.0,-4693.0,2665,2.771514892578125,13
-6349.0,-5568.0,-5021.0,2665,2.771519899368286,13
-5149.0,-5860.0,-5852.0,2821,2.888061046600342,13
-7106.0,-3971.0,-7687.0,3140,3.1530370712280273,14
-6563.0,-2905.0,-7796.0,3239,3.2227349281311035,14
-6442.0,-5567.0,-5278.0,3405,3.3209939002990723,14
-5529.0,-6201.0,-4982.0,3605,3.4552419185638428,14
-5765.0,-6007.0,-5310.0,3605,3.4552459716796875,14
-7148.0,-3952.0,-7377.0,3944,3.7240989208221436,15
-7393.0,-3540.0,-7406.0,3948,3.7258989810943604,15
-5401.0,-5816.0,-5957.0,4298,3.938464879989624,15
-5619.0,-5958.0,-5498.0,4456,4.037888050079346,15
-6696.0,-5345.0,-6071.0,4610,4.123414039611816,16
-7580.0,-3926.0,-6737.0,4648,4.139643907546997,16
-6564.0,-4391.0,-7666.0,4696,4.169743061065674,16
-6307.0,-5587.0,-5331.0,4788,4.222785949707031,16
-6308.0,-5488.0,-5526.0,4836,4.252007007598877,16
-5359.0,-5835.0,-6267.0,4886,4.275164842605591,16
