z1,z2,z3,node,time,depth
-5400.0,-7606.0,-2160.0,1,0.004910945892333984,1
-6607.0,-7294.0,-2811.0,1,0.004930019378662109,1
-6484.0,-5794.0,-4146.0,1,0.004942893981933594,1
-7102.0,-5182.0,-2979.0,1,0.00494694709777832,1
-4899.0,-3545.0,-5016.0,1,0.004966020584106445,1
-5246.0,-5117.0,-4807.0,1,0.004984855651855469,1
-6674.0,-6571.0,-3366.0,2,0.01100301742553711,2
-5436.0,-5894.0,-4027.0,3,0.017683029174804688,3
-5485.0,-7084.0,-2921.0,3,0.017689943313598633,3
-5344.0,-7026.0,-3109.0,3,0.017724037170410156,3
-5518.0,-5497.0,-4182.0,4,0.0246889591217041,4
-5465.0,-6660.0,-3192.0,1255,2.0281050205230713,17
-5411.0,-6303.0,-3664.0,1392,2.2868120670318604,10
-5365.0,-5860.0,-4034.0,1393,2.2895870208740234,11
-5298.0,-6583.0,-3479.0,1494,2.4526419639587402,13
-5369.0,-6617.0,-3472.0,1494,2.452643871307373,13
-5223.0,-6652.0,-3269.0,1598,2.6796998977661133,5
-5653.0,-6834.0,-2945.0,2145,3.754055976867676,15
-5444.0,-7306.0,-2472.0,2147,3.754915952682495,13
-5370.0,-6013.0,-4009.0,2197,3.8304049968719482,5
-5936.0,-6866.0,-2901.0,2446,4.227007865905762,10
-5795.0,-6808.0,-3089.0,2446,4.227010011672974,10
-6023.0,-6714.0,-2893.0,2450,4.239938974380493,14
-5882.0,-6656.0,-3081.0,2451,4.241621017456055,15
-6000.0,-6590.0,-2915.0,2462,4.250454902648926,15
-6805.0,-6114.0,-2543.0,2481,4.276581048965454,17
-5399.0,-6779.0,-3174.0,2497,4.299445867538452,17
-5540.0,-6837.0,-2986.0,2499,4.300304889678955,15
-5470.0,-6813.0,-3167.0,2515,4.327489852905273,17
-5611.0,-6871.0,-2979.0,2518,4.32893705368042,14
-6751.0,-5757.0,-3015.0,2538,4.36156702041626,7
-5416.0,-6456.0,-3639.0,2542,4.378489017486572,10
-5532.0,-6923.0,-3088.0,2542,4.3784918785095215,10
-5345.0,-6422.0,-3646.0,2544,4.385334014892578,12
-5489.0,-6922.0,-3116.0,2696,4.580054044723511,20
-5630.0,-6980.0,-2928.0,2703,4.586099863052368,13
-5520.0,-6578.0,-3120.0,2806,4.791942834854126,16
-5657.0,-7331.0,-1104.0,2856,4.923509836196899,19
-6866.0,-6080.0,-2518.0,2972,5.136890888214111,20
-6788.0,-5738.0,-2943.0,2994,5.1542980670928955,20
-7093.0,-6045.0,-2301.0,2996,5.155164957046509,18
-6724.0,-6014.0,-2929.0,3007,5.165700912475586,21
-6083.0,-6739.0,-2847.0,3008,5.166167974472046,20
-6802.0,-6356.0,-2504.0,3011,5.1674580574035645,17
-6811.0,-5862.0,-2921.0,3025,5.179301977157593,21
-6170.0,-6587.0,-2839.0,3026,5.179823875427246,20
-6889.0,-6204.0,-2496.0,3031,5.181897878646851,15
-5587.0,-5855.0,-3675.0,3324,5.6706318855285645,14
-6590.0,-5208.0,-3718.0,3360,5.755007982254028,9
-6567.0,-5084.0,-3740.0,3360,5.7550208568573,9
-6503.0,-5360.0,-3726.0,3361,5.7597880363464355,10
-5862.0,-6085.0,-3644.0,3362,5.764266014099121,11
-5949.0,-5933.0,-3636.0,3367,5.779993057250977,16
-5926.0,-5809.0,-3658.0,3370,5.782186031341553,18
-6872.0,-5391.0,-3098.0,3399,5.815381050109863,17
-5466.0,-6056.0,-3729.0,3407,5.8299479484558105,17
-5537.0,-6090.0,-3722.0,3417,5.847497940063477,17
-5556.0,-6199.0,-3671.0,3456,5.89341402053833,20
-6417.0,-6517.0,-3591.0,3491,5.936353921890259,2
-5119.0,-3649.0,-4833.0,3492,5.942025899887085,3
-5055.0,-3925.0,-4819.0,3493,5.948986053466797,4
-5032.0,-3801.0,-4841.0,3995,6.825850009918213,11
-4659.0,-3896.0,-4904.0,4024,6.879094839096069,17
-4572.0,-4048.0,-4912.0,4026,6.880003929138184,15
-4730.0,-3930.0,-4897.0,4050,6.928799867630005,17
-4643.0,-4082.0,-4905.0,4052,6.929738998413086,15
-4247.0,-4053.0,-4990.0,4053,6.930263996124268,14
-5847.0,-4973.0,-4153.0,4257,7.343271017074585,5
-5824.0,-4849.0,-4175.0,4257,7.343297958374023,5
-5760.0,-5125.0,-4161.0,4258,7.3480329513549805,6
-5550.0,-5905.0,-3717.0,4445,7.745342969894409,17
-5463.0,-6057.0,-3725.0,4447,7.7462358474731445,15
-5617.0,-5182.0,-4272.0,4745,8.255297899246216,15
-5530.0,-5334.0,-4280.0,4747,8.256289958953857,13
-5881.0,-4759.0,-4244.0,4762,8.269613981246948,20
-5968.0,-4607.0,-4236.0,4767,8.271801948547363,15
-4922.0,-3669.0,-4994.0,4798,8.304045915603638,4
-4835.0,-3821.0,-5002.0,4799,8.310729026794434,5
-4828.0,-3511.0,-5023.0,5018,8.720762968063354,11
-4851.0,-3635.0,-5001.0,5018,8.720763921737671,11
-4764.0,-3787.0,-5009.0,5018,8.720777034759521,11
-4439.0,-3792.0,-5087.0,5106,8.844913005828857,15
-5655.0,-5796.0,-3822.0,5400,9.415664911270142,15
-6909.0,-5333.0,-2722.0,5425,9.471039056777954,17
-5809.0,-4921.0,-4369.0,5473,9.550766944885254,8
-5722.0,-5073.0,-4377.0,5608,9.761396884918213,13
-6013.0,-4762.0,-4174.0,5619,9.77188491821289,17
-5397.0,-5078.0,-4455.0,5623,9.773607015609741,13
-5326.0,-5044.0,-4462.0,5625,9.774493932723999,11
-6160.0,-4346.0,-4333.0,5634,9.791300058364868,15
-6073.0,-4498.0,-4341.0,5637,9.794561862945557,18
-4368.0,-3965.0,-4930.0,5651,9.805003881454468,4
-5597.0,-4542.0,-4771.0,5651,9.805026054382324,4
-5154.0,-6249.0,-3889.0,5710,9.952527046203613,6
-6213.0,-4226.0,-4490.0,5710,9.952546834945679,6
-5179.0,-5840.0,-4252.0,5711,9.95803189277649,7
-5295.0,-6307.0,-3701.0,5712,9.963060855865479,8
-5108.0,-5806.0,-4259.0,5986,10.397937059402466,11
-5175.0,-5083.0,-4814.0,6137,10.646314859390259,9
-5862.0,-4801.0,-4526.0,6138,10.650239944458008,10
-5625.0,-5469.0,-4257.0,6139,10.654562950134277,11
-5689.0,-5193.0,-4271.0,6261,10.80809497833252,12
-5712.0,-5317.0,-4249.0,6261,10.808099031448364,12
-5300.0,-5474.0,-4335.0,6274,10.821342945098877,16
-5229.0,-5440.0,-4342.0,6276,10.822346925735474,14
-5416.0,-5941.0,-3784.0,6277,10.822841882705688,13
-5362.0,-5584.0,-4256.0,6282,10.833348989486694,15
-5221.0,-5526.0,-4444.0,6282,10.833350896835327,15
-5319.0,-5583.0,-4284.0,6307,10.852565050125122,15
-5526.0,-4508.0,-4778.0,6311,10.855567932128906,10
-5572.0,-4951.0,-4408.0,6316,10.8663489818573,15
-5647.0,-3611.0,-4575.0,6327,10.87581205368042,20
-5616.0,-4651.0,-4720.0,6345,10.887052059173584,11
-5563.0,-5814.0,-3730.0,6358,10.907093048095703,18
-5326.0,-5251.0,-4298.0,6367,10.913712978363037,6
-5568.0,-5967.0,-3705.0,6429,11.020621061325073,21
-6598.0,-4961.0,-3723.0,6442,11.030863046646118,20
-6903.0,-5268.0,-3081.0,6444,11.03176498413086,18
-6534.0,-5237.0,-3709.0,6455,11.042849063873291,21
-5893.0,-5962.0,-3627.0,6456,11.043349027633667,20
-6621.0,-5085.0,-3701.0,6473,11.05951189994812,21
-5980.0,-5810.0,-3619.0,6474,11.060045957565308,20
-5587.0,-6076.0,-3654.0,6494,11.075206995010376,20
-6838.0,-5506.0,-2565.0,6527,11.096555948257446,7
-6705.0,-6448.0,-3349.0,6587,11.170042037963867,8
