z1,z2,z3,node,time,depth
-5604.0,-5122.0,-5948.0,1,0.0063931941986083984,1
-3494.0,-5547.0,-6202.0,1,0.006419181823730469,1
-4239.0,-4715.0,-6655.0,1,0.006442070007324219,1
-4964.0,-5705.0,-5690.0,1,0.006443023681640625,1
-3599.0,-5298.0,-6397.0,1,0.006481170654296875,1
-5912.0,-4483.0,-5442.0,2,0.014394998550415039,2
-7096.0,-3788.0,-3054.0,2,0.014409065246582031,2
-6418.0,-4645.0,-4839.0,2,0.014410972595214844,2
-6574.0,-4667.0,-4443.0,2,0.014441967010498047,2
-2763.0,-5830.0,-5365.0,523,0.5157670974731445,17
-2766.0,-5975.0,-5241.0,529,0.5194201469421387,18
-2604.0,-6027.0,-5042.0,617,0.6102321147918701,20
-2496.0,-6131.0,-4971.0,624,0.6141641139984131,19
-3054.0,-6006.0,-4941.0,705,0.6861910820007324,17
-3057.0,-6151.0,-4817.0,712,0.6906330585479736,17
-2478.0,-5935.0,-5550.0,838,0.8837440013885498,11
-5778.0,-5228.0,-4581.0,1264,1.4481420516967773,6
-5123.0,-5740.0,-4295.0,1264,1.448146104812622,6
-5934.0,-5250.0,-4185.0,1264,1.4481680393218994,6
-5972.0,-5071.0,-4105.0,1426,1.619110107421875,9
-5080.0,-5564.0,-4613.0,1514,1.7107861042022705,11
-3085.0,-6031.0,-4820.0,1820,2.0663530826568604,21
-3684.0,-5650.0,-5774.0,1834,2.088052988052368,17
-3687.0,-5795.0,-5650.0,1840,2.0918140411376953,18
-3792.0,-5546.0,-5845.0,1841,2.0924031734466553,17
-3730.0,-5971.0,-5332.0,1844,2.093931198120117,14
-5011.0,-5728.0,-4472.0,1857,2.110227108001709,12
-4751.0,-5832.0,-5017.0,1858,2.112014055252075,13
-4190.0,-5812.0,-5171.0,1861,2.115807056427002,16
-4298.0,-5708.0,-5242.0,1868,2.120490074157715,18
-4193.0,-5957.0,-5047.0,1870,2.1214590072631836,16
-5085.0,-5464.0,-4539.0,1871,2.121978998184204,15
-4236.0,-6133.0,-4729.0,1873,2.1229641437530518,13
-5047.0,-5643.0,-4619.0,1874,2.1234850883483887,12
-5313.0,-5564.0,-4419.0,1965,2.2273521423339844,10
-5573.0,-5460.0,-3874.0,1996,2.261726140975952,13
-4798.0,-5865.0,-4131.0,2010,2.2721099853515625,14
-5609.0,-5375.0,-4021.0,2011,2.2725980281829834,13
-3353.0,-6162.0,-4164.0,2025,2.2967209815979004,10
-4234.0,-5869.0,-4876.0,2122,2.390619993209839,18
-4792.0,-5744.0,-4846.0,2125,2.3921971321105957,15
-4277.0,-6045.0,-4558.0,2126,2.392731189727783,14
-5557.0,-5254.0,-4719.0,2129,2.3959591388702393,14
-5088.0,-5555.0,-4448.0,2142,2.4052951335906982,14
-5401.0,-5232.0,-5115.0,2147,2.4103610515594482,14
-5048.0,-5642.0,-4496.0,2180,2.4344429969787598,16
-5777.0,-5237.0,-4222.0,2183,2.436155080795288,13
-6612.0,-4488.0,-4363.0,2455,2.7298901081085205,8
-5813.0,-5155.0,-4375.0,2531,2.8106331825256348,12
-5553.0,-5259.0,-4920.0,2532,2.812636137008667,13
-5038.0,-5560.0,-4632.0,2547,2.825881004333496,13
-5849.0,-5070.0,-4522.0,2548,2.8264410495758057,12
-5809.0,-5157.0,-4570.0,2577,2.8539960384368896,11
-5190.0,-5681.0,-4348.0,2579,2.867842197418213,7
-6213.0,-4877.0,-4132.0,2690,3.0136539936065674,11
-5953.0,-4981.0,-4677.0,2693,3.020214080810547,14
-6249.0,-4792.0,-4279.0,2707,3.029790163040161,11
-4324.0,-5067.0,-6032.0,2748,3.0923070907592773,17
-4432.0,-4963.0,-6103.0,2752,3.094616174697876,18
-4327.0,-5212.0,-5908.0,2753,3.0951950550079346,17
-4108.0,-5777.0,-5384.0,2766,3.106827974319458,18
-4151.0,-5953.0,-5066.0,2771,3.109349012374878,13
-5391.0,-5249.0,-5275.0,2777,3.117002010345459,14
-4928.0,-4354.0,-6346.0,2820,3.1770241260528564,3
-4335.0,-4441.0,-6573.0,2820,3.1770880222320557,3
-4291.0,-4986.0,-6074.0,2821,3.1897690296173096,4
-2643.0,-4703.0,-6685.0,2821,3.1898021697998047,4
-2357.0,-3987.0,-6695.0,2847,3.222445011138916,19
-2217.0,-4198.0,-6697.0,2871,3.2405781745910645,19
-2915.0,-3862.0,-6665.0,2890,3.2518181800842285,16
-2538.0,-4952.0,-6490.0,2954,3.3202500343322754,9
-3204.0,-4723.0,-6531.0,2959,3.3295860290527344,13
-2646.0,-4848.0,-6561.0,2982,3.343194007873535,19
-3695.0,-5024.0,-6315.0,3044,3.4036450386047363,4
-5931.0,-4070.0,-5564.0,3506,3.8955891132354736,14
-5084.0,-4376.0,-5950.0,3676,4.0634071826934814,11
-5044.0,-4463.0,-5998.0,3685,4.069231033325195,11
-4043.0,-5885.0,-5281.0,3730,4.207306146621704,7
-3537.0,-5723.0,-5884.0,3730,4.207322120666504,7
-4192.0,-5211.0,-6170.0,3730,4.2073609828948975,7
-2612.0,-4773.0,-6563.0,3774,4.260447978973389,19
-4000.0,-5709.0,-5599.0,3962,4.442608118057251,11
-4105.0,-5460.0,-5794.0,3963,4.447167158126831,12
-4365.0,-4807.0,-6147.0,4017,4.528001070022583,19
-5692.0,-4506.0,-5662.0,4053,4.598067998886108,8
-5832.0,-4295.0,-5660.0,4261,4.810193061828613,13
-6254.0,-4238.0,-5064.0,4263,4.821542024612427,9
-7057.0,-3512.0,-3101.0,4316,4.878444194793701,21
-6394.0,-4027.0,-5062.0,4435,4.984687089920044,13
-6279.0,-4493.0,-4840.0,4482,5.043905019760132,16
-6419.0,-4282.0,-4838.0,4502,5.061779022216797,14
-6379.0,-4369.0,-4886.0,4528,5.08918309211731,16
-6239.0,-4580.0,-4888.0,4529,5.089761972427368,15
-6535.0,-4391.0,-4490.0,4531,5.09081506729126,13
-5733.0,-4418.0,-5491.0,4550,5.11147403717041,16
-5873.0,-4207.0,-5489.0,4553,5.112972021102905,13
-5769.0,-4882.0,-4740.0,4591,5.185340166091919,13
-6295.0,-4699.0,-3995.0,4636,5.236698150634766,16
-5526.0,-5437.0,-5092.0,4704,5.34109902381897,7
-4538.0,-5200.0,-5702.0,4917,5.580794095993042,17
-4393.0,-4687.0,-6150.0,4929,5.591181993484497,19
-5730.0,-5214.0,-5440.0,4972,5.620870113372803,9
-6166.0,-4854.0,-5350.0,5089,5.786625146865845,5
-7049.0,-3765.0,-4272.0,5089,5.786633014678955,5
-6855.0,-3922.0,-4748.0,5304,6.057620048522949,10
-6893.0,-3743.0,-4668.0,5304,6.057622194290161,10
-6503.0,-3690.0,-4923.0,5368,6.122208118438721,18
-6309.0,-3847.0,-5399.0,5370,6.123414993286133,16
-6169.0,-4058.0,-5401.0,5371,6.124056100845337,15
-6465.0,-3869.0,-5003.0,5373,6.12492299079895,13
-6425.0,-3956.0,-5051.0,5398,6.1469810009002686,20
-6675.0,-4220.0,-4798.0,5403,6.148904085159302,15
-7009.0,-3852.0,-4320.0,5404,6.149653196334839,14
-6935.0,-4116.0,-4253.0,5405,6.150254964828491,13
-6815.0,-4009.0,-4796.0,5406,6.150779962539673,12
-6971.0,-4031.0,-4400.0,5407,6.15130615234375,11
-5835.0,-4344.0,-5646.0,5595,6.364662170410156,13
-6487.0,-4033.0,-4870.0,5667,6.440526962280273,9
-6293.0,-4190.0,-5346.0,5668,6.445008993148804,10
-6331.0,-4011.0,-5266.0,5668,6.445011138916016,10
-5049.0,-4451.0,-6029.0,5727,6.514886140823364,21
-5046.0,-4306.0,-6153.0,5728,6.515602111816406,20
-5154.0,-4202.0,-6224.0,5729,6.516148090362549,19
-5941.0,-3958.0,-5521.0,5730,6.5167670249938965,18
-5867.0,-4222.0,-5454.0,5731,6.517332077026367,17
-5747.0,-4115.0,-5997.0,5732,6.517888069152832,16
-5607.0,-4326.0,-5999.0,5733,6.518527030944824,15
-5903.0,-4137.0,-5601.0,5735,6.519649982452393,13
-5863.0,-4224.0,-5649.0,5762,6.542587041854858,20
-6113.0,-4488.0,-5396.0,5767,6.544557094573975,15
-6447.0,-4120.0,-4918.0,5768,6.5451390743255615,14
-6373.0,-4384.0,-4851.0,5769,6.545818090438843,13
-6253.0,-4277.0,-5394.0,5770,6.54637598991394,12
-6409.0,-4299.0,-4998.0,5771,6.547049045562744,11
-5904.0,-4136.0,-5478.0,5786,6.5655951499938965,20
-6450.0,-4211.0,-4827.0,5794,6.5689990520477295,12
-6410.0,-4298.0,-4875.0,5795,6.569679021835327,11
-6294.0,-4189.0,-5223.0,5796,6.570199012756348,10
-4832.0,-4628.0,-6428.0,5798,6.574974060058594,8
-4134.0,-4964.0,-6460.0,5801,6.589747190475464,11
-4988.0,-4650.0,-6032.0,5801,6.589756011962891,11
-5026.0,-4471.0,-5952.0,5853,6.6443541049957275,12
-4473.0,-5404.0,-5906.0,5875,6.666901111602783,14
-3912.0,-5384.0,-6060.0,5878,6.671108961105347,17
-4020.0,-5280.0,-6131.0,5882,6.674551963806152,20
-4223.0,-5140.0,-6159.0,5884,6.675533056259155,18
-3915.0,-5529.0,-5936.0,5885,6.676249980926514,17
-4613.0,-5193.0,-5904.0,5887,6.677270174026489,15
-4640.0,-5126.0,-5857.0,5892,6.681229114532471,11
-4745.0,-4877.0,-6052.0,5893,6.685693025588989,12
-4948.0,-4737.0,-6080.0,5910,6.69903302192688,12
