z1,z2,z3,node,time,depth
-78.0,-45.0,-35.0,1,0.0077190399169921875,1
-70.0,-58.0,-46.0,1,0.007743120193481445,1
-73.0,-58.0,-42.0,1,0.007796049118041992,1
-64.0,-41.0,-52.0,1,0.007857084274291992,1
-68.0,-62.0,-42.0,2,0.017578125,2
-54.0,-59.0,-49.0,4,0.03349614143371582,4
-70.0,-59.0,-43.0,5,0.040284156799316406,5
-58.0,-64.0,-42.0,329,0.2807791233062744,8
-74.0,-51.0,-34.0,599,0.4759361743927002,12
-64.0,-66.0,-35.0,1198,0.9309511184692383,21
-59.0,-67.0,-36.0,1225,0.950685977935791,18
-62.0,-65.0,-37.0,1259,0.9759140014648438,18
-73.0,-64.0,-36.0,1371,1.0616950988769531,21
-77.0,-56.0,-27.0,1415,1.089704990386963,20
-75.0,-58.0,-27.0,1423,1.0935101509094238,18
-74.0,-53.0,-33.0,1491,1.1374740600585938,14
-75.0,-55.0,-29.0,1517,1.156080961227417,16
-60.0,-64.0,-41.0,1630,1.2634451389312744,7
-56.0,-59.0,-48.0,1632,1.2714061737060547,9
-56.0,-56.0,-50.0,1671,1.3026299476623535,11
-54.0,-58.0,-50.0,1720,1.3368959426879883,19
-51.0,-60.0,-49.0,1885,1.4650471210479736,20
-51.0,-57.0,-51.0,1934,1.4997870922088623,15
-63.0,-43.0,-52.0,2531,1.9871220588684082,4
-61.0,-47.0,-52.0,2532,1.9941301345825195,5
-61.0,-55.0,-48.0,2535,2.011005163192749,8
-58.0,-48.0,-52.0,2556,2.0302059650421143,21
-53.0,-54.0,-51.0,2671,2.118046998977661,16
-58.0,-57.0,-49.0,2711,2.14896297454834,7
-61.0,-52.0,-50.0,2725,2.170112133026123,12
-59.0,-54.0,-50.0,2739,2.1790101528167725,20
-56.0,-53.0,-51.0,2790,2.213175058364868,15
-52.0,-41.0,-53.0,2813,2.2359490394592285,19
-50.0,-43.0,-53.0,2824,2.243169069290161,18
-56.0,-52.0,-52.0,2852,2.266201972961426,15
-40.0,-49.0,-53.0,2866,2.277351140975952,14
-41.0,-48.0,-53.0,2873,2.281797170639038,17
-47.0,-42.0,-54.0,2887,2.2903780937194824,15
-60.0,-53.0,-49.0,2975,2.359708070755005,5
-63.0,-48.0,-50.0,2982,2.3732211589813232,12
-42.0,-45.0,-53.0,3104,2.459239959716797,14
-49.0,-38.0,-54.0,3115,2.465441942214966,15
-60.0,-50.0,-51.0,3129,2.476145029067993,6
-42.0,-42.0,-55.0,3192,2.524001121520996,16
-46.0,-43.0,-54.0,3216,2.537527084350586,12
-57.0,-36.0,-53.0,3225,2.546720027923584,10
-52.0,-37.0,-54.0,3246,2.5606231689453125,16
-55.0,-38.0,-53.0,3255,2.5665359497070312,15
-52.0,-36.0,-55.0,3288,2.586812973022461,14
-77.0,-50.0,-33.0,3329,2.63087797164917,7
-72.0,-41.0,-43.0,3516,2.7576279640197754,11
-74.0,-42.0,-41.0,3599,2.8219780921936035,16
-74.0,-37.0,-43.0,3638,2.8469390869140625,11
-74.0,-44.0,-40.0,3682,2.8759050369262695,11
-74.0,-49.0,-38.0,3683,2.876711130142212,12
-69.0,-40.0,-48.0,3723,2.906445026397705,10
-76.0,-52.0,-33.0,3770,2.9478790760040283,10
-76.0,-49.0,-35.0,3770,2.947895050048828,10
-76.0,-43.0,-37.0,3828,2.989575147628784,10
-74.0,-56.0,-32.0,3905,3.0458731651306152,18
-76.0,-53.0,-29.0,3916,3.051401138305664,10
-77.0,-52.0,-29.0,3923,3.057548999786377,14
-78.0,-46.0,-31.0,3954,3.0795979499816895,10
-74.0,-40.0,-42.0,3972,3.0926859378814697,5
-64.0,-44.0,-50.0,4189,3.269129991531372,7
-70.0,-39.0,-47.0,4227,3.300107002258301,8
-69.0,-43.0,-47.0,4244,3.3251049518585205,10
-72.0,-38.0,-44.0,4251,3.3337810039520264,10
-67.0,-44.0,-47.0,4274,3.35076904296875,14
-67.0,-41.0,-49.0,4276,3.352092981338501,12
-65.0,-62.0,-46.0,4292,3.386420965194702,3
-66.0,-42.0,-49.0,4292,3.3864381313323975,3
-56.0,-65.0,-44.0,4298,3.4311389923095703,9
-50.0,-66.0,-45.0,4356,3.4812490940093994,21
-61.0,-66.0,-39.0,4396,3.5123519897460938,21
-56.0,-67.0,-40.0,4439,3.5428249835968018,18
-51.0,-67.0,-41.0,4441,3.544734001159668,13
