z1,z2,z3,node,time,depth
-79.0,-95.0,-83.0,1,0.001672983169555664,1
-73.0,-100.0,-83.0,1,0.0016739368438720703,1
-82.0,-93.0,-82.0,1,0.0016870498657226562,1
-63.0,-86.0,-87.0,3,0.004580020904541016,3
-68.0,-83.0,-86.0,15,0.01447606086730957,6
-72.0,-81.0,-84.0,95,0.059404850006103516,13
-69.0,-82.0,-85.0,106,0.06579399108886719,12
-67.0,-89.0,-84.0,114,0.07361888885498047,8
-69.0,-87.0,-84.0,121,0.07695508003234863,11
-57.0,-91.0,-84.0,171,0.11391806602478027,18
-62.0,-88.0,-86.0,174,0.11510801315307617,18
-59.0,-89.0,-85.0,190,0.1234738826751709,16
-64.0,-86.0,-86.0,202,0.12994694709777832,14
-76.0,-98.0,-82.0,237,0.14893507957458496,2
-60.0,-88.0,-87.0,263,0.16945099830627441,17
-65.0,-85.0,-86.0,274,0.17461085319519043,16
-57.0,-89.0,-86.0,278,0.17788195610046387,12
-67.0,-87.0,-85.0,308,0.1925199031829834,6
-70.0,-83.0,-84.0,356,0.22769594192504883,16
-64.0,-80.0,-89.0,456,0.28110504150390625,15
-69.0,-77.0,-88.0,456,0.2811088562011719,15
-66.0,-83.0,-88.0,475,0.29213500022888184,13
-66.0,-78.0,-89.0,510,0.3110189437866211,12
-71.0,-79.0,-85.0,511,0.3117258548736572,6
-78.0,-96.0,-80.0,575,0.3502640724182129,8
