z1,z2,z3,node,time,depth
-71.0,-67.0,-87.0,1,0.005026102066040039,1
-55.0,-78.0,-74.0,1,0.005050182342529297,1
-76.0,-72.0,-78.0,1,0.0050601959228515625,1
-77.0,-72.0,-75.0,1,0.0050640106201171875,1
-73.0,-73.0,-80.0,2,0.010665178298950195,2
-74.0,-67.0,-84.0,3,0.015850067138671875,3
-78.0,-67.0,-78.0,4,0.020417213439941406,4
-73.0,-70.0,-82.0,29,0.05473017692565918,21
-71.0,-69.0,-84.0,98,0.12475299835205078,9
-64.0,-74.0,-73.0,824,1.1775791645050049,14
-57.0,-74.0,-78.0,866,1.2488291263580322,11
-68.0,-74.0,-69.0,1312,1.9574341773986816,19
-66.0,-75.0,-71.0,1380,2.026003122329712,21
-60.0,-76.0,-72.0,1546,2.2175731658935547,19
-77.0,-70.0,-76.0,1818,2.5597050189971924,12
-81.0,-59.0,-73.0,1882,2.653154134750366,13
-82.0,-57.0,-71.0,1905,2.6715810298919678,20
-80.0,-64.0,-68.0,1982,2.784290075302124,8
-80.0,-60.0,-72.0,2136,2.9691481590270996,21
-79.0,-51.0,-76.0,2315,3.2396490573883057,20
-82.0,-54.0,-73.0,2360,3.2857730388641357,21
-77.0,-57.0,-79.0,2538,3.4712560176849365,13
-81.0,-56.0,-75.0,2550,3.480929136276245,21
-80.0,-57.0,-74.0,2561,3.4909441471099854,20
-80.0,-61.0,-70.0,2620,3.558852195739746,19
-79.0,-63.0,-72.0,2625,3.5664751529693604,10
-83.0,-63.0,-66.0,2694,3.690805196762085,11
-81.0,-61.0,-68.0,2709,3.7035200595855713,20
-85.0,-56.0,-69.0,2718,3.7095251083374023,19
-85.0,-57.0,-63.0,2796,3.7853810787200928,13
-84.0,-57.0,-68.0,2814,3.800673007965088,15
-83.0,-58.0,-67.0,3023,3.9909911155700684,20
-81.0,-64.0,-66.0,3145,4.160281181335449,11
-80.0,-67.0,-64.0,3183,4.215242147445679,9
-82.0,-60.0,-67.0,3200,4.2333290576934814,21
-84.0,-60.0,-66.0,3226,4.25944709777832,19
-79.0,-65.0,-68.0,3288,4.3445611000061035,8
-85.0,-58.0,-62.0,3604,4.79754900932312,15
-87.0,-58.0,-61.0,3609,4.8011040687561035,16
-78.0,-68.0,-63.0,3644,4.827208995819092,15
-60.0,-78.0,-71.0,3900,5.127037048339844,3
-67.0,-71.0,-84.0,3902,5.1347081661224365,5
-64.0,-76.0,-69.0,3903,5.138548135757446,6
-73.0,-72.0,-81.0,3925,5.166621208190918,21
-67.0,-75.0,-70.0,4020,5.318300008773804,12
-65.0,-74.0,-72.0,4052,5.353785991668701,21
-69.0,-74.0,-66.0,4284,5.74548602104187,19
-64.0,-77.0,-67.0,4328,5.801403999328613,12
-59.0,-75.0,-75.0,4686,6.361514091491699,17
-61.0,-74.0,-76.0,4736,6.444407224655151,14
-63.0,-75.0,-74.0,4794,6.524859189987183,19
-62.0,-77.0,-71.0,4915,6.6703941822052,9
-84.0,-61.0,-62.0,4943,6.705617189407349,5
-82.0,-59.0,-70.0,4946,6.715548038482666,8
-81.0,-60.0,-69.0,5091,6.927259206771851,16
-79.0,-68.0,-60.0,5378,7.375408172607422,15
-80.0,-63.0,-69.0,5413,7.412689208984375,9
-82.0,-56.0,-72.0,5450,7.441693067550659,19
-59.0,-78.0,-73.0,5539,7.5459160804748535,3
-74.0,-73.0,-77.0,5539,7.54593300819397,3
-67.0,-70.0,-86.0,5540,7.5500500202178955,4
-64.0,-72.0,-86.0,5542,7.557797193527222,6
-70.0,-73.0,-83.0,5635,7.685279130935669,19
-66.0,-73.0,-84.0,5773,7.910609006881714,13
-51.0,-75.0,-78.0,5905,8.09649920463562,20
-54.0,-74.0,-81.0,5926,8.119832992553711,14
-53.0,-76.0,-76.0,6004,8.212409019470215,19
-55.0,-75.0,-77.0,6016,8.235611200332642,11
-57.0,-76.0,-75.0,6066,8.30281114578247,19
-75.0,-67.0,-81.0,6237,8.574069023132324,6
-74.0,-70.0,-79.0,6356,8.78825306892395,12
-67.0,-67.0,-88.0,6497,8.975672006607056,21
-64.0,-69.0,-88.0,6529,9.01010012626648,21
-70.0,-70.0,-85.0,6577,9.077136039733887,15
-53.0,-60.0,-90.0,6647,9.175750017166138,19
-56.0,-58.0,-90.0,6653,9.18014407157898,15
