z1,z2,z3,node,time,depth
-77.0,-75.0,-82.0,1,0.005776882171630859,1
-86.0,-64.0,-82.0,1,0.005797863006591797,1
-86.0,-72.0,-74.0,1,0.005822896957397461,1
-83.0,-74.0,-77.0,3,0.017654895782470703,2
-86.0,-65.0,-79.0,5,0.027768850326538086,3
-80.0,-71.0,-83.0,5,0.027776002883911133,3
-83.0,-75.0,-74.0,6,0.03382086753845215,3
-70.0,-79.0,-72.0,14,0.06943988800048828,4
-80.0,-62.0,-87.0,17,0.08107781410217285,5
-81.0,-70.0,-81.0,17,0.08107995986938477,5
-84.0,-68.0,-78.0,17,0.08108997344970703,5
-80.0,-72.0,-82.0,33,0.13495588302612305,6
-83.0,-68.0,-83.0,33,0.13496088981628418,6
-77.0,-66.0,-86.0,34,0.13733792304992676,6
-83.0,-69.0,-80.0,81,0.2496039867401123,7
-80.0,-73.0,-79.0,81,0.24961590766906738,7
-87.0,-64.0,-64.0,113,0.30324602127075195,7
-87.0,-57.0,-69.0,211,0.42803001403808594,8
-87.0,-65.0,-61.0,325,0.5360739231109619,9
-78.0,-69.0,-85.0,370,0.5693550109863281,10
-83.0,-70.0,-78.0,372,0.5710649490356445,10
-76.0,-76.0,-66.0,463,0.642481803894043,10
-81.0,-73.0,-78.0,466,0.6445498466491699,10
-87.0,-58.0,-66.0,487,0.659822940826416,10
-73.0,-77.0,-69.0,495,0.6664698123931885,10
-86.0,-66.0,-77.0,540,0.699448823928833,11
-85.0,-71.0,-77.0,548,0.7042429447174072,11
-72.0,-78.0,-67.0,639,0.7689378261566162,11
-73.0,-76.0,-72.0,691,0.8058300018310547,11
-72.0,-77.0,-70.0,694,0.8077750205993652,11
-84.0,-63.0,-83.0,712,0.8222589492797852,12
-69.0,-55.0,-88.0,736,0.8383948802947998,12
-67.0,-59.0,-90.0,745,0.8452458381652832,12
-64.0,-76.0,-78.0,789,0.871690034866333,12
-81.0,-65.0,-86.0,880,0.9255709648132324,13
-77.0,-77.0,-62.0,1088,1.0453248023986816,14
-77.0,-76.0,-65.0,1106,1.055279016494751,14
-75.0,-77.0,-68.0,1120,1.0669639110565186,14
-68.0,-77.0,-76.0,1132,1.073235034942627,14
-71.0,-54.0,-88.0,1174,1.0931239128112793,15
-68.0,-78.0,-73.0,1214,1.1132099628448486,15
-68.0,-60.0,-88.0,1250,1.1304709911346436,16
-74.0,-76.0,-69.0,1328,1.1653518676757812,17
