z1,z2,z3,node,time,depth
-53.0,-89.0,-63.0,1,0.017884016036987305,1
-72.0,-77.0,-77.0,1,0.017918109893798828,1
-85.0,-48.0,-54.0,1,0.017991065979003906,1
-81.0,-63.0,-62.0,1,0.0180361270904541,1
-57.0,-71.0,-80.0,34,0.0761570930480957,21
-76.0,-68.0,-63.0,685,0.5255341529846191,20
-55.0,-75.0,-80.0,924,0.7159311771392822,21
-49.0,-76.0,-82.0,1026,0.7924060821533203,21
-75.0,-70.0,-63.0,1276,1.015902042388916,21
-73.0,-74.0,-60.0,1296,1.0281951427459717,21
-74.0,-73.0,-61.0,1322,1.0453290939331055,21
-75.0,-73.0,-56.0,1332,1.0528972148895264,10
-74.0,-76.0,-53.0,1911,1.528426170349121,16
-73.0,-76.0,-58.0,1918,1.531830072402954,19
-76.0,-72.0,-56.0,1989,1.6001460552215576,16
-75.0,-72.0,-61.0,1996,1.6044881343841553,19
-62.0,-81.0,-77.0,3410,2.8618180751800537,7
-48.0,-80.0,-80.0,3464,2.9144840240478516,19
-61.0,-85.0,-74.0,3639,3.069749116897583,21
-60.0,-84.0,-77.0,3664,3.0857491493225098,20
-44.0,-86.0,-74.0,3691,3.103271007537842,20
-43.0,-85.0,-77.0,3706,3.1122021675109863,19
-44.0,-82.0,-79.0,3815,3.1955180168151855,20
-68.0,-80.0,-75.0,3902,3.278515100479126,20
-67.0,-79.0,-78.0,3940,3.3005151748657227,20
-66.0,-83.0,-75.0,3961,3.3170571327209473,19
-50.0,-80.0,-78.0,4236,3.5569701194763184,17
-51.0,-77.0,-80.0,4274,3.5901691913604736,15
-58.0,-70.0,-80.0,4290,3.6001241207122803,13
-60.0,-87.0,-57.0,4343,3.6720240116119385,8
-50.0,-86.0,-68.0,4361,3.6869711875915527,18
-54.0,-86.0,-65.0,4362,3.687800168991089,12
-56.0,-86.0,-60.0,4373,3.6949241161346436,18
-48.0,-87.0,-71.0,4393,3.7083840370178223,9
-54.0,-88.0,-63.0,4393,3.7083890438079834,9
-50.0,-87.0,-66.0,4410,3.7220191955566406,21
-49.0,-86.0,-69.0,4420,3.7279610633850098,19
-52.0,-86.0,-67.0,4456,3.7578580379486084,13
-58.0,-86.0,-59.0,4472,3.768311023712158,17
-65.0,-84.0,-53.0,4493,3.781787157058716,14
-62.0,-84.0,-56.0,4518,3.813345193862915,16
-72.0,-79.0,-54.0,4660,3.9393529891967773,19
-74.0,-75.0,-58.0,4679,3.956146001815796,8
-67.0,-82.0,-58.0,4698,3.9795470237731934,11
-76.0,-71.0,-61.0,4707,3.9977080821990967,5
-69.0,-78.0,-61.0,5080,4.342878103256226,9
-65.0,-82.0,-76.0,5093,4.359461069107056,2
-54.0,-74.0,-81.0,5096,4.392772197723389,5
-56.0,-70.0,-81.0,5205,4.4966630935668945,18
-63.0,-62.0,-81.0,5398,4.703415155410767,4
-56.0,-75.0,-79.0,5398,4.70343017578125,4
-57.0,-72.0,-79.0,5539,4.836343050003052,11
-64.0,-65.0,-79.0,5542,4.83948016166687,13
-75.0,-63.0,-69.0,5592,4.8798182010650635,19
-77.0,-58.0,-71.0,5640,4.9079132080078125,12
-62.0,-69.0,-79.0,5811,5.039038181304932,16
-63.0,-68.0,-79.0,5913,5.127472162246704,11
-76.0,-64.0,-68.0,6376,5.540703058242798,19
-73.0,-61.0,-73.0,6414,5.565234184265137,12
-77.0,-63.0,-68.0,6508,5.641836166381836,8
-73.0,-64.0,-69.0,6550,5.6757330894470215,17
-78.0,-61.0,-68.0,6621,5.734440088272095,10
-79.0,-62.0,-65.0,6621,5.734441041946411,10
-77.0,-65.0,-66.0,6640,5.751315116882324,15
-76.0,-56.0,-74.0,6670,5.78035306930542,6
-79.0,-58.0,-69.0,6691,5.809307098388672,20
-78.0,-57.0,-72.0,6707,5.818343162536621,20
-77.0,-61.0,-70.0,6776,5.867475986480713,15
-75.0,-59.0,-72.0,6794,5.8940160274505615,11
-74.0,-65.0,-68.0,6856,5.9506001472473145,14
-76.0,-62.0,-70.0,6899,5.986920118331909,12
-82.0,-57.0,-66.0,6900,5.989131212234497,7
-81.0,-59.0,-66.0,6965,6.036064147949219,3
-80.0,-65.0,-62.0,6966,6.0455780029296875,4
-84.0,-49.0,-54.0,6966,6.04560112953186,4
-83.0,-55.0,-50.0,6966,6.045603036880493,4
-78.0,-69.0,-59.0,6967,6.052706003189087,5
-74.0,-69.0,-65.0,6998,6.089209079742432,19
-73.0,-72.0,-63.0,7033,6.117792129516602,16
-74.0,-61.0,-71.0,7072,6.1527321338653564,7
-79.0,-63.0,-63.0,7098,6.1853251457214355,8
-74.0,-67.0,-67.0,7140,6.228940010070801,13
-75.0,-66.0,-67.0,7207,6.29224705696106,14
-74.0,-71.0,-63.0,7214,6.2969560623168945,13
-78.0,-64.0,-65.0,7270,6.3517091274261475,8
-76.0,-67.0,-66.0,7290,6.373817205429077,15
-75.0,-68.0,-66.0,7313,6.393508195877075,12
-80.0,-62.0,-63.0,7369,6.438117027282715,4
-77.0,-67.0,-62.0,7372,6.44989013671875,7
-84.0,-54.0,-50.0,7399,6.474529027938843,7
-82.0,-58.0,-47.0,7408,6.479859113693237,9
-83.0,-57.0,-48.0,7418,6.487977027893066,14
-83.0,-52.0,-51.0,7439,6.499831199645996,9
-84.0,-51.0,-52.0,7441,6.501735210418701,10
-79.0,-68.0,-59.0,7448,6.511096000671387,6
