z1,z2,z3,node,time,depth
-18166.0,-17755.0,-19465.0,9,0.005984067916870117,9
-18551.0,-17957.0,-19356.0,9,0.00598597526550293,9
-19032.0,-18164.0,-19296.0,32,0.021028995513916016,16
-19057.0,-17536.0,-19383.0,47,0.03165698051452637,15
-19036.0,-18227.0,-18731.0,92,0.05834197998046875,7
-18568.0,-18708.0,-18729.0,161,0.09702897071838379,13
-18612.0,-18350.0,-18763.0,167,0.10000801086425781,10
-18591.0,-18563.0,-18796.0,239,0.14627599716186523,13
-18595.0,-18626.0,-18231.0,251,0.15248703956604004,8
-18417.0,-18816.0,-18488.0,272,0.1641221046447754,12
-19071.0,-18115.0,-19010.0,388,0.23110604286193848,9
-18191.0,-18553.0,-19042.0,411,0.2430109977722168,12
-18027.0,-17896.0,-19436.0,424,0.2490379810333252,20
-18412.0,-18098.0,-19327.0,443,0.2606639862060547,17
-18893.0,-18305.0,-19267.0,452,0.2667391300201416,16
-18918.0,-17677.0,-19354.0,461,0.2723350524902344,15
-18094.0,-17096.0,-19525.0,496,0.29163503646850586,20
-18479.0,-17298.0,-19416.0,505,0.29714107513427734,17
-18985.0,-16877.0,-19443.0,519,0.3061511516571045,15
-18071.0,-17538.0,-19470.0,539,0.31783199310302734,14
-18456.0,-17740.0,-19361.0,539,0.31783413887023926,14
-18937.0,-17947.0,-19301.0,552,0.32554101943969727,16
-18962.0,-17319.0,-19388.0,557,0.32884693145751953,15
-18920.0,-18223.0,-18769.0,588,0.3481471538543701,16
-18496.0,-18346.0,-18801.0,631,0.37337493896484375,13
-18897.0,-18368.0,-18702.0,668,0.39541101455688477,16
-19625.0,-17681.0,-18823.0,812,0.4868800640106201,16
-19650.0,-17053.0,-18910.0,823,0.494189977645874,15
-19157.0,-18162.0,-18821.0,873,0.5233321189880371,13
-19201.0,-17804.0,-18855.0,923,0.5522141456604004,13
-19184.0,-18080.0,-18323.0,949,0.5676560401916504,13
-19006.0,-18270.0,-18580.0,968,0.5784339904785156,12
-19161.0,-18225.0,-18256.0,1003,0.5991470813751221,13
-19205.0,-17867.0,-18290.0,1007,0.601855993270874,10
-19010.0,-18333.0,-18015.0,1024,0.6116440296173096,12
-18983.0,-18415.0,-18513.0,1059,0.6321520805358887,11
-19486.0,-17822.0,-18794.0,1122,0.670773983001709,16
-19511.0,-17194.0,-18881.0,1131,0.6767170429229736,15
-19578.0,-16394.0,-18970.0,1177,0.7061159610748291,15
-19530.0,-17464.0,-18828.0,1198,0.7194290161132812,16
-19555.0,-16836.0,-18915.0,1203,0.7228231430053711,15
-19484.0,-17012.0,-19395.0,1301,0.7845280170440674,7
-19459.0,-17640.0,-19308.0,1304,0.7862551212310791,10
