z1,z2,z3,node,time,depth
-17880.0,-16250.0,-16737.0,1,0.0012187957763671875,1
-17997.0,-15931.0,-16911.0,1,0.0012369155883789062,1
-17986.0,-15604.0,-17428.0,2,0.002344846725463867,2
-17825.0,-15890.0,-17269.0,11,0.012723922729492188,4
-17851.0,-15115.0,-17719.0,30,0.033151865005493164,5
-17528.0,-15755.0,-17710.0,228,0.17022085189819336,10
-17780.0,-15925.0,-17593.0,230,0.17133188247680664,10
-17700.0,-15979.0,-17176.0,298,0.2129359245300293,11
-17645.0,-15436.0,-17884.0,392,0.2561299800872803,12
-17348.0,-15484.0,-18149.0,414,0.26695990562438965,13
