z1,z2,z3,node,time,depth
-8654.0,-7769.0,-7431.0,1,0.005425930023193359,1
-8330.0,-8489.0,-7862.0,1,0.0054509639739990234,1
-7968.0,-8829.0,-7626.0,1,0.0054590702056884766,1
-8603.0,-7077.0,-7784.0,2,0.010870933532714844,2
-8665.0,-5922.0,-7446.0,2,0.01091909408569336,2
-6918.0,-7059.0,-9043.0,646,0.47916412353515625,22
-7775.0,-8253.0,-8389.0,815,0.6045050621032715,22
-7581.0,-6876.0,-8846.0,1550,1.3299269676208496,22
-6878.0,-8133.0,-8557.0,2757,2.777013063430786,4
-6623.0,-6890.0,-9288.0,2793,2.8169469833374023,25
-6021.0,-6939.0,-9211.0,3139,3.1644411087036133,11
-7480.0,-8084.0,-8634.0,3374,3.430366039276123,21
-7286.0,-6707.0,-9091.0,3733,3.812256097793579,21
-7656.0,-5741.0,-8835.0,3755,3.8335890769958496,8
-7742.0,-7921.0,-8522.0,3999,4.122013092041016,5
-7337.0,-7464.0,-8931.0,4124,4.2318480014801025,17
-6885.0,-6727.0,-9176.0,4336,4.414155960083008,16
-7247.0,-6983.0,-9103.0,4355,4.430624961853027,19
-7500.0,-6614.0,-8919.0,4448,4.523632049560547,20
-7548.0,-6544.0,-8979.0,4557,4.636351108551025,12
-7816.0,-7116.0,-8671.0,4644,4.715402126312256,18
-8166.0,-7024.0,-8439.0,5195,5.395303964614868,16
-8186.0,-6150.0,-8415.0,5272,5.4692161083221436,20
-7617.0,-6017.0,-8847.0,5297,5.501025915145874,19
-8001.0,-6858.0,-8689.0,5305,5.5152130126953125,9
-8080.0,-7058.0,-8479.0,5367,5.587908029556274,16
-8243.0,-7747.0,-8294.0,5377,5.602464914321899,4
-7579.0,-8353.0,-8536.0,5378,5.605961084365845,5
-7087.0,-8612.0,-7866.0,5499,5.74566912651062,11
-7014.0,-8625.0,-8026.0,5574,5.812900066375732,21
-7314.0,-8617.0,-7755.0,5597,5.833673000335693,15
-7616.0,-8576.0,-8103.0,5692,5.912739992141724,19
-8341.0,-7240.0,-7896.0,5802,6.06635308265686,19
-7235.0,-7845.0,-8697.0,5935,6.224374055862427,13
-7321.0,-7811.0,-8657.0,5935,6.2243781089782715,13
-6464.0,-7213.0,-9002.0,6014,6.309890031814575,20
-7984.0,-7628.0,-8460.0,6049,6.348099946975708,8
-7898.0,-7662.0,-8500.0,6049,6.34810209274292,8
-7435.0,-6621.0,-8868.0,6110,6.416733026504517,20
-7629.0,-7998.0,-8411.0,6313,6.686063051223755,20
-7321.0,-8407.0,-8348.0,6371,6.767822027206421,20
-7924.0,-8167.0,-8166.0,6545,6.990458965301514,20
-7697.0,-6458.0,-8756.0,6675,7.145695924758911,9
-7396.0,-6897.0,-8880.0,6725,7.205168008804321,17
-8150.0,-6772.0,-8466.0,6726,7.208109140396118,8
-8315.0,-6938.0,-8216.0,6842,7.345927000045776,19
-7616.0,-7980.0,-8412.0,6977,7.505074977874756,14
-8279.0,-7797.0,-8215.0,6998,7.531670093536377,11
-8193.0,-7831.0,-8255.0,6998,7.531674146652222,11
-8517.0,-7111.0,-7824.0,7135,7.699857950210571,11
-8302.0,-7516.0,-7908.0,7210,7.786133050918579,17
-7945.0,-7904.0,-8472.0,7529,8.183506965637207,16
-7780.0,-7738.0,-8722.0,7555,8.212865114212036,16
-7859.0,-7938.0,-8512.0,7565,8.224831104278564,16
-7878.0,-8413.0,-7991.0,7759,8.477656126022339,14
-7728.0,-8538.0,-7785.0,7811,8.545484066009521,22
-7642.0,-8572.0,-7825.0,7827,8.558170080184937,22
-7150.0,-8831.0,-7155.0,8004,8.785694122314453,23
-7077.0,-8844.0,-7315.0,8021,8.798440933227539,22
-6717.0,-8912.0,-6735.0,8073,8.843317031860352,22
-7019.0,-8871.0,-7083.0,8095,8.860589981079102,19
-7319.0,-8863.0,-6812.0,8125,8.9025239944458,20
-8035.0,-8320.0,-8107.0,8173,8.954740047454834,5
-7949.0,-8354.0,-8147.0,8251,9.104848146438599,7
-7384.0,-8626.0,-7637.0,8356,9.262015104293823,19
-8359.0,-7600.0,-7676.0,8465,9.428530931472778,6
-8392.0,-7932.0,-7543.0,8589,9.665277004241943,16
-8571.0,-6735.0,-7805.0,8801,9.999015092849731,19
-8214.0,-7123.0,-8369.0,8854,10.071639060974121,20
-8538.0,-6403.0,-7938.0,8909,10.15756607055664,17
-8350.0,-7615.0,-7838.0,9032,10.304413080215454,20
-8716.0,-6614.0,-7093.0,9039,10.319569110870361,11
-8814.0,-6107.0,-6695.0,9106,10.38473105430603,20
-8728.0,-6141.0,-6735.0,9129,10.40687108039856,19
-8674.0,-6895.0,-7407.0,9149,10.42496395111084,19
-8712.0,-7050.0,-7248.0,9188,10.476952075958252,13
-8317.0,-7283.0,-7971.0,9307,10.609113931655884,19
-8244.0,-8523.0,-7902.0,9961,11.581429958343506,6
-8027.0,-8598.0,-7240.0,10004,11.635132074356079,17
-8666.0,-7296.0,-7073.0,10034,11.674868106842041,17
-8760.0,-6310.0,-6403.0,10051,11.689557075500488,19
-8342.0,-8016.0,-7504.0,10180,11.854416131973267,17
-8568.0,-7803.0,-7471.0,10274,11.985960006713867,9
