z1,z2,z3,node,time,depth
-6853.0,-10224.0,-5785.0,1,0.049356937408447266,1
-8541.0,-8473.0,-4657.0,1,0.04963207244873047,1
-7872.0,-9114.0,-5709.0,1,0.04969501495361328,1
-4506.0,-11380.0,-4985.0,1,0.04973411560058594,1
-6829.0,-5392.0,-8180.0,1,0.04986691474914551,1
-5660.0,-6784.0,-8223.0,1,0.05008411407470703,1
-9012.0,-6482.0,-6163.0,1,0.050215959548950195,1
-8307.0,-6377.0,-7136.0,2,0.1054999828338623,2
-6201.0,-8291.0,-7757.0,3,0.16303706169128418,2
-7935.0,-7935.0,-6788.0,3,0.16330695152282715,2
-6876.0,-9415.0,-6360.0,3,0.1634669303894043,2
-5886.0,-9099.0,-7279.0,3,0.1636519432067871,2
-4550.0,-11301.0,-4687.0,4,0.2364051342010498,3
-5103.0,-10941.0,-5484.0,4,0.23654699325561523,3
-5737.0,-10226.0,-6563.0,4,0.23680591583251953,3
-5425.0,-9979.0,-6989.0,5,0.30625200271606445,3
-5994.0,-10037.0,-6530.0,5,0.3064539432525635,3
-6927.0,-8875.0,-6817.0,5,0.30646395683288574,3
-9447.0,-4322.0,-5736.0,6,0.3795630931854248,3
-7373.0,-9693.0,-4996.0,6,0.3796660900115967,3
-8953.0,-5537.0,-6653.0,6,0.3802061080932617,3
-9031.0,-5468.0,-6528.0,7,0.46240806579589844,3
-7660.0,-6772.0,-7468.0,7,0.462662935256958,3
-6988.0,-5765.0,-7912.0,7,0.4626939296722412,3
-7219.0,-8032.0,-7133.0,7,0.46279096603393555,3
-7148.0,-9160.0,-6295.0,7,0.4628019332885742,3
-8416.0,-7059.0,-6669.0,7,0.4628610610961914,3
-7637.0,-8210.0,-6697.0,7,0.462907075881958,3
-8094.0,-7697.0,-6603.0,7,0.4629180431365967,3
-8148.0,-6004.0,-7404.0,8,0.553631067276001,4
-8790.0,-7500.0,-5266.0,8,0.5541610717773438,4
-8735.0,-7768.0,-4822.0,8,0.5541989803314209,4
-5697.0,-9724.0,-6924.0,11,0.8472070693969727,4
-4730.0,-10970.0,-5846.0,11,0.8473300933837891,4
-6884.0,-9428.0,-6274.0,11,0.847559928894043,4
-7501.0,-6399.0,-7736.0,12,0.9587209224700928,4
-8698.0,-7419.0,-5494.0,12,0.9588279724121094,4
-6845.0,-7740.0,-7616.0,13,1.0989470481872559,4
-7263.0,-7918.0,-7180.0,13,1.0989501476287842,4
-7414.0,-7798.0,-7157.0,13,1.0990619659423828,4
-9664.0,-5208.0,-4018.0,15,1.484278917312622,4
-7300.0,-8846.0,-6455.0,17,1.7847580909729004,5
-5798.0,-9950.0,-6627.0,17,1.7848179340362549,5
-8517.0,-7832.0,-5302.0,17,1.784872055053711,5
-8368.0,-7942.0,-5565.0,17,1.7849469184875488,5
-5446.0,-10873.0,-5501.0,20,2.2202610969543457,5
-5549.0,-10557.0,-5786.0,21,2.4337821006774902,5
-4391.0,-10599.0,-6343.0,21,2.4337940216064453,5
-5385.0,-11121.0,-4210.0,22,2.5669069290161133,5
-5793.0,-10745.0,-5248.0,23,2.7501211166381836,5
-6411.0,-10391.0,-5057.0,23,2.7502551078796387,5
-7151.0,-9931.0,-4687.0,23,2.750257968902588,5
-8257.0,-6686.0,-6937.0,25,3.0828990936279297,5
-8508.0,-6712.0,-6398.0,27,3.3777949810028076,5
-8517.0,-6163.0,-6663.0,27,3.37780499458313,5
-7917.0,-9095.0,-4681.0,28,3.5889430046081543,5
-9037.0,-7301.0,-4513.0,28,3.589158058166504,5
-8890.0,-7048.0,-5778.0,29,3.7227981090545654,5
-7322.0,-9018.0,-6219.0,29,3.722883939743042,5
-8538.0,-7366.0,-5845.0,30,3.9894490242004395,5
-5220.0,-9685.0,-7101.0,32,4.575218915939331,6
-8567.0,-7537.0,-5618.0,33,4.72055196762085,6
-7125.0,-9969.0,-5720.0,33,4.72083306312561,6
-7168.0,-9416.0,-6263.0,33,4.72083592414856,6
-5819.0,-10844.0,-5139.0,34,4.972729921340942,6
-7257.0,-9399.0,-5912.0,35,5.232572078704834,6
-4778.0,-11125.0,-4920.0,48,8.8178129196167,6
-9355.0,-6153.0,-4715.0,62,12.261579990386963,6
-7645.0,-9438.0,-4931.0,64,12.894393920898438,6
-7794.0,-9328.0,-4668.0,64,12.89439606666565,6
-5535.0,-8877.0,-7579.0,80,14.008168935775757,7
-5492.0,-9430.0,-7036.0,80,14.008362054824829,7
-6121.0,-8055.0,-7816.0,81,14.193747997283936,7
-8035.0,-6632.0,-7201.0,81,14.194075107574463,7
-8295.0,-7792.0,-5683.0,82,14.354512929916382,7
-6137.0,-10321.0,-6130.0,83,14.577779054641724,7
-7579.0,-9634.0,-4769.0,89,17.179441928863525,7
-7894.0,-8826.0,-5247.0,89,17.179606914520264,7
-7728.0,-9524.0,-4506.0,89,17.179644107818604,7
-7524.0,-9902.0,-4325.0,89,17.17967414855957,7
-6784.0,-10362.0,-4695.0,89,17.179691076278687,7
-6166.0,-10716.0,-4886.0,89,17.17985510826111,7
-6066.0,-7710.0,-7936.0,105,20.62810707092285,7
-4571.0,-10597.0,-6114.0,105,20.628135919570923,7
-4869.0,-10496.0,-6315.0,111,22.12677311897278,7
-5460.0,-11015.0,-4496.0,111,22.12714910507202,7
-5416.0,-10436.0,-5996.0,111,22.12716794013977,7
-6315.0,-9370.0,-6733.0,135,22.53646993637085,7
-5718.0,-10618.0,-5436.0,170,23.187859058380127,7
-5895.0,-10556.0,-5336.0,188,23.725165128707886,7
-5848.0,-10477.0,-5692.0,189,23.912203073501587,7
-8872.0,-5095.0,-6796.0,198,27.589489936828613,7
-8366.0,-5146.0,-7375.0,199,27.818758964538574,7
-7626.0,-5606.0,-7745.0,199,27.81894612312317,7
-7959.0,-7572.0,-6763.0,218,29.55912494659424,7
-7676.0,-7519.0,-7039.0,219,30.017180919647217,7
-9039.0,-6938.0,-5515.0,253,31.001521110534668,7
-8565.0,-7822.0,-5197.0,259,32.65125513076782,7
-7415.0,-9663.0,-4708.0,259,32.65143895149231,7
-6740.0,-6909.0,-8025.0,282,33.781455993652344,8
-6234.0,-7427.0,-8019.0,283,34.089630126953125,8
-7985.0,-8486.0,-5912.0,283,34.08982992172241,8
-6078.0,-9221.0,-7091.0,287,35.70180106163025,8
-6647.0,-9279.0,-6632.0,287,35.70197606086731,8
-7265.0,-8925.0,-6441.0,287,35.702106952667236,8
-8316.0,-8384.0,-4948.0,288,36.249338150024414,8
-8261.0,-8652.0,-4504.0,288,36.24934506416321,8
-7726.0,-9361.0,-4893.0,289,36.88144493103027,8
-8287.0,-8266.0,-5154.0,306,40.40222907066345,8
-8053.0,-8750.0,-5087.0,307,40.97690010070801,8
-8202.0,-8640.0,-4824.0,307,40.97690391540527,8
