z1,z2,z3,node,time,depth
-26288.0,-26134.0,-26653.0,1,0.004054069519042969,1
-25948.0,-25977.0,-26894.0,2,0.008564949035644531,2
-26810.0,-25962.0,-27000.0,12,0.04385209083557129,4
-28563.0,-23899.0,-26587.0,23,0.07477593421936035,5
-26468.0,-25701.0,-28101.0,35,0.10355401039123535,6
-27012.0,-25509.0,-28268.0,43,0.12575507164001465,6
-28164.0,-25246.0,-27618.0,47,0.1368110179901123,6
-25946.0,-25873.0,-27754.0,67,0.18184304237365723,7
-27620.0,-25438.0,-27451.0,79,0.21199297904968262,7
-26839.0,-24797.0,-28586.0,81,0.21651005744934082,7
-26490.0,-25681.0,-27921.0,85,0.22589898109436035,7
-26561.0,-25971.0,-26360.0,99,0.2594130039215088,7
-25729.0,-25770.0,-28095.0,192,0.45565199851989746,8
-26558.0,-25968.0,-27585.0,201,0.47295403480529785,8
-26160.0,-25981.0,-26668.0,212,0.4963669776916504,8
-26682.0,-25809.0,-27015.0,216,0.5036020278930664,8
-27274.0,-25527.0,-27900.0,239,0.5461721420288086,8
-27521.0,-25576.0,-27282.0,343,0.7367970943450928,9
-28196.0,-24884.0,-27306.0,381,0.8152720928192139,9
-27382.0,-25604.0,-27222.0,471,0.975395917892456,9
-26974.0,-25623.0,-27767.0,482,0.9925940036773682,9
-26791.0,-25028.0,-28343.0,631,1.2559819221496582,10
-28328.0,-24483.0,-26355.0,707,1.3866209983825684,10
-27105.0,-25779.0,-26527.0,809,1.5566139221191406,10
-27102.0,-25776.0,-27752.0,827,1.5869331359863281,10
-26618.0,-24316.0,-28661.0,1036,1.9033079147338867,11
-26995.0,-24784.0,-28626.0,1039,1.9080541133880615,11
-26184.0,-24891.0,-28632.0,1039,1.9080560207366943,11
-28390.0,-23187.0,-26905.0,1107,2.007646083831787,11
-27040.0,-25343.0,-28323.0,1157,2.0831820964813232,11
-27943.0,-24765.0,-27693.0,1161,2.0884809494018555,11
-27168.0,-25496.0,-28308.0,1617,2.747844934463501,12
-26357.0,-25603.0,-28314.0,1617,2.747847080230713,12
-25397.0,-25998.0,-27392.0,1793,2.994518995285034,12
-26838.0,-25796.0,-27055.0,1857,3.086414098739624,12
-26430.0,-25815.0,-27600.0,1861,3.091341018676758,12
-26977.0,-25823.0,-25824.0,2096,3.375396966934204,13
-27499.0,-25651.0,-26171.0,2099,3.379117965698242,13
-27463.0,-25201.0,-28113.0,2197,3.497775077819824,13
-28023.0,-24172.0,-27624.0,2313,3.655463933944702,13
-27642.0,-25418.0,-27271.0,2421,3.7803399562835693,13
-28262.0,-24552.0,-26165.0,2463,3.8277690410614014,13
-27204.0,-25641.0,-26696.0,2615,4.013245105743408,13
-27655.0,-25441.0,-26929.0,2689,4.0983970165252686,13
-27291.0,-25450.0,-27965.0,3045,4.501389026641846,14
-27242.0,-24720.0,-28188.0,3857,5.4225239753723145,15
-27335.0,-25048.0,-28128.0,4077,5.652050971984863,15
-28248.0,-24240.0,-27088.0,4153,5.823951005935669,15
-26747.0,-25642.0,-27798.0,5585,7.337926149368286,17
-27770.0,-24053.0,-28011.0,5947,7.715986013412476,17
-26867.0,-24631.0,-28641.0,6067,7.832669019699097,17
-26348.0,-24768.0,-28749.0,6736,8.67376708984375,18
-27596.0,-24653.0,-27949.0,6756,8.692285060882568,18
-27991.0,-24534.0,-27936.0,7825,9.805217981338501,19
-24037.0,-26150.0,-24702.0,8137,10.146811962127686,19
-27472.0,-24671.0,-28044.0,8402,10.416365146636963,20
-27645.0,-25383.0,-27726.0,8448,10.474236011505127,20
-27517.0,-25230.0,-27741.0,8740,10.78491997718811,20
-26521.0,-25480.0,-28431.0,9004,11.06741213798523,21
-27123.0,-25555.0,-27379.0,9008,11.070920944213867,21
-27500.0,-24505.0,-28099.0,9122,11.190025091171265,21
-27673.0,-25217.0,-27781.0,9210,11.284328937530518,21
-26083.0,-25703.0,-27856.0,9252,11.333871126174927,21
-26627.0,-25511.0,-28023.0,9314,11.39268708229065,21
-28212.0,-23983.0,-27210.0,9512,11.621922969818115,22
-27315.0,-25683.0,-26473.0,9600,11.726324081420898,22
-27385.0,-24277.0,-28121.0,9680,11.819966077804565,23
-27558.0,-24989.0,-27803.0,9744,11.90073013305664,23
-27779.0,-25248.0,-27373.0,9780,11.946556091308594,23
-28293.0,-24351.0,-26675.0,9888,12.0625,25
