z1,z2,z3,node,time,depth
-30548.0,-28377.0,-27987.0,4,0.01109004020690918,3
-30601.0,-28353.0,-27705.0,12,0.029752016067504883,4
-30832.0,-28191.0,-27716.0,16,0.03815507888793945,5
-31808.0,-26672.0,-28516.0,21,0.04771995544433594,5
-32092.0,-26486.0,-28245.0,41,0.08455610275268555,6
-31170.0,-27205.0,-28591.0,45,0.09140396118164062,6
-30885.0,-28167.0,-27434.0,48,0.09738802909851074,6
-31861.0,-26648.0,-28234.0,53,0.10590410232543945,6
-31908.0,-25910.0,-28754.0,77,0.14693593978881836,7
-30985.0,-27333.0,-28531.0,85,0.15970706939697266,7
-30754.0,-27685.0,-28519.0,87,0.16293001174926758,7
-31454.0,-27019.0,-28320.0,89,0.1661059856414795,7
-30116.0,-28218.0,-28594.0,91,0.16912198066711426,7
-30270.0,-28279.0,-28050.0,91,0.16912412643432617,7
-30211.0,-27903.0,-28592.0,91,0.16913104057312012,7
-31961.0,-25886.0,-28472.0,101,0.18533611297607422,7
-32145.0,-26462.0,-27963.0,105,0.19191408157348633,7
-31930.0,-26027.0,-28545.0,115,0.2080249786376953,7
-32192.0,-25724.0,-28483.0,153,0.27163004875183105,8
-31678.0,-26234.0,-29034.0,161,0.284196138381958,8
-30571.0,-27081.0,-29320.0,168,0.2954061031341553,8
-31089.0,-27465.0,-28326.0,173,0.30261993408203125,8
-31164.0,-26995.0,-28850.0,191,0.32890796661376953,8
-31776.0,-25966.0,-29089.0,231,0.3901960849761963,8
-29746.0,-26188.0,-30281.0,260,0.43486905097961426,9
-30883.0,-28157.0,-27794.0,286,0.47429609298706055,9
-31140.0,-26005.0,-29347.0,291,0.4820890426635742,9
-31778.0,-25472.0,-29272.0,305,0.5026540756225586,9
-30191.0,-26608.0,-29857.0,322,0.5435869693756104,9
-30630.0,-27457.0,-28778.0,337,0.5644979476928711,9
-31040.0,-26767.0,-29109.0,351,0.5837609767913818,9
-31558.0,-27151.0,-28115.0,375,0.6168930530548096,9
-31499.0,-26775.0,-28657.0,375,0.6168949604034424,9
-30936.0,-28133.0,-27512.0,394,0.6453061103820801,9
-31831.0,-25448.0,-28990.0,397,0.6493339538574219,9
-31731.0,-26210.0,-28752.0,411,0.6699211597442627,9
-31906.0,-26404.0,-28571.0,443,0.714961051940918,9
-31135.0,-27950.0,-27305.0,482,0.7712481021881104,9
-31810.0,-26944.0,-27626.0,493,0.8311891555786133,9
-30566.0,-26758.0,-29381.0,533,0.8871581554412842,10
-30282.0,-26944.0,-29652.0,555,0.9170219898223877,10
-30489.0,-28001.0,-28529.0,561,0.9238009452819824,10
-30729.0,-25499.0,-29915.0,563,0.9270379543304443,10
-31857.0,-25944.0,-28676.0,589,0.9651880264282227,10
-31757.0,-26706.0,-28438.0,615,0.999035120010376,10
-30624.0,-27247.0,-29037.0,619,1.0038421154022217,10
-30770.0,-26898.0,-29113.0,650,1.0450191497802734,10
-29986.0,-27780.0,-29112.0,665,1.064512014389038,10
-30132.0,-27431.0,-29188.0,678,1.0869779586791992,10
-32190.0,-26218.0,-28300.0,825,1.2830519676208496,10
-31523.0,-27634.0,-27359.0,835,1.2951180934906006,10
-31442.0,-26073.0,-29084.0,877,1.3599779605865479,10
-31233.0,-25814.0,-29458.0,957,1.4701781272888184,11
-30231.0,-26978.0,-29574.0,961,1.4749641418457031,11
-30773.0,-27815.0,-28258.0,989,1.5097460746765137,11
