z1,z2,z3,node,time,depth
-95.0,-160.0,-104.0,1,0.016375064849853516,1
-144.0,-132.0,-143.0,1,0.01642298698425293,1
-147.0,-129.0,-142.0,1,0.016453027725219727,1
-60.0,-169.0,-66.0,1,0.016536951065063477,1
-152.0,-102.0,-152.0,1,0.016616106033325195,1
-76.0,-166.0,-81.0,1,0.016637086868286133,1
-125.0,-149.0,-127.0,1,0.01665806770324707,1
-113.0,-155.0,-114.0,1,0.01670694351196289,1
-100.0,-160.0,-99.0,1,0.016736984252929688,1
-149.0,-91.0,-153.0,2,0.03312397003173828,2
-98.0,-160.0,-103.0,2,0.0332789421081543,2
-117.0,-151.0,-123.0,2,0.033293962478637695,2
-135.0,-141.0,-133.0,3,0.04837989807128906,3
-115.0,-154.0,-115.0,3,0.048651933670043945,3
-94.0,-161.0,-94.0,393,2.3993940353393555,10
-89.0,-161.0,-96.0,558,3.1125071048736572,25
-106.0,-156.0,-109.0,1272,6.037877082824707,12
-103.0,-158.0,-96.0,4011,18.68686294555664,11
-83.0,-163.0,-90.0,4021,18.779956102371216,20
-86.0,-163.0,-86.0,4151,19.246134996414185,36
-84.0,-163.0,-88.0,4172,19.285281896591187,38
-93.0,-162.0,-92.0,5047,22.541243076324463,13
-79.0,-166.0,-77.0,5151,23.0681209564209,25
-80.0,-164.0,-87.0,5394,24.06334090232849,11
-116.0,-153.0,-111.0,7284,33.08752107620239,10
-110.0,-156.0,-104.0,7284,33.08752703666687,10
-101.0,-158.0,-103.0,7381,33.60133600234985,28
-100.0,-159.0,-103.0,7448,33.78624606132507,37
-116.0,-152.0,-115.0,8881,41.046175956726074,28
-112.0,-153.0,-118.0,9005,41.26683497428894,27
-128.0,-146.0,-126.0,11641,50.7887020111084,4
-148.0,-123.0,-143.0,15448,69.19676804542542,13
-149.0,-121.0,-143.0,15863,70.02035808563232,23
-142.0,-134.0,-137.0,15909,70.12504410743713,4
-104.0,-157.0,-110.0,15909,70.12514400482178,4
-127.0,-148.0,-125.0,15909,70.12522006034851,4
-91.0,-162.0,-95.0,17606,78.54532194137573,9
-108.0,-156.0,-107.0,17606,78.54538106918335,9
-135.0,-139.0,-135.0,18014,80.70678901672363,10
-107.0,-157.0,-102.0,18019,80.7610969543457,14
-121.0,-151.0,-118.0,18739,84.6614990234375,28
-115.0,-153.0,-116.0,18799,84.82328605651855,25
-128.0,-145.0,-127.0,19254,86.59535098075867,7
-149.0,-122.0,-141.0,20183,90.69059705734253,20
-126.0,-145.0,-130.0,22258,100.16696691513062,20
-132.0,-139.0,-136.0,22522,101.17224287986755,23
-145.0,-121.0,-145.0,22567,101.35861396789551,27
-153.0,-101.0,-151.0,23500,105.91657090187073,7
-144.0,-123.0,-145.0,24413,111.51390194892883,18
-140.0,-133.0,-141.0,24725,112.4415590763092,24
-127.0,-147.0,-129.0,24751,112.50453901290894,33
-140.0,-135.0,-140.0,25626,115.54142189025879,15
-155.0,-99.0,-151.0,25740,115.92198896408081,6
-152.0,-109.0,-149.0,26059,117.57355093955994,8
-151.0,-113.0,-148.0,26075,117.70565891265869,16
-152.0,-112.0,-148.0,26261,118.2430648803711,23
-156.0,-96.0,-151.0,26683,119.86619806289673,30
-156.0,-98.0,-150.0,26685,119.86735892295837,28
-153.0,-112.0,-146.0,27013,120.99496698379517,23
-150.0,-114.0,-148.0,27018,121.0077428817749,10
-152.0,-114.0,-147.0,27039,121.14522910118103,18
-82.0,-165.0,-84.0,27311,121.7245090007782,2
-156.0,-101.0,-147.0,27311,121.72467088699341,2
-156.0,-100.0,-149.0,27311,121.72467398643494,2
-125.0,-148.0,-128.0,27313,121.75328588485718,4
-80.0,-163.0,-91.0,27332,121.95079708099365,19
-98.0,-158.0,-104.0,27535,122.94909000396729,28
-97.0,-159.0,-104.0,27558,123.02727794647217,37
-65.0,-167.0,-71.0,28010,125.35187411308289,13
-81.0,-164.0,-86.0,28085,125.74645590782166,25
-83.0,-164.0,-84.0,28367,127.04785490036011,37
-118.0,-151.0,-119.0,29173,131.8393681049347,28
-133.0,-141.0,-134.0,29700,134.48562502861023,23
-133.0,-142.0,-128.0,29872,135.5342240333557,12
-141.0,-134.0,-138.0,29966,136.02716994285583,15
-77.0,-164.0,-88.0,29982,136.11570501327515,4
-112.0,-154.0,-116.0,29983,136.12795209884644,5
-144.0,-106.0,-151.0,30055,136.67530298233032,22
-145.0,-105.0,-151.0,30073,136.75945401191711,34
-141.0,-123.0,-146.0,30093,136.82514691352844,18
-142.0,-121.0,-146.0,30195,137.09630703926086,27
-93.0,-158.0,-105.0,30279,137.46837401390076,37
-109.0,-153.0,-119.0,30645,139.39844703674316,27
-139.0,-120.0,-147.0,30860,140.6647810935974,13
-129.0,-140.0,-136.0,30937,141.04792404174805,19
-137.0,-133.0,-142.0,30961,141.13307905197144,24
-124.0,-147.0,-130.0,31013,141.24226093292236,33
-128.0,-141.0,-136.0,31035,141.26422810554504,21
-108.0,-155.0,-115.0,31950,145.11527800559998,5
-149.0,-112.0,-150.0,32213,146.58050107955933,7
-148.0,-116.0,-149.0,32631,149.38492488861084,13
-138.0,-136.0,-139.0,32733,149.7392029762268,24
-137.0,-138.0,-138.0,32735,149.74191689491272,21
-149.0,-115.0,-149.0,32905,150.2323100566864,23
-132.0,-142.0,-135.0,33076,150.89935898780823,21
-137.0,-137.0,-139.0,33254,151.61177492141724,21
-155.0,-103.0,-150.0,33465,152.61283993721008,16
-146.0,-129.0,-143.0,33901,154.24290204048157,11
-132.0,-144.0,-134.0,34357,155.44671988487244,3
-106.0,-157.0,-106.0,34357,155.44681692123413,3
-137.0,-135.0,-141.0,34816,158.57328009605408,19
-139.0,-137.0,-138.0,35120,159.75138902664185,5
-120.0,-150.0,-121.0,35313,160.9433560371399,20
-140.0,-137.0,-135.0,35412,161.27049589157104,6
-151.0,-116.0,-146.0,35609,162.39620304107666,11
-148.0,-118.0,-144.0,35681,162.6271059513092,23
-140.0,-136.0,-136.0,35696,162.67789506912231,19
-153.0,-108.0,-150.0,35775,163.09990096092224,8
-153.0,-99.0,-152.0,35847,163.49571895599365,30
-154.0,-105.0,-149.0,35919,163.78020095825195,25
-149.0,-104.0,-151.0,36068,164.28703093528748,27
-150.0,-115.0,-147.0,36249,164.99531507492065,23
-147.0,-117.0,-149.0,36255,165.0104808807373,7
-145.0,-126.0,-144.0,36369,165.7546350955963,12
-146.0,-124.0,-144.0,36465,166.08041405677795,23
-149.0,-117.0,-148.0,36672,167.13656306266785,16
-145.0,-120.0,-146.0,36849,167.66405701637268,22
-146.0,-119.0,-147.0,36850,167.6649649143219,22
-145.0,-131.0,-141.0,36954,167.84176301956177,19
-147.0,-119.0,-145.0,36990,167.9403259754181,28
-147.0,-118.0,-147.0,36993,167.9420850276947,25
-142.0,-129.0,-144.0,37113,168.1226270198822,12
