z1,z2,z3,node,time,depth
8139.0,8672.0,3487.0,1,0.048117876052856445,1
6523.0,5981.0,3619.0,1,0.0481259822845459,1
7645.0,4105.0,9736.0,1,0.048132896423339844,1
5710.0,4137.0,6608.0,1,0.0481410026550293,1
4881.0,4732.0,7286.0,1,0.04814791679382324,1
5209.0,5256.0,5218.0,1,0.048169851303100586,1
4806.0,5897.0,5256.0,1,0.04831194877624512,1
4872.0,5378.0,6142.0,2,0.10617589950561523,2
5689.0,5943.0,4474.0,2,0.10620594024658203,2
4166.0,6398.0,9183.0,2,0.10626482963562012,2
8178.0,8235.0,3614.0,3,0.1303548812866211,2
4277.0,6575.0,8326.0,3,0.13039302825927734,2
4171.0,7759.0,7514.0,3,0.1303999423980713,2
4262.0,6458.0,8763.0,3,0.13040804862976074,2
5262.0,6797.0,5026.0,4,0.1807098388671875,3
4274.0,7788.0,7379.0,5,0.22901296615600586,3
4405.0,6155.0,9438.0,5,0.22905993461608887,3
4420.0,6272.0,9001.0,5,0.22906804084777832,3
4181.0,6515.0,8746.0,5,0.22908282279968262,3
4624.0,6680.0,7964.0,6,0.29363489151000977,3
4609.0,6563.0,8401.0,6,0.2936739921569824,3
4421.0,7744.0,6888.0,8,0.35404181480407715,4
4767.0,7050.0,7843.0,12,0.506537914276123,4
4782.0,7167.0,7406.0,12,0.5066068172454834,4
4501.0,6215.0,9018.0,15,0.6389648914337158,4
4789.0,6814.0,7490.0,15,0.638981819152832,4
4435.0,7062.0,7768.0,15,0.6389968395233154,4
4516.0,6332.0,8581.0,15,0.6390659809112549,4
4339.0,7002.0,8188.0,23,0.8159949779510498,5
4567.0,8180.0,6483.0,28,1.0021169185638428,5
4476.0,7827.0,6664.0,28,1.0021319389343262,5
4276.0,7740.0,7251.0,28,1.0022509098052979,5
4420.0,6945.0,8205.0,30,1.0366058349609375,5
4774.0,6697.0,7927.0,30,1.0366368293762207,5
4613.0,7407.0,7726.0,42,1.2736048698425293,6
4718.0,7388.0,7463.0,42,1.2736279964447021,6
4532.0,7576.0,7497.0,43,1.2905638217926025,6
4329.0,7871.0,7155.0,54,1.4252748489379883,6
4462.0,8199.0,6746.0,55,1.4514288902282715,6
4429.0,7557.0,7597.0,55,1.451436996459961,6
4258.0,7669.0,7938.0,55,1.4514539241790771,6
4534.0,7538.0,7334.0,55,1.451495885848999,6
4751.0,8228.0,6392.0,56,1.5161879062652588,6
5814.0,5429.0,4888.0,62,1.620507001876831,7
4693.0,6754.0,7910.0,66,1.7805988788604736,7
4757.0,7309.0,7055.0,94,2.1297969818115234,7
4363.0,7650.0,7675.0,97,2.198655843734741,7
4770.0,6911.0,7711.0,109,2.3340718746185303,7
4587.0,7659.0,7273.0,231,3.9166738986968994,9
4679.0,7532.0,7006.0,468,5.615461826324463,12
4762.0,8014.0,6532.0,469,5.625069856643677,12
4734.0,7615.0,6782.0,518,5.823138952255249,12
4696.0,8145.0,6616.0,565,6.038097858428955,13
