z1,z2,z3,node,time,depth
5926.0,11506.0,4592.0,1,0.13672184944152832,1
7280.0,7093.0,6361.0,1,0.13673782348632812,1
9100.0,6028.0,8870.0,1,0.13675284385681152,1
5240.0,13332.0,4315.0,1,0.13681292533874512,1
5983.0,8370.0,6053.0,1,0.13685894012451172,1
5149.0,13223.0,4461.0,1,0.1370999813079834,1
12382.0,5181.0,12213.0,1,0.13737082481384277,1
12259.0,5190.0,12050.0,1,0.13738584518432617,1
6506.0,15118.0,4267.0,2,0.178635835647583,2
5706.0,11648.0,4701.0,2,0.17864680290222168,2
5136.0,13155.0,4566.0,2,0.1786808967590332,2
5097.0,13442.0,4735.0,2,0.17871403694152832,2
5110.0,13510.0,4630.0,2,0.178725004196167,2
5227.0,13264.0,4420.0,3,0.23194384574890137,3
6168.0,11625.0,4577.0,4,0.2644479274749756,4
6590.0,11166.0,5247.0,515,10.437063932418823,11
7018.0,10913.0,5262.0,620,12.620723962783813,8
5499.0,11578.0,5226.0,671,13.644536018371582,4
6726.0,10676.0,5383.0,671,13.64454698562622,4
5876.0,11388.0,4698.0,671,13.644654989242554,4
5744.0,11417.0,4852.0,671,13.644665002822876,4
5656.0,11530.0,4807.0,671,13.644707918167114,4
5524.0,11559.0,4961.0,671,13.644717931747437,4
5946.0,11100.0,5631.0,673,13.768710851669312,6
6078.0,11071.0,5477.0,673,13.768731832504272,6
6128.0,11189.0,5371.0,673,13.76874303817749,6
5921.0,11119.0,5896.0,673,13.768752813339233,6
5996.0,11218.0,5525.0,674,13.8105628490448,7
5574.0,11677.0,4855.0,840,17.604288816452026,6
5413.0,12673.0,5242.0,840,17.60459303855896,6
5495.0,13082.0,4524.0,840,17.604622840881348,6
5482.0,13014.0,4629.0,840,17.604638814926147,6
5432.0,12742.0,5178.0,874,18.325816869735718,7
6064.0,11001.0,5621.0,875,18.380105018615723,8
6196.0,10972.0,5467.0,875,18.380167961120605,8
6246.0,11090.0,5361.0,877,18.458144903182983,10
5991.0,11078.0,5685.0,924,19.12148380279541,10
5631.0,11549.0,5072.0,925,19.154829025268555,11
6123.0,11049.0,5531.0,925,19.154860019683838,11
6173.0,11167.0,5425.0,945,19.3848659992218,12
6041.0,11196.0,5579.0,994,20.17436981201172,12
5502.0,12591.0,5021.0,1076,21.848907947540283,8
5483.0,12522.0,5085.0,1076,21.848984956741333,8
5719.0,11436.0,5117.0,1103,22.65447497367859,5
5794.0,11535.0,4746.0,1103,22.654485940933228,5
6101.0,14626.0,4284.0,1103,22.65458583831787,5
6393.0,11025.0,5316.0,1140,24.03308391571045,7
6343.0,10907.0,5422.0,1140,24.033103942871094,7
6416.0,10830.0,5358.0,1227,26.06134581565857,7
6537.0,10732.0,5444.0,1227,26.06146001815796,7
6284.0,10859.0,5512.0,1227,26.06150197982788,7
6587.0,10850.0,5338.0,1228,26.13826084136963,8
5851.0,11407.0,4963.0,1403,29.443750858306885,11
6466.0,10948.0,5252.0,1405,29.489768028259277,13
6776.0,10794.0,5277.0,1429,29.891469955444336,14
6348.0,11047.0,5262.0,1498,31.523545026779175,10
6298.0,10929.0,5368.0,1498,31.523610830307007,10
6216.0,11076.0,5416.0,1498,31.52366590499878,10
6348.0,10753.0,5373.0,1654,36.34618902206421,3
5921.0,10825.0,6007.0,1654,36.346261978149414,3
5946.0,10806.0,5742.0,1654,36.3462929725647,3
6078.0,10777.0,5588.0,1654,36.34630298614502,3
6166.0,10664.0,5633.0,1654,36.34631395339966,3
6298.0,10635.0,5479.0,1654,36.3463659286499,3
6128.0,10895.0,5482.0,1665,37.17133092880249,5
5898.0,11160.0,6010.0,1666,37.23485493659973,6
5510.0,12497.0,5202.0,1677,37.663280963897705,13
5497.0,12429.0,5307.0,1750,39.61112999916077,12
5404.0,12973.0,4670.0,1807,41.79454588890076,6
5391.0,12905.0,4775.0,1807,41.794636964797974,6
5996.0,10924.0,5636.0,1857,43.03923296928406,7
6053.0,10796.0,5853.0,1863,43.37027382850647,11
6141.0,10683.0,5898.0,1962,45.99106788635254,5
6216.0,10782.0,5527.0,1966,46.4000039100647,7
6273.0,10654.0,5744.0,1968,46.559271812438965,9
5975.0,9815.0,5899.0,2125,51.36150288581848,2
11578.0,5802.0,10652.0,2126,51.421552896499634,3
11416.0,5822.0,10723.0,2126,51.421562910079956,3
6673.0,10759.0,5332.0,2127,51.49933385848999,4
6677.0,10751.0,5437.0,2220,53.86453080177307,7
6667.0,10934.0,5200.0,2306,57.229799032211304,4
7438.0,10293.0,5795.0,2307,57.309284925460815,5
7479.0,10376.0,5780.0,2308,57.405035972595215,6
7628.0,10568.0,5779.0,2322,58.05434799194336,11
6909.0,11053.0,5185.0,2367,59.82917594909668,6
6617.0,10816.0,5306.0,2367,59.82949090003967,6
7207.0,10376.0,5860.0,2407,60.90635800361633,11
7517.0,10222.0,5885.0,2436,61.44677495956421,12
7331.0,10594.0,5855.0,2455,61.78238081932068,10
7089.0,10475.0,5870.0,2455,61.78239297866821,10
6809.0,10708.0,5353.0,2508,63.47399687767029,7
7657.0,10159.0,5815.0,2534,64.43721199035645,11
11886.0,5814.0,10628.0,2682,70.58885097503662,8
11253.0,5906.0,10689.0,2682,70.58923292160034,8
10529.0,7034.0,8865.0,2713,72.82856798171997,15
11244.0,5941.0,11011.0,2768,75.23891687393188,25
11415.0,5886.0,10618.0,2829,76.70737886428833,24
11081.0,6025.0,10977.0,2840,77.1422610282898,26
11723.0,5898.0,10594.0,2981,82.88654494285583,26
7027.0,7699.0,7128.0,3009,84.21200799942017,3
12152.0,5566.0,11877.0,3010,84.27056384086609,4
12172.0,5783.0,11446.0,3047,86.76979494094849,14
12122.0,5607.0,11793.0,3047,86.77010583877563,14
11954.0,5727.0,11637.0,3054,87.27641081809998,18
11984.0,5686.0,11721.0,3092,88.23627400398254,19
12348.0,5741.0,11578.0,3139,89.68938493728638,18
11545.0,5900.0,10600.0,3218,94.54340887069702,9
11383.0,5920.0,10671.0,3218,94.5434238910675,9
11853.0,5912.0,10576.0,3340,102.45416593551636,18
12050.0,5689.0,11688.0,3416,106.74971890449524,10
12075.0,5678.0,11892.0,3416,106.74973392486572,10
7920.0,7073.0,8164.0,3591,117.94500994682312,14
11925.0,5595.0,12294.0,3592,118.01559495925903,15
11195.0,5738.0,11732.0,3592,118.01560592651367,15
11401.0,5686.0,11985.0,3592,118.01561689376831,15
