z1,z2,z3,node,time,depth
8087.0,5043.0,5700.0,1,0.17257308959960938,1
5378.0,6183.0,6286.0,1,0.17258810997009277,1
7327.0,4676.0,6221.0,1,0.17260313034057617,1
8587.0,9862.0,4402.0,1,0.17293095588684082,1
5603.0,7411.0,5602.0,1,0.17299103736877441,1
5171.0,6163.0,6469.0,1,0.1731431484222412,1
6626.0,6859.0,5045.0,1,0.1732790470123291,1
8239.0,8700.0,4983.0,2,0.23312807083129883,2
5062.0,8798.0,7324.0,2,0.23314905166625977,2
5122.0,8640.0,7339.0,112,5.541165113449097,4
5137.0,9258.0,7182.0,112,5.541332006454468,4
5131.0,9101.0,7190.0,112,5.541362047195435,4
5068.0,8955.0,7316.0,207,9.847612142562866,6
5128.0,8797.0,7331.0,357,17.04832696914673,11
5817.0,5620.0,7181.0,609,28.291396141052246,2
10081.0,4529.0,8099.0,610,28.36790895462036,3
4712.0,8763.0,9492.0,610,28.367931127548218,3
7288.0,5110.0,9928.0,610,28.36794114112854,3
10011.0,4450.0,8268.0,610,28.36795210838318,3
9803.0,4494.0,8578.0,610,28.3679621219635,3
4652.0,8338.0,9752.0,610,28.368003129959106,3
4860.0,7810.0,10395.0,610,28.368014097213745,3
7146.0,5216.0,9865.0,630,29.334167003631592,6
6847.0,5379.0,10316.0,630,29.334273099899292,6
6989.0,5273.0,10379.0,630,29.334288120269775,6
7325.0,5462.0,9709.0,632,29.528220176696777,8
6707.0,5608.0,9847.0,694,31.751091957092285,10
6669.0,5475.0,10550.0,865,38.01058006286621,5
6527.0,5581.0,10487.0,865,38.01059603691101,5
5789.0,6136.0,10920.0,884,39.3588011264801,7
7227.0,5486.0,9747.0,895,39.94451713562012,9
7231.0,5545.0,9280.0,895,39.94461011886597,9
7238.0,5509.0,9664.0,896,40.01554298400879,10
7322.0,5472.0,9712.0,1006,42.919772148132324,8
7326.0,5531.0,9245.0,1174,48.498130083084106,9
4951.0,8175.0,9301.0,1334,55.834367990493774,4
4831.0,8584.0,9596.0,1335,55.97698616981506,5
4965.0,8154.0,9717.0,1475,62.36162996292114,8
4960.0,9208.0,9053.0,1527,64.3871021270752,11
4794.0,8232.0,9815.0,1549,65.00863313674927,12
4854.0,8657.0,9555.0,1554,65.16146612167358,16
4931.0,8067.0,9829.0,1604,66.7655770778656,11
9333.0,4545.0,8282.0,1630,67.92554998397827,4
4877.0,8591.0,9199.0,1630,67.9255599975586,4
8657.0,4640.0,8655.0,1630,67.92560195922852,4
4970.0,6994.0,7356.0,1630,67.92561197280884,4
4948.0,8247.0,9750.0,1668,69.62596297264099,5
7572.0,9801.0,4838.0,1760,74.7818250656128,5
6461.0,10810.0,5531.0,1796,76.53481006622314,7
7952.0,9277.0,4937.0,1796,76.53488612174988,7
9220.0,4524.0,9422.0,1942,85.05053496360779,10
8934.0,4603.0,9365.0,1942,85.05059814453125,10
6806.0,5549.0,7538.0,1942,85.05072116851807,10
9195.0,4617.0,9288.0,2005,89.17937707901001,25
6615.0,6114.0,6357.0,2022,90.4931070804596,11
8967.0,9338.0,4501.0,2044,92.00268697738647,12
7960.0,9792.0,4600.0,2044,92.00285410881042,12
7424.0,9697.0,5025.0,2044,92.00286912918091,12
8340.0,9268.0,4699.0,2044,92.00289916992188,12
8051.0,9767.0,4827.0,2045,92.12029004096985,13
7737.0,9995.0,4837.0,2108,95.10098505020142,13
8878.0,9130.0,4866.0,2111,95.3876600265503,15
7871.0,9584.0,4965.0,2111,95.38781499862671,15
8117.0,9471.0,4936.0,2197,98.90445899963379,21
8310.0,9384.0,4886.0,2206,99.33023405075073,18
9366.0,8923.0,4867.0,2229,101.29439496994019,27
8353.0,8705.0,4882.0,2310,104.70186710357666,13
7917.0,8619.0,5025.0,2328,105.82051706314087,14
8296.0,8567.0,4957.0,2328,105.82060813903809,14
10640.0,6839.0,5629.0,2410,110.65732598304749,15
7441.0,5923.0,5901.0,2410,110.65738797187805,15
