z1,z2,z3,node,time,depth
73.0,65.0,66.0,1,0.12143397331237793,1
75.0,93.0,46.0,1,0.12144804000854492,1
85.0,68.0,57.0,1,0.1214609146118164,1
81.0,63.0,62.0,1,0.12161397933959961,1
62.0,62.0,85.0,1,0.12168312072753906,1
57.0,81.0,81.0,1,0.12192296981811523,1
57.0,75.0,89.0,2,0.24283099174499512,2
105.0,60.0,86.0,5,0.4425489902496338,3
110.0,60.0,84.0,5,0.44255995750427246,3
102.0,61.0,86.0,9,0.7662720680236816,4
107.0,61.0,84.0,9,0.7662820816040039,4
115.0,61.0,78.0,10,0.9262089729309082,4
118.0,62.0,76.0,10,0.926300048828125,4
73.0,73.0,64.0,25,2.10964298248291,6
51.0,106.0,107.0,41,3.4485440254211426,7
51.0,107.0,106.0,41,3.448559045791626,7
65.0,83.0,68.0,64,5.401916027069092,8
52.0,105.0,100.0,65,5.4600090980529785,8
53.0,112.0,95.0,65,5.460052967071533,8
52.0,109.0,99.0,65,5.460063934326172,8
65.0,80.0,71.0,99,8.195493936538696,9
108.0,62.0,82.0,115,9.346784114837646,9
71.0,67.0,72.0,120,9.547595977783203,10
53.0,108.0,96.0,124,9.973689079284668,10
54.0,116.0,94.0,124,9.973978996276855,10
54.0,105.0,99.0,124,9.974009990692139,10
55.0,103.0,100.0,124,9.974055051803589,10
56.0,92.0,119.0,128,10.38027310371399,10
52.0,102.0,114.0,128,10.380283117294312,10
53.0,99.0,116.0,128,10.380293130874634,10
54.0,99.0,110.0,128,10.380449056625366,10
52.0,103.0,109.0,128,10.380459070205688,10
55.0,96.0,112.0,128,10.380573034286499,10
64.0,109.0,79.0,148,11.579453945159912,11
56.0,99.0,98.0,192,14.771826982498169,12
54.0,100.0,104.0,192,14.771857976913452,12
53.0,102.0,103.0,192,14.771867990493774,12
53.0,103.0,101.0,276,20.183021068572998,14
56.0,98.0,108.0,284,20.631822109222412,14
52.0,104.0,108.0,284,20.63191509246826,14
55.0,95.0,117.0,285,20.684119939804077,14
107.0,92.0,56.0,348,23.77076005935669,16
56.0,93.0,118.0,370,24.80899214744568,16
55.0,97.0,111.0,370,24.80901312828064,16
53.0,100.0,115.0,370,24.80905508995056,16
54.0,106.0,97.0,396,25.843281030654907,17
113.0,91.0,56.0,430,27.148776054382324,18
56.0,103.0,97.0,445,27.66646909713745,18
