z1,z2,z3,node,time,depth
104.0,75.0,94.0,1,0.05343890190124512,1
99.0,79.0,91.0,1,0.05344891548156738,1
106.0,95.0,78.0,1,0.05345892906188965,1
89.0,93.0,84.0,1,0.05351090431213379,1
118.0,73.0,127.0,2,0.1034998893737793,2
116.0,74.0,129.0,2,0.10350990295410156,2
118.0,74.0,122.0,2,0.1035308837890625,2
84.0,123.0,117.0,2,0.10355186462402344,2
84.0,118.0,118.0,2,0.10357284545898438,2
85.0,112.0,120.0,2,0.10358285903930664,2
85.0,117.0,119.0,4,0.15553998947143555,4
88.0,111.0,115.0,5,0.21225500106811523,5
88.0,110.0,116.0,5,0.2123699188232422,5
87.0,117.0,113.0,45,1.3900349140167236,4
87.0,116.0,114.0,45,1.3901069164276123,4
87.0,122.0,112.0,46,1.462951898574829,5
88.0,106.0,124.0,106,3.3026909828186035,3
124.0,72.0,117.0,123,4.588889837265015,2
83.0,125.0,117.0,123,4.588950872421265,2
100.0,129.0,83.0,124,4.679841995239258,3
104.0,127.0,81.0,124,4.680023908615112,3
102.0,127.0,83.0,129,5.083992004394531,7
88.0,127.0,111.0,170,7.196472883224487,10
86.0,116.0,116.0,218,9.404062986373901,7
85.0,120.0,115.0,218,9.404093980789185,7
97.0,90.0,89.0,253,10.167364835739136,5
94.0,91.0,96.0,253,10.167415857315063,5
131.0,74.0,109.0,270,11.171687841415405,12
122.0,73.0,117.0,272,11.239470958709717,14
126.0,73.0,115.0,296,11.695388793945312,15
124.0,74.0,115.0,296,11.695523023605347,15
125.0,74.0,114.0,313,12.040120840072632,14
