z1,z2,z3,node,time,depth
23176.0,21034.0,23448.0,1,0.042520999908447266,1
21650.0,22149.0,24215.0,1,0.04253196716308594,1
24419.0,21577.0,21689.0,1,0.04254293441772461,1
22988.0,24305.0,21242.0,1,0.042552947998046875,1
21544.0,23641.0,23017.0,1,0.04256391525268555,1
22465.0,23450.0,21729.0,1,0.04257488250732422,1
22516.0,23924.0,21419.0,1,0.04258584976196289,1
22066.0,23565.0,23447.0,8,0.15004801750183105,5
22632.0,22647.0,22990.0,10,0.1788167953491211,6
23374.0,22713.0,22473.0,12,0.20604991912841797,7
23762.0,22215.0,22091.0,14,0.23521780967712402,8
22162.0,23138.0,23129.0,17,0.28606081008911133,9
