z1,z2,z3,node,time,depth
98.0,78.0,98.0,1,0.1793351173400879,1
89.0,92.0,80.0,1,0.1793501377105713,1
66.0,139.0,61.0,1,0.17940521240234375,1
63.0,115.0,68.0,1,0.17941808700561523,1
120.0,61.0,114.0,1,0.17944622039794922,1
58.0,154.0,70.0,1,0.17955708503723145,1
64.0,141.0,62.0,2,0.2428271770477295,2
71.0,135.0,64.0,7,0.4864211082458496,7
60.0,153.0,69.0,41,1.6375200748443604,11
59.0,152.0,70.0,72,2.372819185256958,11
61.0,151.0,69.0,74,2.439225196838379,12
72.0,130.0,67.0,127,3.966346025466919,6
72.0,133.0,65.0,285,9.991590023040771,4
70.0,135.0,66.0,333,12.645586013793945,5
69.0,138.0,63.0,360,14.406920194625854,3
90.0,112.0,79.0,360,14.406934022903442,3
73.0,131.0,66.0,360,14.407003164291382,3
67.0,136.0,65.0,360,14.40703010559082,3
61.0,144.0,72.0,360,14.407058000564575,3
60.0,146.0,73.0,360,14.407072067260742,3
68.0,137.0,64.0,361,14.497732162475586,4
62.0,143.0,73.0,385,15.373902082443237,16
62.0,145.0,71.0,391,15.66654109954834,8
71.0,133.0,67.0,501,22.434159994125366,5
88.0,89.0,95.0,585,28.377994060516357,2
80.0,101.0,80.0,585,28.378624200820923,2
77.0,107.0,88.0,638,32.70170617103577,7
85.0,95.0,100.0,749,42.286478996276855,10
147.0,54.0,139.0,754,43.3794150352478,13
140.0,60.0,134.0,786,45.07792806625366,14
143.0,59.0,133.0,786,45.078081130981445,14
146.0,55.0,140.0,811,46.312472105026245,25
107.0,72.0,107.0,1087,60.399532079696655,13
108.0,73.0,104.0,1087,60.40085005760193,13
147.0,58.0,134.0,1148,68.03839802742004,22
116.0,68.0,115.0,1148,68.03842616081238,22
142.0,58.0,146.0,1299,77.86904501914978,35
144.0,58.0,145.0,1352,80.24068522453308,44
