z1,z2,z3,node,time,depth
54.0,117.0,109.0,1,0.27750587463378906,1
100.0,70.0,77.0,1,0.27753591537475586,1
90.0,77.0,69.0,1,0.27756500244140625,1
59.0,85.0,86.0,1,0.27763795852661133,1
89.0,82.0,66.0,1,0.27793192863464355,1
122.0,108.0,58.0,1,0.27796101570129395,1
118.0,112.0,58.0,1,0.2785348892211914,1
83.0,66.0,91.0,1,0.278749942779541,1
74.0,77.0,84.0,2,0.6402640342712402,2
114.0,65.0,99.0,3,0.7996809482574463,2
97.0,121.0,62.0,3,0.7997140884399414,2
103.0,120.0,61.0,3,0.7997300624847412,2
90.0,76.0,76.0,4,1.2714779376983643,3
73.0,82.0,80.0,4,1.2720038890838623,3
123.0,68.0,90.0,5,1.4325759410858154,3
120.0,65.0,97.0,5,1.4325909614562988,3
96.0,122.0,62.0,5,1.4326810836791992,3
118.0,106.0,59.0,5,1.4326958656311035,3
116.0,107.0,59.0,5,1.4327120780944824,3
111.0,114.0,59.0,5,1.4327268600463867,3
112.0,112.0,59.0,5,1.4327430725097656,3
113.0,65.0,103.0,5,1.4327728748321533,3
126.0,99.0,62.0,9,2.385787010192871,4
115.0,109.0,59.0,9,2.385986089706421,4
110.0,116.0,59.0,9,2.386291027069092,4
86.0,94.0,69.0,9,2.386357069015503,4
104.0,114.0,63.0,24,2.782362937927246,4
98.0,115.0,64.0,24,2.782378911972046,4
107.0,108.0,64.0,24,2.7827749252319336,4
110.0,104.0,65.0,24,2.782805919647217,4
77.0,99.0,71.0,26,3.3999929428100586,5
96.0,110.0,65.0,27,3.6772799491882324,5
123.0,69.0,89.0,45,3.992119073867798,5
94.0,112.0,65.0,46,4.055978059768677,5
113.0,103.0,62.0,47,4.076279878616333,5
115.0,102.0,62.0,47,4.076294898986816,5
109.0,108.0,62.0,47,4.076340913772583,5
97.0,116.0,64.0,47,4.076370000839233,5
108.0,110.0,62.0,47,4.076385974884033,5
106.0,114.0,62.0,64,4.341744899749756,5
109.0,65.0,108.0,67,4.926477909088135,6
112.0,105.0,62.0,74,5.165286064147949,6
112.0,102.0,65.0,85,5.451480865478516,6
108.0,107.0,65.0,85,5.451511859893799,6
114.0,101.0,65.0,85,5.451526880264282,6
118.0,101.0,64.0,85,5.451572895050049,6
103.0,111.0,64.0,101,5.749506950378418,6
100.0,115.0,63.0,101,5.749521970748901,6
108.0,64.0,117.0,103,6.285178899765015,7
89.0,76.0,80.0,103,6.285372972488403,7
103.0,108.0,65.0,114,6.476036071777344,7
98.0,109.0,65.0,114,6.476049900054932,7
123.0,100.0,63.0,224,8.702805042266846,8
121.0,101.0,63.0,225,8.718074083328247,8
55.0,112.0,113.0,291,10.031998872756958,9
56.0,115.0,105.0,291,10.032070875167847,9
57.0,109.0,118.0,291,10.032100915908813,9
57.0,110.0,109.0,291,10.032245874404907,9
107.0,112.0,62.0,332,10.513455867767334,9
127.0,98.0,64.0,343,10.653378009796143,9
111.0,107.0,62.0,351,10.756635904312134,9
117.0,106.0,61.0,354,10.798439025878906,9
113.0,110.0,61.0,354,10.798495054244995,9
102.0,121.0,61.0,369,10.999372005462646,9
105.0,115.0,62.0,369,10.999454975128174,9
102.0,112.0,64.0,369,10.999510049819946,9
99.0,116.0,63.0,369,10.999523878097534,9
67.0,80.0,93.0,598,14.056691884994507,11
69.0,126.0,84.0,618,14.473680973052979,11
57.0,117.0,103.0,621,14.575792074203491,11
122.0,100.0,64.0,665,14.941149950027466,11
125.0,99.0,63.0,666,14.956351041793823,11
126.0,98.0,65.0,668,14.971319913864136,11
99.0,75.0,90.0,690,15.170969009399414,11
106.0,109.0,64.0,757,15.725619077682495,11
109.0,105.0,65.0,770,15.79126501083374,11
75.0,129.0,79.0,818,17.052604913711548,12
71.0,125.0,83.0,818,17.052618980407715,12
129.0,104.0,61.0,834,17.224788904190063,12
124.0,99.0,65.0,856,17.37991499900818,12
76.0,76.0,126.0,957,18.837598085403442,13
80.0,75.0,119.0,957,18.83764100074768,13
79.0,75.0,121.0,957,18.837740898132324,13
72.0,112.0,84.0,962,18.929460048675537,13
66.0,84.0,123.0,964,18.97170901298523,13
58.0,113.0,105.0,966,19.012451887130737,13
71.0,117.0,85.0,996,19.297338008880615,13
114.0,111.0,59.0,1056,19.825459957122803,13
77.0,76.0,124.0,1106,20.9398250579834,14
127.0,97.0,65.0,1346,23.85648488998413,16
88.0,86.0,77.0,1347,24.074742078781128,16
58.0,109.0,113.0,1402,24.412646055221558,16
72.0,111.0,85.0,1437,25.40501093864441,17
107.0,65.0,110.0,1453,25.94646406173706,18
106.0,65.0,112.0,1453,25.946505069732666,18
58.0,112.0,107.0,1469,26.125542879104614,18
82.0,75.0,116.0,1534,28.26246690750122,21
81.0,76.0,116.0,1534,28.262481927871704,21
82.0,76.0,111.0,1550,28.491733074188232,22
55.0,119.0,107.0,1674,30.01411199569702,40
56.0,114.0,111.0,1678,30.048621892929077,40
