z1,z2,z3,node,time,depth
132.0,142.0,80.0,1,0.21669292449951172,1
91.0,101.0,117.0,1,0.21674895286560059,1
111.0,93.0,114.0,1,0.21680498123168945,1
92.0,95.0,126.0,1,0.2169020175933838,1
124.0,85.0,145.0,1,0.21691584587097168,1
116.0,109.0,90.0,1,0.217026948928833,1
114.0,95.0,104.0,1,0.217041015625,1
98.0,121.0,92.0,1,0.21709585189819336,1
109.0,112.0,88.0,1,0.21715188026428223,1
138.0,134.0,82.0,3,0.5136239528656006,2
118.0,152.0,84.0,3,0.5137078762054443,2
123.0,147.0,82.0,3,0.5137219429016113,2
82.0,136.0,134.0,4,0.7448709011077881,3
81.0,131.0,145.0,4,0.7452878952026367,3
126.0,86.0,144.0,4,0.745481014251709,3
84.0,121.0,151.0,5,0.8583009243011475,3
130.0,87.0,138.0,5,0.8583550453186035,3
92.0,107.0,116.0,8,1.3478670120239258,4
95.0,152.0,103.0,9,1.4572749137878418,4
97.0,152.0,101.0,9,1.4573309421539307,4
89.0,153.0,112.0,9,1.4573440551757812,4
92.0,153.0,107.0,9,1.4573578834533691,4
85.0,118.0,152.0,10,1.6373958587646484,4
88.0,112.0,157.0,10,1.6375069618225098,4
85.0,122.0,148.0,10,1.6375620365142822,4
87.0,119.0,147.0,10,1.6375758647918701,4
87.0,115.0,151.0,10,1.6376168727874756,4
88.0,116.0,148.0,10,1.6377818584442139,4
122.0,141.0,85.0,12,1.9311418533325195,4
131.0,136.0,83.0,12,1.9312388896942139,4
132.0,130.0,86.0,12,1.9314789772033691,4
117.0,146.0,87.0,12,1.9315619468688965,4
116.0,152.0,85.0,13,2.0182340145111084,4
121.0,147.0,83.0,13,2.01824688911438,4
130.0,142.0,81.0,13,2.018260955810547,4
100.0,106.0,111.0,14,2.2984910011291504,5
90.0,116.0,146.0,18,2.8381969928741455,5
88.0,113.0,153.0,20,3.152500867843628,5
112.0,89.0,153.0,20,3.1525440216064453,5
118.0,87.0,148.0,20,3.152570962905884,5
129.0,90.0,133.0,20,3.1526689529418945,5
121.0,87.0,144.0,20,3.152682065963745,5
109.0,91.0,152.0,20,3.1527650356292725,5
90.0,110.0,152.0,20,3.1527788639068604,5
