z1,z2,z3,node,time,depth
23962.0,25224.0,23342.0,1,0.08076190948486328,1
22634.0,26100.0,22561.0,1,0.08078193664550781,1
24455.0,23972.0,24913.0,1,0.08080387115478516,1
25055.0,23346.0,25098.0,1,0.08082389831542969,1
25900.0,22695.0,26116.0,1,0.08090400695800781,1
25688.0,23224.0,25440.0,4,0.1997389793395996,3
25288.0,24074.0,24443.0,4,0.1997530460357666,3
24709.0,23970.0,24781.0,8,0.44841504096984863,4
25009.0,23886.0,25315.0,40,2.591646909713745,8
23639.0,25739.0,23684.0,76,4.891618967056274,12
