z1,z2,z3,node,time,depth
1157.0,1752.0,3913.0,1,0.00914907455444336,1
1363.0,2170.0,2237.0,1,0.009154081344604492,1
2899.0,1896.0,1112.0,1,0.009158134460449219,1
1745.0,1914.0,1767.0,1,0.009164094924926758,1
2712.0,1819.0,1184.0,1,0.009168148040771484,1
1904.0,1207.0,3276.0,1,0.009172916412353516,1
2999.0,1394.0,1978.0,1,0.009177923202514648,1
985.0,2520.0,3673.0,1,0.009181976318359375,1
1691.0,1625.0,2083.0,1,0.009186983108520508,1
1838.0,1547.0,2091.0,1,0.00919198989868164,1
1054.0,1994.0,3142.0,1,0.009196043014526367,1
1309.0,1881.0,2553.0,1,0.0092010498046875,1
3111.0,1160.0,2824.0,1,0.009206056594848633,1
2286.0,1172.0,3359.0,1,0.009211063385009766,1
2617.0,1429.0,1895.0,1,0.009215116500854492,1
2658.0,1530.0,1500.0,1,0.009220123291015625,1
2729.0,1195.0,2741.0,1,0.009225130081176758,1
2770.0,1296.0,2346.0,1,0.00923013687133789,1
1640.0,1312.0,3790.0,1,0.009235143661499023,1
1537.0,1554.0,3019.0,1,0.009238958358764648,1
1792.0,1441.0,2430.0,1,0.009243965148925781,1
1240.0,2407.0,3084.0,2,0.019906044006347656,2
1882.0,1417.0,2578.0,2,0.01993703842163086,2
2264.0,1382.0,2661.0,2,0.019941091537475586,2
1436.0,1738.0,2672.0,3,0.03185606002807617,2
1932.0,1991.0,1695.0,4,0.04258108139038086,3
2174.0,1406.0,2513.0,4,0.0426020622253418,3
1892.0,1836.0,1775.0,5,0.05121803283691406,3
2465.0,1300.0,3255.0,6,0.062185049057006836,3
1583.0,1660.0,2680.0,6,0.06223893165588379,3
1421.0,1647.0,3399.0,7,0.0730290412902832,3
1835.0,1890.0,1915.0,8,0.0841360092163086,4
1550.0,2247.0,2165.0,8,0.08414506912231445,4
1453.0,2146.0,2385.0,8,0.08414912223815918,4
1878.0,1702.0,2011.0,8,0.0841529369354248,4
1979.0,1518.0,2358.0,8,0.08415913581848145,4
1781.0,1601.0,2231.0,8,0.08416295051574707,4
1399.0,1857.0,2701.0,8,0.0841679573059082,4
1294.0,2696.0,2768.0,8,0.08418512344360352,4
2578.0,2857.0,1503.0,9,0.09242105484008789,4
2551.0,2381.0,1575.0,9,0.09242510795593262,4
3051.0,1786.0,1234.0,10,0.10007596015930176,4
2845.0,1607.0,1428.0,11,0.10809707641601562,4
1950.0,1313.0,2937.0,15,0.15452313423156738,4
1496.0,1958.0,2481.0,16,0.17593693733215332,5
2584.0,1942.0,1284.0,20,0.19752001762390137,5
2231.0,1803.0,1825.0,21,0.20264005661010742,5
2079.0,1913.0,1703.0,21,0.2026500701904297,5
2025.0,1624.0,2019.0,22,0.20819902420043945,5
2530.0,1653.0,1600.0,23,0.21558809280395508,5
1623.0,1815.0,2600.0,26,0.23093414306640625,5
1686.0,1418.0,3451.0,27,0.23642706871032715,5
3238.0,1863.0,1162.0,40,0.2844250202178955,6
2418.0,1880.0,1753.0,42,0.29224491119384766,6
1982.0,1812.0,1923.0,42,0.29226112365722656,6
2321.0,1779.0,1973.0,42,0.29227113723754883,6
1928.0,1523.0,2239.0,44,0.30060291290283203,6
1539.0,1496.0,3443.0,53,0.33370208740234375,6
2642.0,1419.0,2446.0,62,0.3656599521636963,6
2804.0,1506.0,1823.0,92,0.4426131248474121,7
2620.0,1629.0,1748.0,93,0.4493739604949951,7
2803.0,1633.0,1457.0,94,0.45250511169433594,7
1241.0,2071.0,3070.0,104,0.4796290397644043,7
1526.0,1714.0,2820.0,106,0.4868180751800537,7
1673.0,1636.0,2828.0,108,0.49292612075805664,7
1803.0,1391.0,2929.0,112,0.5061819553375244,7
2375.0,2235.0,1630.0,156,0.5878350734710693,8
2674.0,1918.0,1432.0,157,0.5905461311340332,8
2857.0,1922.0,1141.0,158,0.5944569110870361,8
1983.0,1650.0,2048.0,168,0.6326501369476318,8
2333.0,2261.0,1659.0,266,0.8606929779052734,9
2037.0,1939.0,1732.0,276,0.8821201324462891,9
1627.0,1530.0,3167.0,634,1.4503190517425537,11
1144.0,1970.0,3290.0,638,1.4570159912109375,11
