z1,z2,z3,node,time,depth
45.0,26.0,49.0,1,0.016455888748168945,1
56.0,27.0,34.0,1,0.016459941864013672,1
26.0,60.0,33.0,1,0.016463041305541992,1
31.0,59.0,29.0,1,0.016466856002807617,1
33.0,56.0,29.0,1,0.016469955444335938,1
58.0,42.0,24.0,1,0.016473054885864258,1
46.0,26.0,43.0,1,0.016475915908813477,1
40.0,27.0,49.0,1,0.016479015350341797,1
24.0,44.0,50.0,1,0.016483068466186523,1
62.0,31.0,28.0,1,0.016485929489135742,1
59.0,36.0,26.0,1,0.016489028930664062,1
51.0,26.0,38.0,1,0.01649188995361328,1
40.0,57.0,26.0,1,0.0164949893951416,1
46.0,52.0,25.0,1,0.01649785041809082,1
37.0,29.0,49.0,1,0.01650094985961914,1
43.0,28.0,43.0,1,0.01650404930114746,1
34.0,41.0,39.0,1,0.016507863998413086,1
27.0,55.0,33.0,1,0.016510963439941406,1
51.0,34.0,32.0,1,0.01653003692626953,1
56.0,35.0,28.0,1,0.01653289794921875,1
46.0,48.0,26.0,1,0.01653599739074707,1
30.0,35.0,57.0,1,0.01653885841369629,1
25.0,41.0,51.0,1,0.016542911529541016,1
30.0,41.0,44.0,1,0.016546010971069336,1
30.0,36.0,50.0,1,0.016548871994018555,1
22.0,56.0,37.0,1,0.016551971435546875,1
31.0,54.0,31.0,1,0.016555070877075195,1
29.0,41.0,46.0,2,0.03665494918823242,2
29.0,51.0,37.0,2,0.03665804862976074,2
52.0,47.0,25.0,2,0.03668999671936035,2
40.0,51.0,29.0,2,0.03669285774230957,2
34.0,36.0,45.0,2,0.03670191764831543,2
54.0,41.0,26.0,2,0.036715030670166016,2
34.0,50.0,33.0,2,0.036720991134643555,2
36.0,37.0,42.0,3,0.05186796188354492,2
23.0,51.0,43.0,3,0.05187392234802246,2
38.0,35.0,44.0,3,0.05188393592834473,2
32.0,39.0,46.0,3,0.05188703536987305,2
52.0,44.0,26.0,3,0.05189704895019531,2
24.0,48.0,44.0,3,0.05191206932067871,2
25.0,46.0,45.0,3,0.051915884017944336,2
49.0,43.0,28.0,3,0.05192899703979492,2
44.0,34.0,38.0,3,0.05193805694580078,2
39.0,38.0,38.0,3,0.05194091796875,2
38.0,46.0,32.0,3,0.05194401741027832,2
55.0,30.0,33.0,4,0.06700396537780762,3
50.0,30.0,38.0,4,0.06701993942260742,3
27.0,46.0,44.0,4,0.06703901290893555,3
49.0,34.0,34.0,4,0.06704902648925781,3
33.0,37.0,48.0,4,0.06705188751220703,3
27.0,41.0,50.0,4,0.06705498695373535,3
56.0,42.0,25.0,4,0.06706094741821289,3
50.0,47.0,26.0,4,0.06707096099853516,3
57.0,36.0,27.0,4,0.06708002090454102,3
41.0,43.0,34.0,5,0.08221006393432617,3
48.0,43.0,29.0,5,0.08222293853759766,3
43.0,36.0,37.0,5,0.0822298526763916,3
41.0,53.0,27.0,6,0.09677004814147949,3
28.0,50.0,39.0,7,0.10762405395507812,3
40.0,41.0,36.0,7,0.10765886306762695,3
48.0,47.0,27.0,7,0.10767507553100586,3
39.0,49.0,30.0,7,0.10767793655395508,3
42.0,54.0,26.0,7,0.1076810359954834,3
37.0,54.0,28.0,7,0.10768985748291016,3
57.0,40.0,26.0,8,0.12682199478149414,4
46.0,39.0,33.0,9,0.14044404029846191,4
52.0,41.0,28.0,9,0.14045000076293945,4
38.0,42.0,37.0,9,0.1404569149017334,4
33.0,42.0,42.0,9,0.1404728889465332,4
53.0,29.0,37.0,11,0.16724586486816406,4
62.0,35.0,27.0,11,0.16727685928344727,4
51.0,30.0,37.0,11,0.16729998588562012,4
50.0,32.0,36.0,11,0.16730403900146484,4
49.0,40.0,30.0,11,0.16730690002441406,4
50.0,38.0,31.0,11,0.16730999946594238,4
55.0,39.0,27.0,11,0.16731595993041992,4
43.0,33.0,41.0,11,0.16732287406921387,4
35.0,35.0,46.0,11,0.1673290729522705,4
43.0,32.0,42.0,11,0.16733193397521973,4
32.0,46.0,39.0,16,0.22009706497192383,5
35.0,48.0,34.0,16,0.22013497352600098,5
44.0,49.0,28.0,16,0.2201380729675293,5
54.0,39.0,29.0,16,0.22014498710632324,5
44.0,38.0,36.0,17,0.23600292205810547,5
47.0,40.0,32.0,17,0.236008882522583,5
40.0,43.0,35.0,17,0.23604989051818848,5
44.0,45.0,31.0,17,0.2360529899597168,5
28.0,39.0,51.0,20,0.26506590843200684,5
42.0,34.0,40.0,20,0.2650940418243408,5
33.0,34.0,50.0,20,0.26509690284729004,5
54.0,33.0,33.0,21,0.2787909507751465,5
48.0,29.0,39.0,21,0.2787950038909912,5
48.0,37.0,33.0,21,0.27880406379699707,5
42.0,40.0,36.0,23,0.30269408226013184,5
