z1,z2,z3,node,time,depth
11556.0,7074.0,11258.0,1,0.011584043502807617,1
10542.0,7384.0,10145.0,1,0.011586904525756836,1
6772.0,11507.0,7206.0,1,0.011590957641601562,1
6808.0,11431.0,7076.0,1,0.011594057083129883,1
7316.0,10587.0,7933.0,1,0.011596918106079102,1
8865.0,8763.0,8830.0,1,0.011600017547607422,1
7474.0,11196.0,6845.0,1,0.011606931686401367,1
7267.0,11116.0,6847.0,1,0.011610031127929688,1
6972.0,11320.0,6907.0,1,0.011612892150878906,1
6912.0,11489.0,6925.0,1,0.011615991592407227,1
7051.0,11176.0,6988.0,1,0.011625051498413086,1
6887.0,11287.0,7157.0,1,0.011627912521362305,1
9556.0,8040.0,9343.0,1,0.011635065078735352,1
7866.0,10285.0,7469.0,1,0.011652946472167969,1
6920.0,11390.0,6918.0,1,0.011658906936645508,1
7026.0,11339.0,6884.0,1,0.011662006378173828,1
7107.0,11214.0,6868.0,1,0.011665105819702148,1
6851.0,11363.0,7287.0,2,0.024179935455322266,2
7015.0,11252.0,7118.0,2,0.02419900894165039,2
7589.0,10340.0,7836.0,2,0.02421402931213379,2
7912.0,10273.0,7538.0,3,0.03944206237792969,2
7211.0,11078.0,6967.0,3,0.03945803642272949,2
7856.0,10235.0,7658.0,3,0.039491891860961914,2
7433.0,10665.0,7636.0,3,0.039494991302490234,2
8157.0,9679.0,8716.0,4,0.05309796333312988,3
8114.0,9815.0,8663.0,5,0.0650930404663086,3
8387.0,9568.0,8566.0,5,0.06511211395263672,3
7745.0,10328.0,7674.0,5,0.06511807441711426,3
6943.0,11325.0,7037.0,6,0.0775749683380127,3
7203.0,11177.0,6974.0,6,0.07757806777954102,3
7043.0,11275.0,6995.0,6,0.07758402824401855,3
7848.0,10334.0,7665.0,6,0.07759308815002441,3
8124.0,9942.0,8149.0,6,0.07759594917297363,3
6970.0,11301.0,7004.0,7,0.08768701553344727,3
8464.0,9373.0,8384.0,10,0.10341191291809082,4
11535.0,7112.0,11146.0,11,0.11301302909851074,4
9201.0,8715.0,8816.0,11,0.11302495002746582,4
7760.0,10498.0,7498.0,11,0.11302804946899414,4
8394.0,9498.0,8205.0,11,0.11303091049194336,4
7704.0,10460.0,7618.0,11,0.11303400993347168,4
8247.0,9627.0,8280.0,11,0.113037109375,4
7776.0,10362.0,7655.0,11,0.11303997039794922,4
7696.0,10559.0,7625.0,11,0.11304306983947754,4
7736.0,10339.0,7793.0,12,0.12760210037231445,4
7580.0,10351.0,7955.0,12,0.12761807441711426,4
7489.0,10703.0,7516.0,14,0.1436018943786621,4
8138.0,10184.0,7710.0,17,0.16791510581970215,4
9029.0,8961.0,8727.0,20,0.1850900650024414,5
8338.0,9684.0,8214.0,20,0.18509292602539062,5
8987.0,8761.0,9154.0,21,0.19760894775390625,5
9139.0,8995.0,8716.0,21,0.19762396812438965,5
8223.0,9862.0,8130.0,23,0.23451590538024902,5
8166.0,9858.0,8285.0,23,0.2345271110534668,5
8167.0,9824.0,8250.0,23,0.23452997207641602,5
7472.0,10575.0,7771.0,24,0.24365496635437012,5
7427.0,10665.0,7901.0,25,0.2567629814147949,5
7501.0,10495.0,7874.0,25,0.2567729949951172,5
7661.0,10578.0,7517.0,32,0.3213319778442383,5
9384.0,8648.0,9187.0,38,0.35741591453552246,6
9228.0,8660.0,9349.0,38,0.3574199676513672,6
8430.0,9432.0,8619.0,38,0.35743188858032227,6
7818.0,10309.0,7952.0,38,0.3574540615081787,6
8389.0,9673.0,8239.0,40,0.4057600498199463,6
8586.0,9453.0,8382.0,40,0.40576696395874023,6
8746.0,9322.0,8436.0,41,0.41663408279418945,6
7702.0,10545.0,7811.0,44,0.42585301399230957,6
8676.0,9447.0,8257.0,47,0.44675111770629883,6
8222.0,9896.0,8165.0,48,0.45458292961120605,6
9672.0,7980.0,9441.0,49,0.4614689350128174,6
7237.0,10731.0,7852.0,51,0.4775218963623047,6
8148.0,10234.0,7521.0,97,0.7230079174041748,7
9269.0,8710.0,9206.0,99,0.7383759021759033,7
7759.0,10532.0,7533.0,107,0.7535200119018555,7
11452.0,7293.0,11292.0,120,0.8004920482635498,7
10459.0,7565.0,10291.0,120,0.800494909286499,7
9147.0,8712.0,8882.0,123,0.8180420398712158,7
7662.0,10509.0,7820.0,133,0.8649840354919434,7
8123.0,9976.0,8184.0,156,0.9366950988769531,7
7488.0,10737.0,7551.0,156,0.936708927154541,7
7634.0,11047.0,7287.0,193,1.0336310863494873,7
7687.0,10569.0,7560.0,195,1.0453829765319824,7
8421.0,9443.0,8738.0,212,1.1053481101989746,8
7703.0,10494.0,7653.0,245,1.2240700721740723,8
8395.0,9737.0,8131.0,250,1.2405428886413574,8
8165.0,9856.0,8543.0,250,1.240596055984497,8
9483.0,8386.0,9519.0,268,1.2975120544433594,8
8938.0,8904.0,8793.0,268,1.297516107559204,8
8821.0,9016.0,8980.0,273,1.3398590087890625,8
8975.0,8797.0,8819.0,273,1.3398690223693848,8
8022.0,10026.0,8522.0,294,1.406554937362671,8
8221.0,9820.0,8657.0,456,1.8537309169769287,9
8394.0,9771.0,8166.0,543,2.095643997192383,9
8713.0,9253.0,8925.0,567,2.1640090942382812,9
8745.0,9235.0,8908.0,567,2.164022922515869,9
9666.0,8074.0,9332.0,568,2.1698710918426514,9
8792.0,9109.0,9006.0,576,2.1922190189361572,9
7943.0,10170.0,8441.0,620,2.300863027572632,9
7975.0,10152.0,8424.0,620,2.300873041152954,9
8192.0,10138.0,7826.0,959,2.930448055267334,10
8786.0,9481.0,8246.0,1043,3.082597017288208,10
8329.0,9798.0,8274.0,1046,3.1426401138305664,10
8858.0,9101.0,8763.0,1050,3.150459051132202,10
9512.0,8293.0,9493.0,1059,3.185844898223877,10
8054.0,10008.0,8505.0,1138,3.320512056350708,10
8347.0,9613.0,8765.0,1429,3.793497085571289,11
8448.0,9718.0,8203.0,1560,3.996903896331787,11
8086.0,10000.0,8462.0,1629,4.118273019790649,11
8118.0,9982.0,8445.0,1629,4.118293046951294,11
8504.0,9532.0,8194.0,1654,4.175441026687622,11
7432.0,10699.0,7671.0,1930,4.632023096084595,11
7675.0,10576.0,7719.0,1930,4.632025957107544,11
11473.0,7255.0,11404.0,3748,6.921302080154419,14
7660.0,10612.0,7552.0,4186,7.35741400718689,14
8857.0,9135.0,8798.0,4842,7.95592999458313,18
