z1,z2,z3,node,time,depth
9111.0,9246.0,7462.0,1,0.004294157028198242,1
7570.0,8108.0,8893.0,1,0.004297018051147461,1
7884.0,8692.0,8182.0,1,0.004300117492675781,1
7724.0,7787.0,8913.0,1,0.0043032169342041016,1
8499.0,7439.0,8491.0,1,0.00430607795715332,1
9026.0,8497.0,7587.0,1,0.004309177398681641,1
8538.0,9107.0,7609.0,1,0.004312038421630859,1
8676.0,7875.0,8046.0,1,0.00431513786315918,1
8286.0,7440.0,8961.0,1,0.004319190979003906,1
9331.0,7321.0,8909.0,1,0.0060710906982421875,1
9118.0,7322.0,9379.0,1,0.006074190139770508,1
7806.0,8691.0,8452.0,2,0.010439157485961914,2
8600.0,8468.0,7854.0,2,0.01044321060180664,2
8156.0,9313.0,7993.0,2,0.010461091995239258,2
8536.0,8513.0,8071.0,3,0.013813018798828125,3
8463.0,7876.0,8516.0,4,0.015531063079833984,4
8067.0,7968.0,8583.0,21,0.04324817657470703,4
8116.0,8212.0,8557.0,26,0.05134916305541992,6
8517.0,8320.0,8195.0,32,0.060682058334350586,7
8359.0,8077.0,8516.0,43,0.08096718788146973,5
8956.0,8167.0,7873.0,78,0.14015913009643555,3
8132.0,7761.0,8941.0,78,0.14016199111938477,3
8779.0,7731.0,8318.0,78,0.14017820358276367,3
8460.0,9106.0,7879.0,79,0.14320921897888184,4
8004.0,8079.0,8740.0,79,0.14321517944335938,4
9263.0,8072.0,8021.0,104,0.1848280429840088,7
8907.0,8373.0,8002.0,104,0.18483710289001465,7
8849.0,8061.0,8032.0,168,0.30584001541137695,4
8074.0,8409.0,8454.0,169,0.3091912269592285,5
8417.0,8590.0,8124.0,179,0.3309760093688965,6
8466.0,8834.0,8098.0,199,0.36590099334716797,8
8652.0,8378.0,8166.0,212,0.39096617698669434,5
7913.0,8289.0,8563.0,212,0.3909721374511719,5
7782.0,9194.0,8572.0,212,0.39098119735717773,5
7773.0,8927.0,8588.0,212,0.39098405838012695,5
8309.0,8197.0,8496.0,258,0.504993200302124,7
8848.0,8628.0,7714.0,271,0.5302121639251709,2
9421.0,8767.0,7567.0,271,0.5302150249481201,2
8194.0,8213.0,8287.0,271,0.5302309989929199,2
7972.0,7947.0,8773.0,271,0.5302371978759766,2
8747.0,7599.0,8351.0,271,0.5302431583404541,2
7818.0,8268.0,8753.0,271,0.5302491188049316,2
7851.0,8928.0,8318.0,271,0.53025221824646,2
9071.0,8145.0,8026.0,272,0.5370221138000488,3
8437.0,8078.0,8246.0,272,0.5370340347290039,3
8455.0,8959.0,7950.0,272,0.5370399951934814,3
8315.0,8128.0,8443.0,303,0.595048189163208,5
7981.0,8214.0,8757.0,331,0.6588711738586426,6
8023.0,7933.0,8907.0,345,0.6834731101989746,7
8005.0,8607.0,8338.0,354,0.7096590995788574,7
7860.0,9195.0,8302.0,379,0.7750442028045654,3
8380.0,7921.0,8801.0,379,0.7750561237335205,3
8164.0,8984.0,8009.0,379,0.775062084197998,3
8161.0,8449.0,8423.0,380,0.7804670333862305,4
7827.0,8535.0,8737.0,382,0.7889912128448486,6
7869.0,8254.0,8887.0,396,0.8145930767059326,7
8285.0,8899.0,8165.0,430,0.8995451927185059,5
8474.0,8505.0,8114.0,463,1.0445091724395752,4
9668.0,9139.0,7506.0,464,1.0489180088043213,5
9351.0,8437.0,7853.0,482,1.0834031105041504,11
8381.0,9424.0,7843.0,558,1.2616400718688965,11
