z1,z2,z3,node,time,depth
6025.0,4030.0,5540.0,1,0.018934011459350586,1
4795.0,4983.0,5574.0,1,0.01897883415222168,1
4619.0,6702.0,3939.0,1,0.018983840942382812,1
5258.0,5987.0,4506.0,3,0.036633968353271484,2
4303.0,7136.0,5532.0,3,0.03664398193359375,2
4414.0,6966.0,5196.0,3,0.03664898872375488,2
6148.0,5466.0,5224.0,5,0.059439897537231445,3
6076.0,5121.0,5473.0,5,0.05944490432739258,3
4649.0,6454.0,5882.0,5,0.05946493148803711,3
4585.0,6706.0,6213.0,6,0.0643458366394043,3
4917.0,6582.0,5297.0,7,0.0681159496307373,3
4558.0,5433.0,8552.0,9,0.08759403228759766,4
4298.0,6793.0,7392.0,9,0.08759880065917969,4
4400.0,5563.0,6970.0,9,0.08760380744934082,4
4939.0,6307.0,5363.0,11,0.10630488395690918,4
4723.0,5978.0,6222.0,11,0.10633492469787598,4
5953.0,5986.0,5344.0,11,0.10634994506835938,4
5614.0,5854.0,5568.0,12,0.11452293395996094,4
5957.0,5858.0,4782.0,12,0.11455297470092773,4
4603.0,8216.0,5047.0,16,0.15003299713134766,5
6013.0,4837.0,6132.0,59,0.4381418228149414,7
6425.0,5803.0,5146.0,71,0.4995429515838623,7
6053.0,5357.0,5327.0,126,0.7974128723144531,9
5982.0,4899.0,6308.0,131,0.8183538913726807,9
5935.0,5951.0,5554.0,155,0.9034638404846191,9
