z1,z2,z3,node,time,depth
3704.0,4419.0,6348.0,1,0.007416963577270508,1
7223.0,8151.0,4600.0,1,0.007421970367431641,1
3899.0,3810.0,5715.0,1,0.0074269771575927734,1
6817.0,7212.0,4665.0,1,0.007431983947753906,1
6694.0,6758.0,5086.0,4,0.03511190414428711,3
4718.0,4746.0,5516.0,4,0.03511691093444824,3
6219.0,7438.0,5266.0,5,0.039906978607177734,3
5072.0,5593.0,5446.0,5,0.03991198539733887,3
6754.0,7863.0,4981.0,7,0.054058074951171875,3
6379.0,7182.0,5267.0,18,0.11447787284851074,5
6341.0,7192.0,5381.0,54,0.31188106536865234,7
6251.0,6700.0,5427.0,67,0.3595759868621826,8
