z1,z2,z3,node,time,depth
-33.0,-31.0,-35.0,1,0.0013911724090576172,1
-26.0,-32.0,-24.0,29,0.02793717384338379,5
-24.0,-37.0,-30.0,32,0.03032708168029785,6
-25.0,-37.0,-28.0,38,0.03421807289123535,6
-38.0,-21.0,-36.0,86,0.06519412994384766,7
-39.0,-19.0,-37.0,186,0.11416316032409668,9
-47.0,-12.0,-41.0,216,0.1264340877532959,10
-40.0,-19.0,-34.0,228,0.13067197799682617,10
-40.0,-17.0,-37.0,230,0.13129115104675293,10
-17.0,-38.0,-19.0,244,0.13581013679504395,11
-16.0,-39.0,-17.0,246,0.1364421844482422,11
-34.0,-23.0,-31.0,254,0.13918519020080566,11
