instance,pb,n,p,coef,rangemin,rangemax,nodesel,varsel,OB,solved,YN,nbnodes,mindepthT,maxdepthT,avgdepthT,avgdepthYN,nbleaf,nbinfeas,pctinfeas,tpsinfeas,nbopt,pctopt,tpsopt,nbdomi,pctdomi,avgdomi,nbLB,avgfacets,avgNDf,pctavgNDf, avgWNDf,pctWNDf,maxfacets,maxNDf,pctmaxNDf, maxWNDf,pctmaxWNDf,tpstotal,tpsLB,pcttpsLB,tpsdomi,pcttpsdomi,tpsUB,pcttpsUB,tpsnodesel,pcttpsnodesel,tpsvarsel,pcttpsvarsel,tpsOB,pcttpsOB,tpsSLUB,pcttpsSLUB,tpsdomiLUB,pcttpsdomiLUB,nbOB,pctnbOB,avgdepthOB,mindepthOB,maxdepthOB,avgnbpbOB,maxnbpbOB,ratioNDcoef
Forget20-KP_20_3_1000-2000_2box_1_1,KP,20,3,2box,1000,2000,depth,mof,None,1,69,6841,6,21,15.89,12.45,3421,677,19.79,0.32,725,21.19,0.46,2019,59.02,0.85,6164,5.93,0.27,4.63,5.66,95.44,41,14,34.15,27,65.85,4.96,4.56,91.84,0.25,5.07,0.02,0.45,0.0,0.02,0.01,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.55
Forget20-KP_20_3_1000-2000_2box_1_1,KP,20,3,2box,1000,2000,breadth,mof,None,1,69,2689,5,21,14.77,12.45,1345,133,9.89,0.31,263,19.55,0.45,949,70.56,0.94,2556,7.32,0.52,7.15,6.8,92.84,41,14,34.15,27,65.85,2.28,2.02,88.71,0.18,7.77,0.0,0.18,0.0,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.55
Forget20-KP_20_3_1000-2000_2box_1_1,KP,20,3,2box,1000,2000,depth,mfavg,None,1,69,5087,6,21,16.36,12.68,2544,861,33.84,0.32,468,18.4,0.46,1215,47.76,0.87,4226,5.43,0.32,5.92,5.11,94.09,41,13,31.71,28,68.29,3.49,3.22,92.19,0.15,4.22,0.01,0.18,0.0,0.02,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0,0.0,0.0,2147483647,0,0.0,0,0.55
Forget20-KP_20_3_1000-2000_2box_1_1,KP,20,3,2box,1000,2000,breadth,mfavg,None,1,69,2661,5,21,15.47,12.68,1331,327,24.57,0.32,242,18.18,0.45,762,57.25,1.0,2334,6.14,0.45,7.27,5.69,92.68,41,13,31.71,28,68.29,2.07,1.86,89.8,0.14,6.92,0.0,0.17,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.55
Forget20-KP_20_3_1000-2000_2box_10_10,KP,20,3,2box,1000,2000,depth,mof,None,1,27,1193,5,18,12.15,8.93,597,6,1.01,0.32,146,24.46,0.42,445,74.54,0.75,1187,7.73,0.05,0.68,7.68,99.3,42,14,33.33,28,66.67,0.9,0.83,92.89,0.03,3.64,0.0,0.31,0.0,0.01,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.5
Forget20-KP_20_3_1000-2000_2box_10_10,KP,20,3,2box,1000,2000,breadth,mof,None,1,27,853,5,15,11.26,8.93,427,0,0.0,0.0,113,26.46,0.42,314,73.54,0.84,853,8.62,0.08,0.87,8.54,99.12,42,14,33.33,28,66.67,0.69,0.63,92.06,0.04,5.78,0.0,0.3,0.0,0.01,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.5
Forget20-KP_20_3_1000-2000_2box_10_10,KP,20,3,2box,1000,2000,depth,mfavg,None,1,27,1485,6,21,12.59,7.41,743,48,6.46,0.32,137,18.44,0.43,558,75.1,0.66,1437,6.36,0.36,5.65,6.0,94.32,42,14,33.33,28,66.67,1.0,0.93,93.58,0.04,3.64,0.0,0.23,0.0,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.5
Forget20-KP_20_3_1000-2000_2box_10_10,KP,20,3,2box,1000,2000,breadth,mfavg,None,1,27,1049,6,15,11.44,7.41,525,0,0.0,0.0,97,18.48,0.48,428,81.52,0.71,1049,7.19,0.46,6.34,6.73,93.63,42,14,33.33,28,66.67,0.77,0.71,92.3,0.04,5.5,0.0,0.21,0.0,0.02,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.01,0,0.0,0.0,2147483647,0,0.0,0,0.5
Forget20-KP_20_3_1000-2000_2box_2_2,KP,20,3,2box,1000,2000,depth,mof,None,1,49,2283,6,21,12.86,11.9,1142,4,0.35,0.32,391,34.24,0.43,747,65.41,0.79,2279,7.45,0.39,5.19,7.06,94.77,31,3,9.68,28,90.32,1.67,1.54,92.08,0.08,4.66,0.0,0.21,0.0,0.02,0.0,0.14,0.0,0.01,0.0,0.0,0.0,0.01,0,0.0,0.0,2147483647,0,0.0,0,0.45
Forget20-KP_20_3_1000-2000_2box_2_2,KP,20,3,2box,1000,2000,breadth,mof,None,1,49,2209,6,21,12.8,11.9,1105,1,0.09,0.3,405,36.65,0.44,699,63.26,0.88,2208,7.59,0.4,5.31,7.18,94.63,31,3,9.68,28,90.32,1.68,1.49,88.32,0.14,8.51,0.0,0.28,0.0,0.02,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.45
Forget20-KP_20_3_1000-2000_2box_2_2,KP,20,3,2box,1000,2000,depth,mfavg,None,1,49,2963,6,20,13.07,12.22,1482,30,2.02,0.31,362,24.43,0.42,1090,73.55,0.8,2933,6.75,0.34,5.04,6.41,94.91,31,3,9.68,28,90.32,2.13,1.93,90.58,0.14,6.36,0.0,0.18,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.45
Forget20-KP_20_3_1000-2000_2box_2_2,KP,20,3,2box,1000,2000,breadth,mfavg,None,1,49,2953,7,20,12.84,12.22,1477,20,1.35,0.31,359,24.31,0.42,1098,74.34,0.86,2933,6.88,0.35,5.02,6.53,94.94,31,3,9.68,28,90.32,2.22,1.92,86.84,0.23,10.3,0.01,0.53,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2147483647,0,0.0,0,0.45
