instance,YN,solved,cpu,nbit,nbinfeas,nbduplicates,totalLP
Forget20-AP_11_3_1-1000_spheredown_1_1,4061,1,1719.31618309021,8030,0,3952,0
Forget20-AP_11_3_1-1000_spheredown_1_10,3066,1,1134.0360748767853,6080,0,3007,0
Forget20-AP_11_3_1-1000_spheredown_1_2,3036,1,842.2343430519104,6027,0,2984,0
Forget20-AP_11_3_1-1000_spheredown_1_3,3653,0,1800.403529882431,7020,0,3359,0
Forget20-AP_11_3_1-1000_spheredown_1_4,3801,0,1800.2637588977814,7407,0,3601,0
Forget20-AP_11_3_1-1000_spheredown_1_5,3317,1,1323.5890469551086,6568,0,3240,0
Forget20-AP_11_3_1-1000_spheredown_1_6,3427,0,1800.24116897583,6655,0,3223,0
Forget20-AP_11_3_1-1000_spheredown_1_7,3744,1,1715.7319390773773,7399,0,3644,0
Forget20-AP_11_3_1-1000_spheredown_1_8,3844,0,1800.0650939941406,7359,0,3502,0
Forget20-AP_11_3_1-1000_spheredown_1_9,3600,0,1800.0319800376892,7086,0,3479,0
Forget20-AP_12_3_1-1000_spheredown_1_1,2770,0,1800.5242960453033,5247,0,2468,0
Forget20-AP_12_3_1-1000_spheredown_1_10,3160,0,1800.40247797966,5977,0,2804,0
Forget20-AP_12_3_1-1000_spheredown_1_2,3150,0,1800.3650572299957,6053,0,2892,0
Forget20-AP_12_3_1-1000_spheredown_1_3,3392,0,1800.081482887268,6491,0,3089,0
Forget20-AP_12_3_1-1000_spheredown_1_4,3806,0,1800.2880549430847,7279,0,3453,0
Forget20-AP_12_3_1-1000_spheredown_1_5,3167,0,1800.3226759433746,6028,0,2846,0
Forget20-AP_12_3_1-1000_spheredown_1_6,3598,0,1800.128585100174,6834,0,3229,0
Forget20-AP_12_3_1-1000_spheredown_1_7,2787,0,1800.0403180122375,5318,0,2527,0
Forget20-AP_12_3_1-1000_spheredown_1_8,3082,0,1800.4076480865479,5895,0,2808,0
Forget20-AP_12_3_1-1000_spheredown_1_9,3562,0,1800.0870349407196,6882,0,3312,0
Forget20-AP_6_3_1-1000_spheredown_1_1,119,1,1.5037500858306885,238,0,119,0
Forget20-AP_6_3_1-1000_spheredown_1_10,208,1,3.151228189468384,414,0,206,0
Forget20-AP_6_3_1-1000_spheredown_1_2,111,1,1.5241279602050781,221,0,110,0
Forget20-AP_6_3_1-1000_spheredown_1_3,149,1,2.0261988639831543,297,0,148,0
Forget20-AP_6_3_1-1000_spheredown_1_4,176,1,2.425601005554199,349,0,173,0
Forget20-AP_6_3_1-1000_spheredown_1_5,164,1,2.4220669269561768,328,0,164,0
Forget20-AP_6_3_1-1000_spheredown_1_6,177,1,2.5435001850128174,355,0,178,0
Forget20-AP_6_3_1-1000_spheredown_1_7,147,1,2.1118099689483643,295,0,148,0
Forget20-AP_6_3_1-1000_spheredown_1_8,182,1,2.6154308319091797,365,0,183,0
Forget20-AP_6_3_1-1000_spheredown_1_9,172,1,2.505070924758911,343,0,171,0
Forget20-AP_7_3_1-1000_spheredown_1_1,450,1,15.117102861404419,888,0,420,0
Forget20-AP_7_3_1-1000_spheredown_1_10,373,1,11.673321962356567,743,0,369,0
Forget20-AP_7_3_1-1000_spheredown_1_2,409,1,11.77648401260376,815,0,406,0
Forget20-AP_7_3_1-1000_spheredown_1_3,294,1,7.92714786529541,586,0,292,0
Forget20-AP_7_3_1-1000_spheredown_1_4,290,1,7.824980020523071,578,0,288,0
Forget20-AP_7_3_1-1000_spheredown_1_5,287,1,7.961525917053223,570,0,281,0
Forget20-AP_7_3_1-1000_spheredown_1_6,373,1,10.268595933914185,746,0,373,0
Forget20-AP_7_3_1-1000_spheredown_1_7,307,1,9.360279083251953,613,0,306,0
Forget20-AP_7_3_1-1000_spheredown_1_8,335,1,11.597790956497192,667,0,331,0
Forget20-AP_7_3_1-1000_spheredown_1_9,363,1,10.445633172988892,724,0,361,0
Forget20-AP_8_3_1-1000_spheredown_1_1,687,1,56.522972106933594,1364,0,675,0
Forget20-AP_8_3_1-1000_spheredown_1_10,779,1,46.69162678718567,1540,0,759,0
Forget20-AP_8_3_1-1000_spheredown_1_2,952,1,66.75962209701538,1894,0,940,0
Forget20-AP_8_3_1-1000_spheredown_1_3,943,1,71.21528792381287,1872,0,929,0
Forget20-AP_8_3_1-1000_spheredown_1_4,741,1,51.62177896499634,1467,0,722,0
Forget20-AP_8_3_1-1000_spheredown_1_5,518,1,43.298999071121216,1030,0,512,0
Forget20-AP_8_3_1-1000_spheredown_1_6,753,1,70.95317697525024,1498,0,744,0
Forget20-AP_8_3_1-1000_spheredown_1_7,793,1,80.55022192001343,1577,0,783,0
Forget20-AP_8_3_1-1000_spheredown_1_8,628,1,50.35468602180481,1249,0,621,0
Forget20-AP_8_3_1-1000_spheredown_1_9,615,1,53.08855414390564,1226,0,610,0
Forget20-KP_10_3_1-1000_spheredown_1_1,25,1,0.06871986389160156,51,0,26,0
Forget20-KP_10_3_1-1000_spheredown_1_10,13,1,0.03476381301879883,27,0,14,0
Forget20-KP_10_3_1-1000_spheredown_1_2,38,1,0.11491608619689941,77,0,39,0
Forget20-KP_10_3_1-1000_spheredown_1_3,35,1,0.10201478004455566,71,0,36,0
