instance,namePrefix,insId,constId,pb,n,p,coef,rangeC,rangeGapC,nodesel,varsel,OB,solved,YN,YNse,YNs,rangeZ1,rangeGapZ1,rangeZ2,rangeGapZ2,rangeZ3,rangeGapZ3,ratioNDcoef,nbnodes,mindepthT,maxdepthT,avgdepthT,avgdepthYN,nbleaf,nbinfeas,pctinfeas,tpsinfeas,nbopt,pctopt,tpsopt,nbdomi,pctdomi,avgdomi,nbLB,avgfacets,avgNDf,pctavgNDf,avgWNDf,pctWNDf,maxfacets,maxNDf,pctmaxNDf,maxWNDf,pctmaxWNDf,tpstotal,tpsLB,pcttpsLB,tpsdomi,pcttpsdomi,tpsUB,pcttpsUB,tpsnodesel,pcttpsnodesel,tpsvarsel,pcttpsvarsel,tpsOB,pcttpsOB,tpsSLUB,pcttpsSLUB,tpsdomiLUB,pcttpsdomiLUB,nbOB,pctnbOB,avgdepthOB,mindepthOB,maxdepthOB,avgnbpbOB,maxnbpbOB
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,breadth,mfavg,cone,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,2851,7,19,12.72,6.49,1426,965,67.67,1.35,8,0.56,2.29,453,31.77,4.72,1886,9.01,2.73,30.26,6.28,69.72,72,49,68.06,23,31.94,14.86,13.36,89.95,0.1,0.7,0.09,0.6,0,0,0,0.02,0.65,4.35,0.02,0.11,0.63,4.24,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,breadth,mfavg,None,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,3923,8,33,14.38,6.29,1962,0,0,0,198,10.09,2.48,1764,89.91,9.77,3923,19.22,8.61,44.82,10.6,55.16,90,67,74.44,23,25.56,39.87,37.64,94.41,1.45,3.64,0.33,0.82,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,breadth,mof,cone,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,3857,3,51,26.22,17.4,1929,1297,67.24,1.37,20,1.04,2.6,612,31.73,5.5,2560,11.22,3.85,34.29,7.37,65.7,63,39,61.9,24,38.1,22.72,20.73,91.25,0.16,0.71,0.12,0.53,0,0,0.01,0.05,1.18,5.2,0.02,0.09,1.16,5.11,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,breadth,mof,None,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,4035,8,31,14.39,6.31,2018,0,0,0,201,9.96,2.53,1817,90.04,9.51,4035,18.77,8.26,43.99,10.51,56,90,67,74.44,23,25.56,40.36,38.02,94.21,1.46,3.62,0.31,0.78,0,0,0.03,0.08,0,0,0,0,0,0,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,depth,mfavg,cone,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,4435,7,21,13.63,6.25,2218,1605,72.36,1.37,44,1.98,2.71,569,25.65,4.32,2830,8.95,2.65,29.63,6.3,70.36,72,49,68.06,23,31.94,18.72,17.72,94.7,0.09,0.48,0.08,0.44,0,0,0,0.02,0.45,2.4,0.02,0.09,0.43,2.31,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,depth,mfavg,None,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,5679,6,33,14.98,6.44,2840,0,0,0,390,13.73,2.47,2450,86.27,8.44,5679,16.73,7.03,42.04,9.7,57.97,90,67,74.44,23,25.56,49.95,48.21,96.52,1.09,2.18,0.31,0.62,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,depth,mof,cone,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,6339,3,76,26.47,18.11,3170,2302,72.62,1.37,54,1.7,2.82,814,25.68,5.45,4037,10.77,3.63,33.69,7.14,66.31,64,39,60.94,25,39.06,32.13,30,93.36,0.17,0.52,0.15,0.46,0,0,0.02,0.06,1.23,3.83,0.03,0.09,1.2,3.75,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_1,Forget20-AP_11_3_1-10_2box,1,1,AP,121,3,2box,"[1,10]",9,depth,mof,None,TRUE,248,34,39,"[-104,-29]",75,"[-103,-29]",74,"[-105,-22]",83,0.02479,5795,6,31,14.97,6.48,2898,0,0,0,358,12.35,2.5,2540,87.65,8.34,5795,16.61,6.87,41.34,9.75,58.69,90,67,74.44,23,25.56,50.89,49.05,96.39,1.13,2.23,0.31,0.61,0,0,0.04,0.08,0,0,0,0,0,0,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_10,Forget20-AP_11_3_1-10_2box,10,1,AP,121,3,2box,"[1,10]",9,breadth,mfavg,cone,TRUE,305,41,42,"[-104,-31]",73,"[-102,-25]",77,"[-104,-26]",78,0.01653,4299,8,22,13.62,6.9,2150,1462,68,1.38,32,1.49,2.81,656,30.51,4.9,2837,9.27,2.87,30.97,6.4,69.05,84,54,64.29,30,35.71,22.95,20.35,88.66,0.16,0.71,0.21,0.9,0,0,0.01,0.02,1.07,4.65,0.03,0.13,1.04,4.53,0,0,0,2147483647,0,0,0
Forget20-AP_11_3_1-10_2box_1_10,Forget20-AP_11_3_1-10_2box,10,1,AP,121,3,2box,"[1,10]",9,breadth,mfavg,None,TRUE,305,41,42,"[-104,-31]",73,"[-102,-25]",77,"[-104,-26]",78,0.01653,6323,8,40,15.44,7.39,3162,0,0,0,309,9.77,2.54,2853,90.23,10.55,6323,20.19,9.28,45.96,10.91,54.04,97,70,72.16,27,27.84,70.46,66.17,93.91,2.77,3.93,0.64,0.91,0,0,0.06,0.09,0,0,0,0,0,0,0,0,0,2147483647,0,0,0
