instance,YN,solved,cpu,nbit,nbinfeas,nbduplicates,totalLP
Forget20-AP_11_3_1-1000_spheredown_1_1,4061,1,1096.9216330051422,8030,0,3952,0
Forget20-AP_11_3_1-1000_spheredown_1_10,3066,1,729.6278347969055,6080,0,3007,0
Forget20-AP_11_3_1-1000_spheredown_1_2,3036,1,621.2099840641022,6027,0,2984,0
Forget20-AP_11_3_1-1000_spheredown_1_3,5270,1,1738.1767449378967,10397,0,5109,0
Forget20-AP_11_3_1-1000_spheredown_1_4,4115,1,1149.4786322116852,8144,0,4024,0
Forget20-AP_11_3_1-1000_spheredown_1_5,3317,1,738.5731379985809,6568,0,3240,0
Forget20-AP_11_3_1-1000_spheredown_1_6,3772,1,1131.7057118415833,7449,0,3672,0
Forget20-AP_11_3_1-1000_spheredown_1_7,3744,1,1020.6225039958954,7399,0,3644,0
Forget20-AP_11_3_1-1000_spheredown_1_8,5016,0,1800.0254120826721,9738,0,4702,0
Forget20-AP_11_3_1-1000_spheredown_1_9,3606,1,1048.5606348514557,7136,0,3523,0
Forget20-AP_12_3_1-1000_spheredown_1_1,3921,0,1800.026734828949,7494,0,3555,0
Forget20-AP_12_3_1-1000_spheredown_1_10,4312,0,1800.2757019996643,8277,0,3950,0
Forget20-AP_12_3_1-1000_spheredown_1_2,4704,0,1800.0685260295868,9209,0,4486,0
Forget20-AP_12_3_1-1000_spheredown_1_3,4530,0,1800.1261599063873,8756,0,4209,0
Forget20-AP_12_3_1-1000_spheredown_1_4,4704,0,1800.29936003685,9079,0,4352,0
Forget20-AP_12_3_1-1000_spheredown_1_5,4708,0,1800.1646847724915,9132,0,4407,0
Forget20-AP_12_3_1-1000_spheredown_1_6,4468,0,1800.3125779628754,8569,0,4090,0
Forget20-AP_12_3_1-1000_spheredown_1_7,4169,0,1800.168862104416,8032,0,3854,0
Forget20-AP_12_3_1-1000_spheredown_1_8,4845,0,1800.0300991535187,9429,0,4578,0
Forget20-AP_12_3_1-1000_spheredown_1_9,4849,0,1800.1050491333008,9513,0,4652,0
Forget20-AP_6_3_1-1000_spheredown_1_1,119,1,1.2784528732299805,238,0,119,0
Forget20-AP_6_3_1-1000_spheredown_1_10,208,1,2.5864129066467285,414,0,206,0
Forget20-AP_6_3_1-1000_spheredown_1_2,111,1,1.2354190349578857,221,0,110,0
Forget20-AP_6_3_1-1000_spheredown_1_3,149,1,1.7491328716278076,297,0,148,0
Forget20-AP_6_3_1-1000_spheredown_1_4,176,1,2.0605740547180176,349,0,173,0
Forget20-AP_6_3_1-1000_spheredown_1_5,164,1,2.0283501148223877,328,0,164,0
Forget20-AP_6_3_1-1000_spheredown_1_6,177,1,2.154465913772583,355,0,178,0
Forget20-AP_6_3_1-1000_spheredown_1_7,147,1,1.7719969749450684,295,0,148,0
Forget20-AP_6_3_1-1000_spheredown_1_8,182,1,2.2338860034942627,365,0,183,0
Forget20-AP_6_3_1-1000_spheredown_1_9,172,1,2.127207040786743,343,0,171,0
Forget20-AP_7_3_1-1000_spheredown_1_1,450,1,12.964391946792603,888,0,420,0
Forget20-AP_7_3_1-1000_spheredown_1_10,373,1,9.19014310836792,743,0,369,0
